Date,IWF,IWM,MTUM,SBH,SPY,VLUE,VXX
2018-09-24,-0.5394983347210658,-1.3965445462114903,-0.0,1.0,-1.1314529558701083,-1.1365528726061616,0.0
2018-09-25,-0.5418140212190555,-1.3946848346161849,-0.0,1.0,-1.1300707301851467,-1.1341793218223424,0.0
2018-09-26,-0.5429344151453684,-1.3958495865189577,-0.0,1.0,-1.1301295053830551,-1.13210589275498,0.0
2018-09-27,-0.5506658343736995,-1.3843632958801497,-0.0,1.0,-1.1329067831876822,-1.1338951310861425,0.0
2018-09-28,-0.5482405763809126,-1.396157460582646,-0.0,1.0,-1.137673592983189,-1.138769969719119,0.0
2018-10-01,-0.5488831929696082,-1.4013705079248837,-0.0,1.0,-1.1393000993879792,-1.1413401684364701,0.0
2018-10-02,-0.5491863517060368,-1.4225196850393702,-0.0,1.0,-1.138057742782152,-1.1396325459317584,0.0
2018-10-03,-0.5480148948444957,-1.4121781087743221,-0.0,1.0,-1.1401374101851365,-1.144333141029003,0.0
2018-10-04,-0.5782374580156742,-1.4179239750493149,-0.0,1.0,-1.1828117502798956,-1.15231646851842,0.0
2018-10-05,-0.5448338400810796,-1.4078519229743425,-0.0,1.0,-1.2033392009388169,-1.1781618392276099,0.0
2018-10-08,-0.5386702127659574,-1.4002659574468084,-0.0,1.0,-1.2052659574468085,-1.1749468085106383,0.0
2018-10-09,-0.5330670926517572,-1.4014376996805111,-0.0,1.0,-1.2091586794462195,-1.181150159744409,0.0
2018-10-10,-0.539557215257402,-1.4024539877300615,-0.0,1.0,-1.2152040544145104,-1.1775940250733528,0.0
2018-10-11,-0.39415906127770534,-1.4077705345501956,-0.0,1.0,-1.1916036505867014,-1.2215906127770535,0.0
2018-10-12,-0.4006369099594227,-1.395449175612512,-0.0,1.0,-1.1577893060763265,-1.1825466125635624,0.0
2018-10-15,-0.36869022656369865,-1.4165601186518693,-0.0,1.0,-1.149030839257403,-1.1799723827545645,0.0
2018-10-16,-0.3590574677162114,-1.4495035242064105,-0.0,1.0,-1.1528528065030612,-1.1834130781499204,0.0
2018-10-17,-0.31816587321473316,-1.3745928338762214,-0.0,1.0,-1.1334502630919567,-1.185066399398647,0.0
2018-10-18,-0.3267051204209674,-1.3966302367941712,-0.0,1.0,-1.1397490386561424,-1.1965695203400122,0.0
2018-10-19,-0.2932745314222712,-1.3756640272627043,-0.0,1.0,-1.1445825398416358,-1.198005412448632,0.0
2018-10-22,-0.301526331749722,-1.4028606085110682,-0.0,1.0,-1.1480339634084706,-1.2017082785808146,0.0
2018-10-23,-0.3089492588657864,-1.405018465118632,-0.0,1.0,-1.144533818991248,-1.200435068548591,0.0
2018-10-24,-0.3116378869929498,-1.4092163073464798,-0.0,1.0,-1.163686522938592,-1.2242260141003372,0.0
2018-10-25,-0.2609457945745872,-1.3203136414552183,-0.0,1.0,-1.1304241951979739,-1.1585253007354015,0.0
2018-10-26,-0.23677654273668072,-1.2919701034879265,-0.0,1.0,-1.125047911077041,-1.13731314679954,0.0
2018-10-29,-0.2044913883338091,-1.3009801122847084,-0.0,1.0,-1.1099057950328288,-1.1424017508801978,0.0
2018-10-30,-0.17439800852123127,-1.3123653597587248,-0.0,1.0,-1.1214993537268418,-1.1789458566709752,0.0
2018-10-31,-0.17670739793501944,-1.281708818793218,-0.0,1.0,-1.1113952827507816,-1.1663351330870513,0.0
2018-11-01,-0.14418472334170973,-1.312502963349296,-0.0,1.0,-1.1138874401403442,-1.1707363330330474,0.0
2018-11-02,-0.1498660651346398,-1.2704074439588326,-0.0,1.0,-1.119366511584191,-1.1598289393298558,0.0
2018-11-05,-0.14206206961607398,-1.3038392604471278,-0.0,1.0,-1.1272049806622018,-1.1434770304688238,0.0
2018-11-06,-0.1498065490233085,-1.3103236765122206,-0.0,1.0,-1.1224874964612628,-1.1356987826743419,0.0
2018-11-07,-0.15048176837332325,-1.31149631588891,-0.0,1.0,-1.1242679010013226,-1.136926128849424,0.0
2018-11-08,-0.09851222602900456,-1.3233679072605247,-0.0,1.0,-1.1153611489181958,-1.1560520016895857,0.0
2018-11-09,-0.2546315477952057,-1.6919798757028708,-0.0,1.0,-1.4937555489789878,-1.478543947913584,0.0
2018-11-12,-0.2505435101944885,-1.6674892766907572,-0.0,1.0,-1.4900405429226158,-1.467712556554439,0.0
