Date,DFP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1529764900424186,-0.2742289165288662,-0.0,-0.21160759220648503,-0.15856639585879648,0.0
2018-09-25,1.0,-0.15333189562216948,-0.27402774782546185,-0.0,-0.21146934080943136,-0.15830997052692114,0.0
2018-09-26,1.0,-0.15299681640013987,-0.28391085920391607,-0.0,-0.2235696803518522,-0.17975377707440057,0.0
2018-09-27,1.0,-0.15629543739532145,-0.27890968656249426,-0.0,-0.22476211510500066,-0.18053484990705465,0.0
2018-09-28,1.0,-0.15562755421376237,-0.2797209233827915,-0.0,-0.2248260373329406,-0.1807002687677184,0.0
2018-10-01,1.0,-0.15552895681797255,-0.28017677930209006,-0.0,-0.22484117484577845,-0.18090415247214803,0.0
2018-10-02,1.0,-0.15584248139689091,-0.27952552862300156,-0.0,-0.22518971487511974,-0.18133426655860901,0.0
2018-10-03,1.0,-0.15550604827573508,-0.27648997477583637,-0.0,-0.22609688288255114,-0.1831053338979618,0.0
2018-10-04,1.0,-0.16248055123360747,-0.2723568200340816,-0.0,-0.23653404460250427,-0.1808920500852041,0.0
2018-10-05,1.0,-0.16398999722145038,-0.2741502269148837,-0.0,-0.2356024821709734,-0.17864221543021208,0.0
2018-10-08,1.0,-0.1640914480509856,-0.2744553134726545,-0.0,-0.23547502593745365,-0.17865347561879352,0.0
2018-10-09,1.0,-0.162770450503853,-0.2742479253112033,-0.0,-0.23588470657972735,-0.1794976289270895,0.0
2018-10-10,1.0,-0.1635252730975745,-0.27357896685798927,-0.0,-0.23623403073504906,-0.1781521940381411,0.0
2018-10-11,1.0,-0.15583228189514878,-0.2684184541115805,-0.0,-0.23082268180737656,-0.17351472927752484,0.0
2018-10-12,1.0,-0.1628280277752728,-0.26301740463522405,-0.0,-0.2188294706465867,-0.15891423933627918,0.0
2018-10-15,1.0,-0.15504684493517237,-0.2688593572982791,-0.0,-0.21642180222625834,-0.15792407703788955,0.0
2018-10-16,1.0,-0.15399554053082068,-0.2704991728403942,-0.0,-0.2160864561605409,-0.15759188664317056,0.0
2018-10-17,1.0,-0.14949206914988414,-0.26096952414899305,-0.0,-0.21381215469613257,-0.15795758331848153,0.0
