Date,FFG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.24125641196455933,-0.9662913863167012,-0.0,-0.5525281460262474,-0.570814735860369,0.0
2018-09-25,1.0,-0.24584429861087978,-0.965188713814584,-0.0,-0.5518504946866984,-0.5683733635364269,0.0
2018-09-26,1.0,-0.24415731837606838,-0.9654113247863246,-0.0,-0.5540197649572649,-0.5750868055555555,0.0
2018-09-27,1.0,-0.24572991726714705,-0.9614358153189217,-0.0,-0.5539765145449693,-0.5748598879103282,0.0
2018-09-28,1.0,-0.24981884683068217,-1.012594458438287,-0.0,-0.5848314412891205,-0.6033263172423312,0.0
2018-10-01,1.0,-0.25023291121769436,-1.012076877954522,-0.0,-0.5849349573858735,-0.6032918118767467,0.0
2018-10-02,1.0,-0.2507247377139702,-1.0124585864163447,-0.0,-0.5847943125345112,-0.6031543346217559,0.0
2018-10-03,1.0,-0.25038805146424753,-1.0083819116277466,-0.0,-0.5855955296471319,-0.6049808561277638,0.0
2018-10-04,1.0,-0.25071588752803176,-1.0085216491288598,-0.0,-0.5854752458168018,-0.6053820941866482,0.0
2018-10-05,1.0,-0.23112867204947604,-1.0015461260951726,-0.0,-0.5900360762755541,-0.6131248926301324,0.0
2018-10-08,1.0,-0.2275003429825765,-0.9977706132528468,-0.0,-0.592673892166278,-0.6118809164494444,0.0
2018-10-09,1.0,-0.22338125793501012,-0.9979755001200973,-0.0,-0.5946196342174793,-0.615379336375802,0.0
2018-10-10,1.0,-0.22468441273326017,-0.9971871569703623,-0.0,-0.5954308452250274,-0.6130282656421515,0.0
2018-10-11,1.0,-0.1514828745464834,-0.9899477415704159,-0.0,-0.5687181706221084,-0.6184468927870054,0.0
2018-10-12,1.0,-0.1496270005586776,-0.9856058365375135,-0.0,-0.5511518617108679,-0.599953991258339,0.0
2018-10-15,1.0,-0.14110892388451443,-0.9916338582677166,-0.0,-0.5489173228346456,-0.5991797900262467,0.0
2018-10-16,1.0,-0.15342691990090832,-0.983947151114781,-0.0,-0.5579521056977703,-0.6077621800165153,0.0
2018-10-17,1.0,-0.1298164540484249,-0.9448060400937257,-0.0,-0.5571140328039573,-0.6226243165842228,0.0
2018-10-18,1.0,-0.12944583645179134,-0.9444860238846766,-0.0,-0.5574501317887475,-0.6226286160554488,0.0
2018-10-19,1.0,-0.11612194096919148,-0.9396114182264896,-0.0,-0.556105130443216,-0.6209549671871464,0.0
2018-10-22,1.0,-0.11656164162223298,-0.9354984650185815,-0.0,-0.5574083050573598,-0.622071417030215,0.0
2018-10-23,1.0,-0.11818299302145258,-0.9354161281985008,-0.0,-0.5559576117859912,-0.6212199534763505,0.0
2018-10-24,1.0,-0.11570114571566886,-0.9341939648216878,-0.0,-0.5556882362433435,-0.6217847345489753,0.0
2018-10-25,1.0,-0.08823621701339861,-0.899714456054473,-0.0,-0.5535787128557532,-0.5962847908625938,0.0
2018-10-26,1.0,-0.07350565428109855,-0.8873493227289673,-0.0,-0.5578787125636884,-0.5880452342487884,0.0
2018-10-29,1.0,-0.05358191880777912,-0.8964227189809233,-0.0,-0.5489595894011069,-0.5928949077080049,0.0
2018-10-30,1.0,-0.04920566236014094,-0.8963033937071151,-0.0,-0.5489893058045373,-0.5963404834023613,0.0
2018-10-31,1.0,-0.050805757165703035,-0.8858100627383442,-0.0,-0.5461926436216017,-0.5925698117849674,0.0
2018-11-01,1.0,-0.0411535272258223,-0.8925708669881146,-0.0,-0.5452228125671815,-0.5922115414145757,0.0
2018-11-02,1.0,-0.05011480177560079,-0.858900964334915,-0.0,-0.5623144037961121,-0.5900811265880912,0.0
2018-11-05,1.0,-0.044805393809377876,-0.8761875574624579,-0.0,-0.5651241189089795,-0.5785167024210849,0.0
2018-11-06,1.0,-0.04328088095457194,-0.874819790803963,-0.0,-0.567528603417073,-0.5817612956657771,0.0
2018-11-07,1.0,-0.04257993317188314,-0.8751724349345514,-0.0,-0.5662609975169369,-0.5814965819564084,0.0
2018-11-08,1.0,-0.02033805557244482,-0.8761780263877911,-0.0,-0.5580653006627349,-0.5854867149024139,0.0
2018-11-09,1.0,-0.01964302003831301,-0.8762428923282756,-0.0,-0.5594307781190136,-0.5853984857238422,0.0
2018-11-12,1.0,-0.01906060606060606,-0.8597272727272728,-0.0,-0.568060606060606,-0.5834848484848485,0.0
2018-11-13,1.0,-0.0,-0.8582473451460546,-0.0,-0.5697482025209831,-0.5803375349718721,0.0
2018-11-14,1.0,-0.0,-0.8578089279268438,-0.0,-0.570087835398869,-0.5801648417759596,0.0
2018-11-15,1.0,-0.0,-0.8578512396694215,-0.0,-0.570007513148009,-0.5774004507888806,0.0
2018-11-16,1.0,-0.0,-0.8479369077605854,-0.0,-0.5680700491783616,-0.5826436367998081,0.0
2018-11-19,1.0,-0.0,-0.8477752458623171,-0.0,-0.5678520028783881,-0.5826936915327418,0.0
2018-11-20,1.0,-0.0,-0.8393411315349726,-0.0,-0.5598591549295775,-0.5848352828837432,0.0
2018-11-21,1.0,-0.0,-0.8404804270462634,-0.0,-0.5662218268090153,-0.5588967971530249,0.0
2018-11-23,1.0,-0.0,-0.8262713120830245,-0.0,-0.5760711638250556,-0.5628169014084508,0.0
2018-11-26,1.0,-0.0,-0.8350503221209512,-0.0,-0.57370186741086,-0.5601045037556037,0.0
2018-11-27,1.0,-0.0,-0.8406728462700269,-0.0,-0.5667959842449729,-0.5540024284064322,0.0
2018-11-28,1.0,-0.0,-0.8438546079331695,-0.0,-0.565275350297716,-0.5531889682140001,0.0
2018-11-29,1.0,-0.0,-0.8281341620734138,-0.0,-0.5531840037527852,-0.5505453266095931,0.0
2018-11-30,1.0,-0.0,-0.8284934882083773,-0.0,-0.552944972427549,-0.5518303414290743,0.0
2018-12-03,1.0,-0.0,-0.8284205895292565,-0.0,-0.5528376594808623,-0.5517231265581464,0.0
2018-12-04,1.0,-0.0,-0.8287494879747207,-0.0,-0.5481888934402247,-0.5489203581251098,0.0
2018-12-06,1.0,-0.0,-0.7794415447363168,-0.0,-0.5472747497219133,-0.5254271127463563,0.0
2018-12-07,1.0,-0.0,-0.7853732888531002,-0.0,-0.5516795122512367,-0.5388243414241344,0.0
2018-12-10,1.0,-0.0,-0.7889887319925831,-0.0,-0.5458850377977464,-0.517757809157039,0.0
2018-12-11,1.0,-0.0,-0.7902325980602524,-0.0,-0.5606957914914313,-0.5100563613995938,0.0
2018-12-12,1.0,-0.0,-0.7901979858091096,-0.0,-0.5608262760357061,-0.5100423437857634,0.0
2018-12-13,1.0,-0.0,-0.7876682960295002,-0.0,-0.5621873481405255,-0.508704227767773,0.0
2018-12-14,1.0,-0.0,-0.7808634039027457,-0.0,-0.5669838004628439,-0.5092140224565013,0.0
2018-12-17,1.0,-0.0,-0.7776101989129507,-0.0,-0.5515494721265758,-0.5164907088585982,0.0
2018-12-18,1.0,-0.0,-0.7673478617258827,-0.0,-0.5439667599423387,-0.5152208937505299,0.0
2018-12-19,1.0,-0.0,-0.7672913310155741,-0.0,-0.5439384945871845,-0.5153056898159926,0.0
2018-12-20,1.0,-0.0,-0.7570046134803645,-0.0,-0.5456284460447844,-0.5104647237537977,0.0
2018-12-21,1.0,-0.0,-0.7605325858444288,-0.0,-0.5507778556412053,-0.4917729502452698,0.0
2018-12-24,1.0,-0.0,-0.7408747946654788,-0.0,-0.5401898822284712,-0.5031322215107052,0.0
2018-12-26,1.0,-0.0,-0.7417170764193352,-0.0,-0.534158388367834,-0.49894555746711805,0.0
2018-12-27,1.0,-0.0,-0.7091777843395163,-0.0,-0.47692803264166644,-0.4982417523420933,0.0
2018-12-28,1.0,-0.0,-0.7124919510624598,-0.0,-0.47512878300064393,-0.49535844601845885,0.0
2018-12-31,1.0,-0.0,-0.7135726936081146,-0.0,-0.47485643750335427,-0.49498202114527995,0.0
2019-01-02,1.0,-0.0,-0.7142319883952077,-0.0,-0.472760973513136,-0.4993015634234138,0.0
2019-01-03,1.0,-0.0,-0.7206714498443212,-0.0,-0.46427507783944766,-0.5225395965886016,0.0
2019-01-04,1.0,-0.0,-0.7219140456699698,-0.0,-0.4481096510124946,-0.5227811288237828,0.0
2019-01-07,1.0,-0.0,-0.7003468636640453,-0.0,-0.44038446262610215,-0.5070829030635211,0.0
2019-01-08,1.0,-0.0,-0.6852615986880389,-0.0,-0.4540020102629212,-0.505819182140401,0.0
2019-01-09,1.0,-0.0,-0.6790374557557187,-0.0,-0.45340482856991915,-0.5090073432299645,0.0
2019-01-10,1.0,-0.0,-0.6772882071860398,-0.0,-0.45463185406161727,-0.5080387549829721,0.0
2019-01-11,1.0,-0.0,-0.6677768086062431,-0.0,-0.45803927787910026,-0.5173790077445616,0.0
2019-01-14,1.0,-0.0,-0.6659706620853707,-0.0,-0.45656138496101495,-0.5205233249636579,0.0
2019-01-15,1.0,-0.0,-0.6633092764427526,-0.0,-0.4570809210352394,-0.5232241520606974,0.0
2019-01-16,1.0,-0.0,-0.6644539443987149,-0.0,-0.4421815671384191,-0.5486046573378296,0.0
2019-01-17,1.0,-0.0,-0.6723400844332817,-0.0,-0.4451718056965746,-0.5544006840164591,0.0
2019-01-18,1.0,-0.0,-0.6675892833149706,-0.0,-0.4516163706231693,-0.568000429957273,0.0
2019-01-22,1.0,-0.0,-0.7225243659469065,-0.0,-0.39596683000376937,-0.5738786279683378,0.0
2019-01-23,1.0,-0.0,-0.6941754120916178,-0.0,-0.39871044325140964,-0.6049316103272453,0.0
2019-01-24,1.0,-0.0,-0.6794266079673574,-0.0,-0.4130248040373671,-0.5919682164715988,0.0
2019-01-25,1.0,-0.0,-0.6885617214043034,-0.0,-0.39548616728684677,-0.6123874238257024,0.0
2019-01-28,1.0,-0.0,-0.6578247912583564,-0.0,-0.4283029505732005,-0.5986253926490723,0.0
2019-01-29,1.0,-0.0,-0.6605310398413846,-0.0,-0.4237869410283203,-0.5949950432709054,0.0
2019-01-30,1.0,-0.0,-0.6651099122312585,-0.0,-0.4297715865474944,-0.5891778726145422,0.0
2019-01-31,1.0,-0.0,-0.6677032787324737,-0.0,-0.41138307283987025,-0.6018337309991689,0.0
2019-02-01,1.0,-0.0,-0.6710114421416236,-0.0,-0.42827072538860106,-0.5993361398963731,0.0
2019-02-04,1.0,-0.0,-0.6624656648893198,-0.0,-0.42524371196208327,-0.6052404804222545,0.0
2019-02-05,1.0,-0.0,-0.6541061760982574,-0.0,-0.4212567673121987,-0.6180946480997657,0.0
2019-02-06,1.0,-0.0,-0.6467701930335382,-0.0,-0.41690930658902187,-0.6323196376577159,0.0
2019-02-07,1.0,-0.0,-0.6444162983723186,-0.0,-0.4189932090115339,-0.6314271855125578,0.0
2019-02-08,1.0,-0.0,-0.6441482760481304,-0.0,-0.4227324232450224,-0.6310095505314843,0.0
2019-02-11,1.0,-0.0,-0.6285745204664123,-0.0,-0.4218542867191516,-0.6549793036279523,0.0
2019-02-12,1.0,-0.0,-0.6352376822592011,-0.0,-0.422001192476557,-0.6529080166946719,0.0
2019-02-13,1.0,-0.0,-0.5853747239901286,-0.0,-0.38747889336277436,-0.6248863488764774,0.0
2019-02-14,1.0,-0.0,-0.5621451268427359,-0.0,-0.4135802469135802,-0.6288482575402407,0.0
2019-02-15,1.0,-0.0,-0.4816968348670239,-0.0,-0.41414703205581954,-0.6322428961472342,0.0
2019-02-19,1.0,-0.0,-0.4768683274021352,-0.0,-0.4167739330153202,-0.6302718255470584,0.0
2019-02-20,1.0,-0.0,-0.47758820857099593,-0.0,-0.4170662763111403,-0.6291959012669729,0.0
2019-02-21,1.0,-0.0,-0.46853571518939297,-0.0,-0.4195997064851598,-0.6421902279800613,0.0
2019-02-22,1.0,-0.0,-0.47006595636732623,-0.0,-0.41638762049720957,-0.6503044140030442,0.0
2019-02-25,1.0,-0.0,-0.46768893756845564,-0.0,-0.4247433709467893,-0.6547797957156322,0.0
2019-02-26,1.0,-0.0,-0.46562690820272745,-0.0,-0.4298290250356198,-0.6488143700386729,0.0
2019-02-27,1.0,-0.0,-0.4702332450600937,-0.0,-0.4285241393359136,-0.6475860664086371,0.0
2019-02-28,1.0,-0.0,-0.4709787363923085,-0.0,-0.4286295655712687,-0.643885441041815,0.0
2019-03-01,1.0,-0.0,-0.47369761165147434,-0.0,-0.4385343993481693,-0.6339563069715334,0.0
2019-03-04,1.0,-0.0,-0.46919551934826886,-0.0,-0.42846232179226074,-0.6481924643584521,0.0
2019-03-05,1.0,-0.0,-0.45695330441439136,-0.0,-0.4477417708599132,-0.646976269456494,0.0
2019-03-06,1.0,-0.0,-0.4535174596691852,-0.0,-0.4552021645905656,-0.6438891157851745,0.0
2019-03-07,1.0,-0.0,-0.43486902456426463,-0.0,-0.472097645499949,-0.6411935582509428,0.0
2019-03-08,1.0,-0.0,-0.43082689394911816,-0.0,-0.4849433933201551,-0.6514260775806741,0.0
2019-03-11,1.0,-0.0,-0.41866407727295957,-0.0,-0.4497879082128073,-0.6868707517759493,0.0
2019-03-12,1.0,-0.0,-0.366712813413321,-0.0,-0.4533917858790955,-0.7435779110906015,0.0
2019-03-13,1.0,-0.0,-0.3724235415060396,-0.0,-0.4557697250064251,-0.741840143921871,0.0
2019-03-14,1.0,-0.0,-0.36452221825417075,-0.0,-0.45798683740625484,-0.7283812050405593,0.0
2019-03-15,1.0,-0.0,-0.35493685125530505,-0.0,-0.45945185866953014,-0.7422150636600706,0.0
2019-03-18,1.0,-0.0,-0.35922429714754767,-0.0,-0.46339523907243996,-0.742535399138108,0.0
2019-03-19,1.0,-0.0,-0.35824266064463145,-0.0,-0.46538185177581604,-0.7425836583863683,0.0
2019-03-20,1.0,-0.0,-0.35693623121624046,-0.0,-0.46432685661623535,-0.7387041445869493,0.0
2019-03-21,1.0,-0.0,-0.3592233009708738,-0.0,-0.4677357378896944,-0.7347132207905321,0.0
2019-03-22,1.0,-0.0,-0.35501742704052436,-0.0,-0.5280133173802216,-0.7180200801123654,0.0
2019-03-25,1.0,-0.0,-0.3220089389516108,-0.0,-0.543855116645568,-0.7176479706513034,0.0
2019-03-26,1.0,-0.0,-0.3174809199937698,-0.0,-0.5440267898862987,-0.7344115051139608,0.0
2019-03-27,1.0,-0.0,-0.31175875223834115,-0.0,-0.5477383022344484,-0.7356811045078244,0.0
2019-03-28,1.0,-0.0,-0.31052932315204407,-0.0,-0.5474520804114072,-0.7392602981663291,0.0
2019-03-29,1.0,-0.0,-0.2970882383581623,-0.0,-0.553729555161996,-0.75362016876758,0.0
2019-04-01,1.0,-0.0,-0.29818785160604566,-0.0,-0.5514219791045549,-0.7428771420423613,0.0
2019-04-02,1.0,-0.0,-0.3059914038630832,-0.0,-0.5623996685826731,-0.7208326860338666,0.0
2019-04-03,1.0,-0.0,-0.30411171450737007,-0.0,-0.5670028445823636,-0.7148435479700026,0.0
2019-04-04,1.0,-0.0,-0.30073406310367035,-0.0,-0.5408370895041855,-0.7340888602704443,0.0
2019-04-05,1.0,-0.0,-0.29485955998039776,-0.0,-0.5447112532562998,-0.7396765623790977,0.0
2019-04-08,1.0,-0.0,-0.2962991499088271,-0.0,-0.5429283201068392,-0.7290238076893444,0.0
2019-04-09,1.0,-0.0,-0.2825181299182225,-0.0,-0.5752970220644962,-0.7138044540451576,0.0
2019-04-10,1.0,-0.0,-0.2877427652733119,-0.0,-0.5729646302250804,-0.7116398713826367,0.0
2019-04-11,1.0,-0.0,-0.29007318833109985,-0.0,-0.5848366147819812,-0.7021441088547572,0.0
2019-04-12,1.0,-0.0,-0.2909667113263939,-0.0,-0.5836339276512419,-0.701922085952798,0.0
2019-04-15,1.0,-0.0,-0.2903050812430575,-0.0,-0.5891865361266824,-0.7037534550902844,0.0
2019-04-16,1.0,-0.0,-0.2885211995863496,-0.0,-0.5872543950361945,-0.7095398138572907,0.0
2019-04-17,1.0,-0.0,-0.28800062253579584,-0.0,-0.5756640381821955,-0.7302344884830878,0.0
2019-04-18,1.0,-0.0,-0.29728677138777104,-0.0,-0.571257951447488,-0.7278462936518241,0.0
2019-04-22,1.0,-0.0,-0.3071054254007398,-0.0,-0.5510429510891903,-0.7107223592272914,0.0
2019-04-23,1.0,-0.0,-0.34507360699392053,-0.0,-0.5149977390343163,-0.652112746822087,0.0
2019-04-24,1.0,-0.0,-0.34108877343573524,-0.0,-0.5134151544813392,-0.655347237908792,0.0
2019-04-25,1.0,-0.0,-0.34195150086516035,-0.0,-0.5108458509917998,-0.6549138601198686,0.0
2019-04-26,1.0,-0.0,-0.34423507509622886,-0.0,-0.5010188935570706,-0.6705577498805001,0.0
2019-04-29,1.0,-0.0,-0.34195748094665057,-0.0,-0.49558764540713995,-0.6694745286803049,0.0
2019-04-30,1.0,-0.0,-0.3369652540670818,-0.0,-0.4883510745129544,-0.6852028519783089,0.0
2019-05-01,1.0,-0.0,-0.3347986636187797,-0.0,-0.5076741440377804,-0.6695219673943078,0.0
2019-05-02,1.0,-0.0,-0.3342208379383101,-0.0,-0.4948256806992867,-0.6827589671455843,0.0
2019-05-03,1.0,-0.0,-0.3180051651079407,-0.0,-0.5045758844620515,-0.6847278288995311,0.0
2019-05-06,1.0,-0.0,-0.34799518947826313,-0.0,-0.5132929044804381,-0.697500063969704,0.0
2019-05-07,1.0,-0.0,-0.3540439481637044,-0.0,-0.5098857757516775,-0.697126466219331,0.0
2019-05-08,1.0,-0.0,-0.3611956327188115,-0.0,-0.5102917487023447,-0.685468817919149,0.0
2019-05-09,1.0,-0.0,-0.3589553384151021,-0.0,-0.5165754335703688,-0.6824065073924388,0.0
2019-05-10,1.0,-0.0,-0.3598781549173194,-0.0,-0.5221676137818052,-0.6776992781446782,0.0
2019-05-13,1.0,-0.0,-0.359506564635426,-0.0,-0.5190540782637626,-0.6807514140199115,0.0
