Date,CWT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.36047704539625547,-0.8709925621954347,-0.026929982046678635,-0.5490189792254425,-0.39856373429084385,0.0
2018-09-25,1.0,-0.36417872149340863,-0.8691342977194727,-0.032010777175481925,-0.5471982551239696,-0.3950027263687975,0.0
2018-09-26,1.0,-0.36404170008019243,-0.869093825180433,-0.03156375300721732,-0.5473937449879711,-0.39560545308740974,0.0
2018-09-27,1.0,-0.3657778347541824,-0.8637266841869111,-0.03307480289725017,-0.547144413819627,-0.3952310749310941,0.0
2018-09-28,1.0,-0.3650931000224337,-0.863955388904913,-0.033522417716245236,-0.5469345896227927,-0.39531455308784413,0.0
2018-10-01,1.0,-0.36682879377431904,-0.8815175097276264,-0.034435797665369645,-0.5545395590142672,-0.4052529182879377,0.0
2018-10-02,1.0,-0.36685197828277905,-0.896583113885367,-0.030625182873305377,-0.5532039403101532,-0.40378425826587344,0.0
2018-10-03,1.0,-0.36642188718481933,-0.8906615544580193,-0.02999090200155966,-0.5549779048609307,-0.4072329087600728,0.0
2018-10-04,1.0,-0.3664370206681399,-0.8905498505134538,-0.03044975952164305,-0.5547575718185364,-0.407513323800858,0.0
2018-10-05,1.0,-0.35890960890960893,-0.8886298886298887,-0.02114089614089614,-0.5585988085988086,-0.4102240352240352,0.0
2018-10-08,1.0,-0.3574618172404867,-0.8864548278539996,-0.01592026922081284,-0.5649754077142118,-0.410982397100699,0.0
2018-10-09,1.0,-0.35533603238866396,-0.8882267206477732,-0.00923076923076923,-0.5693927125506073,-0.4167125506072874,0.0
2018-10-10,1.0,-0.35754551934167045,-0.8870601956845721,-0.011371735890623989,-0.5709518564115855,-0.41291388582906763,0.0
2018-10-11,1.0,-0.2878586777904184,-0.8899317406143346,-0.0,-0.5545443053975477,-0.4278536215396284,0.0
2018-10-12,1.0,-0.2840891235347726,-0.8907953866943213,-0.0,-0.5490085163885484,-0.41868577354577163,0.0
2018-10-15,1.0,-0.25252239509665253,-0.924972497249725,-0.0,-0.5447430457331447,-0.420933521923621,0.0
2018-10-16,1.0,-0.25087994971715905,-0.9273727215587682,-0.0,-0.5440917661847895,-0.42036455059710875,0.0
2018-10-17,1.0,-0.2405842137973897,-0.9078309509011809,-0.0,-0.5388129272840273,-0.4203542573026725,0.0
2018-10-18,1.0,-0.24032067615437203,-0.9076502392641851,-0.0,-0.5390280280902369,-0.4202659871978125,0.0
2018-10-19,1.0,-0.2219370400148432,-0.8996845816067783,-0.0,-0.5474364524707774,-0.42324819098274474,0.0
2018-10-22,1.0,-0.22191950464396282,-0.8885758513931888,-0.0,-0.555046439628483,-0.4304334365325077,0.0
2018-10-23,1.0,-0.22648580011768712,-0.8892811793490043,-0.0,-0.552138499179287,-0.42912446963362133,0.0
2018-10-24,1.0,-0.22516186994640475,-0.8917562501936243,-0.0,-0.5525883701477741,-0.428482914588432,0.0
2018-10-25,1.0,-0.1902609534140903,-0.8529801723618393,-0.0,-0.5693967335623455,-0.400711143253179,0.0
2018-10-26,1.0,-0.17531033659584627,-0.8412210551444259,-0.0,-0.5740928622582956,-0.39335163523513966,0.0
2018-10-29,1.0,-0.1597327394209354,-0.8480475129918337,-0.0,-0.5669190794357832,-0.39486265775798074,0.0
2018-10-30,1.0,-0.1411439114391144,-0.8511486727770503,-0.0,-0.5704975598143078,-0.41307582430663015,0.0
2018-10-31,1.0,-0.14311079545454547,-0.839459043560606,-0.0,-0.5677379261363636,-0.4090021306818182,0.0
2018-11-01,1.0,-0.10943924676717717,-0.8763482509981527,-0.0,-0.5755914427030571,-0.41821107204576613,0.0
2018-11-02,1.0,-0.11717057828679939,-0.8450879743642999,-0.0,-0.5895617600807049,-0.41527460463460225,0.0
2018-11-05,1.0,-0.1142255442842736,-0.8531767218366257,-0.0,-0.5901405944118171,-0.4085839710506022,0.0
2018-11-06,1.0,-0.11099881093935791,-0.8513971462544591,-0.0,-0.5950356718192628,-0.4151902497027348,0.0
2018-11-07,1.0,-0.11284104832202732,-0.855213220571975,-0.0,-0.6010220243253743,-0.41929892717329587,0.0
2018-11-08,1.0,-0.09961708569562765,-0.8544331977796906,-0.0,-0.5950903855857994,-0.4191575885303808,0.0
2018-11-09,1.0,-0.10130835563484986,-0.8558132619684806,-0.0,-0.5954207552780256,-0.42099316086827243,0.0
