Date,BKE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5619174434087882,-1.94702715220286,-0.0,-1.067041046720315,-1.2134545244022463,0.0
2018-09-25,1.0,-0.5689635205558773,-1.9453966415749855,-0.0,-1.0661841343370007,-1.2098436595251882,0.0
2018-09-26,1.0,-0.5679606025492469,-1.9453650057937428,-0.0,-1.0671494785631517,-1.2133256083429895,0.0
2018-09-27,1.0,-0.5825970704487329,-1.9333294582655198,-0.0,-1.0763194605905604,-1.2202976052080912,0.0
2018-09-28,1.0,-0.5804313702691704,-1.9358176850183129,-0.0,-1.0766234521248765,-1.2206848439044242,0.0
2018-10-01,1.0,-0.5806582926261921,-1.9366131658525236,-0.0,-1.076820190742033,-1.221156082809956,0.0
2018-10-02,1.0,-0.5846270131984418,-1.9222629222629224,-0.0,-1.0815745101459386,-1.22582708296994,0.0
2018-10-03,1.0,-0.6091340450771056,-1.9838671411625148,-0.0,-1.1027876631079478,-1.2354685646500594,0.0
2018-10-04,1.0,-0.6121578386064699,-1.9761227633605876,-0.0,-1.1055812300035548,-1.2310107832681596,0.0
2018-10-05,1.0,-0.573664552083951,-1.969170569751586,-0.0,-1.1261042271891861,-1.259797237208751,0.0
2018-10-08,1.0,-0.5675116705075932,-1.9614725521479646,-0.0,-1.124859658452993,-1.25527388760858,0.0
2018-10-09,1.0,-0.5740247439767951,-1.9660806251109926,-0.0,-1.1257325519445924,-1.2537737524418398,0.0
2018-10-10,1.0,-0.5821515457188631,-1.9681955734883996,-0.0,-1.1333293775588915,-1.2499258292292172,0.0
2018-10-11,1.0,-0.4189399619355211,-1.9754887825134093,-0.0,-1.087548301516812,-1.2853682449968282,0.0
2018-10-12,1.0,-0.40658089491062277,-1.9632813389502448,-0.0,-1.0615393373562563,-1.2614140954115904,0.0
2018-10-15,1.0,-0.37084065529165017,-1.989456380023808,-0.0,-1.050053851822459,-1.2582620032877954,0.0
2018-10-16,1.0,-0.36444570456478587,-2.0009639920612416,-0.0,-1.0484831301389284,-1.2566487099518004,0.0
2018-10-17,1.0,-0.32221655039419206,-1.9470818444784754,-0.0,-1.0792921558618342,-1.3232374794396236,0.0
2018-10-18,1.0,-0.32090991604265945,-1.9450873610165647,-0.0,-1.0826525981393238,-1.3241434082142047,0.0
2018-10-19,1.0,-0.2851781313018149,-1.9238180596011651,-0.0,-1.0751176338785569,-1.3174994398386735,0.0
2018-10-22,1.0,-0.29170418730301667,-1.9409612787032868,-0.0,-1.0767672219720845,-1.3186627645204863,0.0
2018-10-23,1.0,-0.3464631161869246,-2.005477217107563,-0.0,-1.1135648525812842,-1.3612632560307656,0.0
2018-10-24,1.0,-0.3499381734675852,-2.01230642407113,-0.0,-1.1361950185479597,-1.3897426838603308,0.0
2018-10-25,1.0,-0.2659186695523408,-1.9270987584007289,-0.0,-1.1677867638683221,-1.334605308121654,0.0
2018-10-26,1.0,-0.23235261214900996,-1.8897527687660811,-0.0,-1.1637767088041169,-1.307584741022486,0.0
2018-10-29,1.0,-0.1982806433721575,-1.8969495285635054,-0.0,-1.1430948419301166,-1.3079866888519136,0.0
2018-10-30,1.0,-0.1599641536910496,-1.9165453119749074,-0.0,-1.163660804301557,-1.360759493670886,0.0
2018-10-31,1.0,-0.16242531533525117,-1.8775724717857933,-0.0,-1.1488161097587963,-1.3433834919229917,0.0
2018-11-01,1.0,-0.10264447737376041,-1.9973783198449788,-0.0,-1.2030662259204377,-1.3962156616892738,0.0
2018-11-02,1.0,-0.11292601593850676,-1.9371502854236138,-0.0,-1.2176567003899847,-1.384276267450404,0.0
2018-11-05,1.0,-0.10388797176524164,-1.9887857915409577,-0.0,-1.2340183298229637,-1.3658564353617577,0.0
2018-11-06,1.0,-0.09982235975015759,-1.9909460775886771,-0.0,-1.2525929746146354,-1.3869692281244628,0.0
2018-11-07,1.0,-0.0985576923076923,-1.989640567765568,-0.0,-1.2499427655677657,-1.385302197802198,0.0
2018-11-08,1.0,-0.03299954483386436,-2.007282658170232,-0.0,-1.238962221210742,-1.4103322712790167,0.0
2018-11-09,1.0,-0.032990159831636424,-2.006313634036744,-0.0,-1.2391217791934475,-1.4095898981855413,0.0
2018-11-12,1.0,-0.029069767441860465,-1.9776473244524722,-0.0,-1.238936554526981,-1.398961390833145,0.0
2018-11-13,1.0,-0.0,-1.9670887488146371,-0.0,-1.2269760696156633,-1.3840575667986834,0.0
2018-11-14,1.0,-0.0,-1.9680245535714285,-0.0,-1.2275111607142857,-1.384765625,0.0
2018-11-15,1.0,-0.0,-1.9672176768520064,-0.0,-1.2275282462291979,-1.3710135247954582,0.0
2018-11-16,1.0,-0.0,-1.9464632454923718,-0.0,-1.222246879334258,-1.3790846047156726,0.0
2018-11-19,1.0,-0.0,-1.9492109357635028,-0.0,-1.2249388753056234,-1.382640586797066,0.0
2018-11-20,1.0,-0.0,-1.9164785553047403,-0.0,-1.196828717722843,-1.3923911248141827,0.0
2018-11-21,1.0,-0.0,-1.9056911452954288,-0.0,-1.1888351361635048,-1.341142577594173,0.0
2018-11-23,1.0,-0.0,-1.8875630525573575,-0.0,-1.1946086673536909,-1.3417584205673374,0.0
2018-11-26,1.0,-0.0,-1.8913821138211382,-0.0,-1.1906775067750677,-1.3379945799457995,0.0
2018-11-27,1.0,-0.0,-1.8852934852719845,-0.0,-1.1694796817888626,-1.3204149645237584,0.0
2018-11-28,1.0,-0.0,-1.937251700680272,-0.0,-1.1757278911564626,-1.3292517006802722,0.0
2018-11-29,1.0,-0.0,-1.8961240310077518,-0.0,-1.1405506549051057,-1.3094359796845765,0.0
2018-11-30,1.0,-0.0,-1.896365579903795,-0.0,-1.1404061998931054,-1.307963655799038,0.0
