Date,IWF,IWM,MTUM,SPY,STX,VLUE,VXX
2018-09-24,-0.4521760213359195,-0.9643997252192186,-0.1741625247504748,-0.6964884632480706,1.0,-0.7537075201034469,0.0
2018-09-25,-0.4536090802601284,-0.9626368299874782,-0.17671769600517023,-0.6949549622329039,1.0,-0.7513430544896393,0.0
2018-09-26,-0.4530674970679824,-0.9629554737736078,-0.17341367735673557,-0.6972540138310349,1.0,-0.7574311481376633,0.0
2018-09-27,-0.45226885299131425,-0.9743079795437942,-0.17144248721487135,-0.7003409367643478,1.0,-0.7604513353356603,0.0
2018-09-28,-0.4489091130703287,-0.9790760979969935,-0.17230731727136067,-0.7011741762483241,1.0,-0.7614675171657255,0.0
2018-10-01,-0.44828428379533525,-0.9837587006960558,-0.1731184108763789,-0.7019579110188464,1.0,-0.7633817722961697,0.0
2018-10-02,-0.44846535862574294,-0.9839208662378899,-0.173532524627534,-0.7017015387120411,1.0,-0.763046487014573,0.0
2018-10-03,-0.44802050697806894,-0.9751800463848314,-0.1723969565040485,-0.7047646173251414,1.0,-0.7684827277535908,0.0
2018-10-04,-0.44748951419147287,-0.9777660137638962,-0.17274096998819072,-0.7038726228773873,1.0,-0.7702488088935945,0.0
2018-10-05,-0.43961176088369075,-0.9758771929824562,-0.16353963612735545,-0.7069119558154646,1.0,-0.7751380766731645,0.0
2018-10-08,-0.43770292207792205,-0.9729707792207792,-0.15746753246753248,-0.7141233766233767,1.0,-0.7761363636363636,0.0
2018-10-09,-0.4424336085241368,-0.9753548334621172,-0.16543983081865876,-0.7120257025499207,1.0,-0.7716458579039408,0.0
2018-10-10,-0.44369637505644727,-0.9923231659756148,-0.15850404367995402,-0.7205960835830699,1.0,-0.7902212734512911,0.0
2018-10-11,-0.3828093591702179,-1.0105732893784674,-0.066696148588888,-0.7223606979175042,1.0,-0.8378226260352175,0.0
2018-10-12,-0.39559303158062215,-1.0068411423116697,-0.06208734388672342,-0.6995863495346433,1.0,-0.8133004534245486,0.0
2018-10-15,-0.3727761194029851,-1.0523781094527362,-0.02674626865671642,-0.7039601990049752,1.0,-0.8242388059701493,0.0
2018-10-16,-0.372134670487106,-1.0545606494746895,-0.02503183699458771,-0.7039159503342884,1.0,-0.8240210124164279,0.0
2018-10-17,-0.3566976361284253,-1.0196009251636677,-0.012348582853110667,-0.6999490375945745,1.0,-0.831588850993767,0.0
2018-10-18,-0.35561130492728626,-1.0179530398651562,-0.013131590294382815,-0.7015013131590294,1.0,-0.8317588491239073,0.0
2018-10-19,-0.3404744283878004,-1.0081018969345226,-0.0,-0.7090717874810112,1.0,-0.8374946441787091,0.0
2018-10-22,-0.3404338175162584,-0.9985201915962459,-0.0,-0.713773900852837,1.0,-0.8415436738190738,0.0
2018-10-23,-0.341730260084099,-0.9984036754399626,-0.0,-0.712505840211805,1.0,-0.8408347609406635,0.0
2018-10-24,-0.33946631398786375,-0.9942041387894819,-0.0,-0.7128520304963436,1.0,-0.8433172553290805,0.0
