Date,HII,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.36858997475658134,-0.8460872701045798,-0.0850342589253516,-0.6761990623873062,-0.6302560403894699,0.0
2018-09-25,1.0,-0.3688840814854877,-0.8455741842437354,-0.0856679286100595,-0.6757526590950064,-0.6296736974941409,0.0
2018-09-26,1.0,-0.3701619593839051,-0.8472748259567868,-0.08812177614255312,-0.6754319518089673,-0.6261227139919923,0.0
2018-09-27,1.0,-0.37222042022560997,-0.8410278588676254,-0.0898835910188489,-0.6751720906764695,-0.6256532237719393,0.0
2018-09-28,1.0,-0.3716890698763919,-0.8412195034055281,-0.09034559803956899,-0.6749072038632022,-0.6255360553533461,0.0
2018-10-01,1.0,-0.37210810810810807,-0.8406126126126126,-0.09048648648648648,-0.6749909909909909,-0.6254414414414413,0.0
2018-10-02,1.0,-0.37368458988035175,-0.8281677958771804,-0.09510595358224017,-0.6780308490702033,-0.6288741530921147,0.0
2018-10-03,1.0,-0.37335206397233633,-0.8239680138318566,-0.09476982926302141,-0.6789856638570708,-0.6309343707225705,0.0
2018-10-04,1.0,-0.37375301617027407,-0.8229192926855621,-0.09525695970036376,-0.6790794828393417,-0.6303525767997984,0.0
2018-10-05,1.0,-0.35985786583396145,-0.8163382506011988,-0.08093751121639567,-0.6895660600839884,-0.6425110369333477,0.0
2018-10-08,1.0,-0.3588002873563219,-0.8149066091954024,-0.07442528735632184,-0.6989224137931035,-0.6449353448275862,0.0
2018-10-09,1.0,-0.35806903487662084,-0.8152006034266011,-0.07262670162709672,-0.6998671024747675,-0.6460974821306706,0.0
2018-10-10,1.0,-0.35777410547492455,-0.8158499784451789,-0.07188532835177468,-0.700136513866935,-0.6467883316568472,0.0
2018-10-11,1.0,-0.32237257239010025,-0.8097875622239361,-0.028149758115403493,-0.6914393886279183,-0.6538596368225478,0.0
2018-10-12,1.0,-0.31918194640338504,-0.8208744710860366,-0.018476727785613538,-0.7034908321579689,-0.6640691114245415,0.0
2018-10-15,1.0,-0.2779499234248673,-0.8921893364675713,-0.0,-0.7101542187555651,-0.6813405990668518,0.0
2018-10-16,1.0,-0.26586701246307903,-0.9339024565953462,-0.0,-0.7158706145090412,-0.6864418989986313,0.0
2018-10-17,1.0,-0.2408321204160602,-0.891866945933473,-0.0,-0.7152543576271788,-0.7020838510419255,0.0
2018-10-18,1.0,-0.24105969672218472,-0.893178024787812,-0.0,-0.7147270854788877,-0.7022976668205546,0.0
2018-10-19,1.0,-0.2204143578159743,-0.8815162531323898,-0.0,-0.7217731973317332,-0.70574947940564,0.0
2018-10-22,1.0,-0.22048856255295116,-0.871681728325332,-0.0,-0.7271604066647841,-0.7107102513414291,0.0
2018-10-23,1.0,-0.22605255721955356,-0.87277479513987,-0.0,-0.7239333144956203,-0.7093105397004804,0.0
2018-10-24,1.0,-0.22386215176017793,-0.8730977013523533,-0.0,-0.7243741393312383,-0.7096147734896366,0.0
2018-10-25,1.0,-0.19675400591431125,-0.8367375008596382,-0.0,-0.7214772023932329,-0.6836187332370538,0.0
2018-10-26,1.0,-0.17144911655937542,-0.8291329954800711,-0.0,-0.7431516230653334,-0.6804547322284619,0.0
2018-10-29,1.0,-0.1520139030873032,-0.8360594288829823,-0.0,-0.7351257411572276,-0.6843862877393853,0.0
2018-10-30,1.0,-0.17821033083430773,-0.8451062659054955,-0.0,-0.7429328014306349,-0.672776669647156,0.0
2018-10-31,1.0,-0.17983716475095785,-0.8330254515599342,-0.0,-0.7396688560481663,-0.6683429118773946,0.0
2018-11-01,1.0,-0.18068908885619464,-0.8325520922434736,-0.0,-0.7398296096075547,-0.6684572484346666,0.0
2018-11-02,1.0,-0.1829733596784084,-0.8177420453771206,-0.0,-0.7415003066021666,-0.6644750289568713,0.0
2018-11-05,1.0,-0.18446800531824226,-0.8146797122694576,-0.0,-0.7419288855555177,-0.6680530460573416,0.0
2018-11-06,1.0,-0.1792414076406956,-0.8129878132274408,-0.0,-0.7511639052444201,-0.6798575927700945,0.0
2018-11-07,1.0,-0.17878891549777626,-0.8127950735545673,-0.0,-0.7501881628463907,-0.679404721176873,0.0
2018-11-08,1.0,-0.16229619565217393,-0.8111073369565217,-0.0,-0.7430706521739131,-0.680264945652174,0.0
2018-11-09,1.0,-0.17401747484944477,-0.8382358060361331,-0.0,-0.7634977547255195,-0.705294670519024,0.0
2018-11-12,1.0,-0.17510541171551033,-0.8167404258284838,-0.0,-0.7847161724222044,-0.7081228002927136,0.0
2018-11-13,1.0,-0.1635283490828238,-0.8166689827682047,-0.0,-0.786860755975542,-0.7070594774874931,0.0
2018-11-14,1.0,-0.16369068297088862,-0.8164385465156674,-0.0,-0.7868060862919475,-0.7069061349267005,0.0
2018-11-15,1.0,-0.16282055730992126,-0.8182669951764584,-0.0,-0.7912343408404762,-0.6978172606447584,0.0
2018-11-16,1.0,-0.15976188004014813,-0.8096770844149102,-0.0,-0.7895337971134876,-0.7020385560516388,0.0
2018-11-19,1.0,-0.15949603682807795,-0.8098369734519401,-0.0,-0.7897961302827871,-0.7021563808798589,0.0
2018-11-20,1.0,-0.13169489191794026,-0.8035935563816605,-0.0,-0.7925444031391987,-0.7142709624122263,0.0
2018-11-21,1.0,-0.1370634622606083,-0.7978697982453146,-0.0,-0.7915201583996176,-0.6873314443723756,0.0
2018-11-23,1.0,-0.13836606655755593,-0.78696126568467,-0.0,-0.7959629023458812,-0.6884547190398255,0.0
2018-11-26,1.0,-0.13736188787341427,-0.7934456417951166,-0.0,-0.7935820488337199,-0.6857863865775474,0.0
