Date,IWF,IWM,MTUM,SPY,TSLX,VLUE,VXX
2018-09-24,-0.19436017650303367,-0.39407519764662624,-0.0,-0.3660829196543482,1.0,-0.34372127229270083,0.0
2018-09-25,-0.19346751006325474,-0.3950316273720529,-0.0,-0.36680851063829784,1.0,-0.34486486486486484,0.0
2018-09-26,-0.19219073946095372,-0.39477079014052063,-0.0,-0.3678415111725409,1.0,-0.34881363741073484,0.0
2018-09-27,-0.19567921138698233,-0.3891473582385186,-0.0,-0.3689253305080842,1.0,-0.34946335621170943,0.0
2018-09-28,-0.19450331736085513,-0.3905731662366384,-0.0,-0.36901032067821593,1.0,-0.3496590490232215,0.0
2018-10-01,-0.19541368979027426,-0.38990550818160863,-0.0,-0.3696473841899055,1.0,-0.3497349619728048,0.0
2018-10-02,-0.19565718500760684,-0.38997740998570835,-0.0,-0.36966944815822234,1.0,-0.3497994559955742,0.0
2018-10-03,-0.19661987439970446,-0.3945557813077207,-0.0,-0.3692971924639823,1.0,-0.3483561137790912,0.0
2018-10-04,-0.1977197719771977,-0.3926007985413926,-0.0,-0.3704908952433705,1.0,-0.3471347134713471,0.0
2018-10-05,-0.1887043799811663,-0.38654998966443876,-0.0,-0.3718964606444797,1.0,-0.34964055214864836,0.0
2018-10-08,-0.1873007865348896,-0.38466830241463923,-0.0,-0.37228553738907105,1.0,-0.3488500080258662,0.0
2018-10-09,-0.19237841316539486,-0.3870782384848763,-0.0,-0.3721844258527167,1.0,-0.34678679783028404,0.0
2018-10-10,-0.1951696377228292,-0.38652098907418053,-0.0,-0.37435307648073607,1.0,-0.3441288096607245,0.0
2018-10-11,-0.1508227508495797,-0.37611786800214625,-0.0,-0.35905920228939364,1.0,-0.3497585405115364,0.0
2018-10-12,-0.1523698043199788,-0.36951720482353456,-0.0,-0.3486461416140289,1.0,-0.3380449666504704,0.0
2018-10-15,-0.13112837032787608,-0.39051674683376725,-0.0,-0.3453289793036495,1.0,-0.33945986496624153,0.0
2018-10-16,-0.12624298404560924,-0.40009722897423433,-0.0,-0.34469881115481504,1.0,-0.3387103902417466,0.0
2018-10-17,-0.11454339491111885,-0.378224119902405,-0.0,-0.3420834785639596,1.0,-0.34363018473335655,0.0
2018-10-18,-0.11380430280968677,-0.37685550493711445,-0.0,-0.34470431806787716,1.0,-0.3443773568454781,0.0
2018-10-19,-0.1041603598149029,-0.36863728754919345,-0.0,-0.34565151580677245,1.0,-0.34390001297409506,0.0
2018-10-22,-0.10483137798173081,-0.3714230053249058,-0.0,-0.34497164379410367,1.0,-0.34334819689164037,0.0
2018-10-23,-0.10734230919087406,-0.371639464911901,-0.0,-0.34315338326334477,1.0,-0.34246071258496036,0.0
2018-10-24,-0.10622243362449192,-0.3702542592752746,-0.0,-0.3430338147539566,1.0,-0.3426014010204964,0.0
2018-10-25,-0.08876300383270859,-0.34544918502295413,-0.0,-0.3453860085077707,1.0,-0.32628564208398264,0.0
2018-10-26,-0.07971014492753624,-0.3386167146974063,-0.0,-0.34838992607442676,1.0,-0.32155536064820617,0.0
2018-10-29,-0.07189787092481703,-0.3401530272787758,-0.0,-0.3445400864936793,1.0,-0.32256320691949436,0.0
2018-10-30,-0.06324349055818984,-0.34082023126195826,-0.0,-0.3454371516512769,1.0,-0.330192995591049,0.0
2018-10-31,-0.06459359860875326,-0.33379570204132336,-0.0,-0.34396091259161116,1.0,-0.32795743447476294,0.0
2018-11-01,-0.062047420035585714,-0.3354988207059213,-0.0,-0.3436090536682253,1.0,-0.32778168576985145,0.0
2018-11-02,-0.062467701593732564,-0.3335882754201377,-0.0,-0.34379973954565185,1.0,-0.32724228455671084,0.0
2018-11-05,-0.06151716157295477,-0.33597834397536835,-0.0,-0.3438720476101915,1.0,-0.32502634678569214,0.0
2018-11-06,-0.06221717119537143,-0.33633639838826324,-0.0,-0.3433825808451286,1.0,-0.3243723525157558,0.0
2018-11-07,-0.0636293693206629,-0.33956457549229585,-0.0,-0.3484643696325716,1.0,-0.32771204591295666,0.0
2018-11-08,-0.04108228869306193,-0.34518638037317445,-0.0,-0.34502089280542797,1.0,-0.3373050349592487,0.0
2018-11-09,-0.04079268544950561,-0.3451656944272062,-0.0,-0.3454552976707625,1.0,-0.3371602333374705,0.0
2018-11-12,-0.04116843890934669,-0.3313749017336257,-0.0,-0.3579999172493691,1.0,-0.3382432041044313,0.0
2018-11-13,-0.03363643844634628,-0.3289170506912442,-0.0,-0.35796576695194204,1.0,-0.336734693877551,0.0
2018-11-14,-0.03263513792108193,-0.33119614068362674,-0.0,-0.3592957572259102,1.0,-0.3384735908959716,0.0
