Date,IWF,IWM,LPX,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3930604002203048,-0.9201028088856251,1.0,-0.0,-0.6627134202313201,-0.6958692858454195,0.0
2018-09-25,-0.3945311066250688,-0.9191778307946411,1.0,-0.0,-0.6621031381904936,-0.694622866581024,0.0
2018-09-26,-0.3924947418914432,-0.9215527102320948,1.0,-0.0,-0.6676506401977788,-0.7081657503413159,0.0
2018-09-27,-0.395480017696505,-0.9151305117239346,1.0,-0.0,-0.6679693260581036,-0.7081551393599764,0.0
2018-09-28,-0.39370920756665073,-0.9171798370146392,1.0,-0.0,-0.6681293558022051,-0.7083963272982042,0.0
2018-10-01,-0.40074183976261124,-0.9193991097922849,1.0,-0.0,-0.6761127596439169,-0.7129451038575667,0.0
2018-10-02,-0.4042513726072117,-0.9068852945540881,1.0,-0.0,-0.6808502745214423,-0.7177251817777118,0.0
2018-10-03,-0.4050933660021532,-0.9102349927608865,1.0,-0.0,-0.6805137914392843,-0.7165237405798716,0.0
2018-10-04,-0.4252489197820778,-0.906143152357693,1.0,-0.0,-0.7099755776817583,-0.7158745068570356,0.0
2018-10-05,-0.40590723617714225,-0.8966420843783927,1.0,-0.0,-0.7158686781716768,-0.7250776775352825,0.0
2018-10-08,-0.4037678017418608,-0.8941427129667702,1.0,-0.0,-0.7161813628378125,-0.7238440548723507,0.0
2018-10-09,-0.4008074464505999,-0.8939852715786325,1.0,-0.0,-0.717318978729767,-0.7260663152779335,0.0
2018-10-10,-0.4022116301239276,-0.9228598665395616,1.0,-0.0,-0.7325452812202098,-0.7555386081982842,0.0
2018-10-11,-0.30483786415037817,-0.9301655058788286,1.0,-0.0,-0.7168801018497716,-0.7925559799296037,0.0
2018-10-12,-0.30867620420686853,-0.9221470555617168,1.0,-0.0,-0.6956859265831208,-0.7702118221137851,0.0
2018-10-15,-0.25895552987661685,-0.9894509263055876,1.0,-0.0,-0.6962388638312148,-0.7829425578708018,0.0
2018-10-16,-0.24843533335831802,-1.017389349023723,1.0,-0.0,-0.6978600607128134,-0.7840197878799235,0.0
2018-10-17,-0.22457252358490568,-0.9753095518867925,1.0,-0.0,-0.6921432783018868,-0.7931161556603774,0.0
2018-10-18,-0.23493276398097165,-1.0043076001048807,1.0,-0.0,-0.6990673109338128,-0.8074690040079411,0.0
2018-10-19,-0.2181365258774539,-0.9949806662700775,1.0,-0.0,-0.698282272456871,-0.806625520523498,0.0
2018-10-22,-0.21825750817722273,-0.9862845673505798,1.0,-0.0,-0.7022747546833185,-0.8100654177817425,0.0
2018-10-23,-0.2243091456837877,-0.9875776397515528,1.0,-0.0,-0.6988135530181873,-0.8086063897050619,0.0
2018-10-24,-0.22217261904761906,-0.9824776785714286,1.0,-0.0,-0.7014508928571429,-0.8141369047619048,0.0
2018-10-25,-0.17921431405793442,-0.9318567151257169,1.0,-0.0,-0.7144042422712022,-0.781862126185924,0.0
2018-10-26,-0.1700468576742855,-0.9202346460635977,1.0,-0.0,-0.7132739564330938,-0.7734020102299961,0.0
2018-10-29,-0.1693614885455132,-0.9227046212311332,1.0,-0.0,-0.718101315742301,-0.7749614598644821,0.0
2018-10-30,-0.17134045757727892,-0.9228645198307396,1.0,-0.0,-0.7182098544072295,-0.7736139998565589,0.0
2018-10-31,-0.17649991098451132,-0.900017803097739,1.0,-0.0,-0.716004984867367,-0.7680968488517003,0.0
2018-11-01,-0.17986457590876692,-0.8983250178189593,1.0,-0.0,-0.7168923734853885,-0.7687099073414112,0.0
2018-11-02,-0.1792657367926574,-0.9310544193105442,1.0,-0.0,-0.7212184722121847,-0.7819614078196141,0.0
2018-11-05,-0.1752230933198454,-0.9425195996965209,1.0,-0.0,-0.7222443007334081,-0.7728241627226418,0.0
2018-11-06,-0.1840211219212268,-0.9507034612463379,1.0,-0.0,-0.717566638938117,-0.7644761112517632,0.0
2018-11-07,-0.1848952670870479,-0.9523447126186853,1.0,-0.0,-0.7204102341088642,-0.7662897731390882,0.0
2018-11-08,-0.1761605660241138,-0.9513031550068587,1.0,-0.0,-0.7162298750992708,-0.7661540682983179,0.0
2018-11-09,-0.177822755529854,-0.9524721700159029,1.0,-0.0,-0.7164594477374584,-0.7675292756975568,0.0
2018-11-12,-0.17666762714306297,-0.9420832733035587,1.0,-0.0,-0.7183763146520674,-0.7646232531335543,0.0
2018-11-13,-0.14031124497991967,-0.9455679862306368,1.0,-0.0,-0.7311388410786,-0.7687894434882386,0.0
2018-11-14,-0.14031124497991967,-0.9455679862306368,1.0,-0.0,-0.7311388410786,-0.7687894434882386,0.0
2018-11-15,-0.13946821472084858,-0.9485415322869635,1.0,-0.0,-0.7368666236651618,-0.7585465491292196,0.0
2018-11-16,-0.13268457339844872,-0.9378052283826487,1.0,-0.0,-0.7433208848032175,-0.7771114622234989,0.0
2018-11-19,-0.13515745628209272,-0.9370533950949765,1.0,-0.0,-0.7419656002010844,-0.7766167546411001,0.0
