Date,IWF,IWM,JBL,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.4514498950478115,1.0,-0.0,-0.09573971857265023,-0.0,-0.5289201585944181,-0.0,-0.6378372074943638,-0.14094690196688175,-0.0,-0.12108372852367255,-0.0,-0.0,-0.13993625126331338,-0.0,-0.7712042291844826,-0.0,-0.0
2019-01-03,-0.0,-0.45655289970170065,1.0,-0.0,-0.07941734784798357,-0.0,-0.49908960601247426,-0.0,-0.6406074458606128,-0.15085422074148686,-0.0,-0.13222019912447217,-0.0,-0.0,-0.14810366869406885,-0.0,-0.7671715802115213,-0.0,-0.0
2019-01-04,-0.0,-0.43589948145193463,1.0,-0.0,-0.05747905863581971,-0.0,-0.5731152772237735,-0.0,-0.7042281611487835,-0.1351814918228959,-0.0,-0.1538492221779019,-0.0,-0.0,-0.13797367371360195,-0.0,-0.7911049062624652,-0.0,-0.0
2019-01-07,-0.0,-0.37249007592399896,1.0,-0.0,-0.17397001580144142,-0.0,-0.6794234400894131,-0.0,-0.6222299302424174,-0.07869888619108183,-0.0,-0.13327166917177324,-0.0,-0.0,-0.0931899641577061,-0.0,-0.7006975758276487,-0.0,-0.0
2019-01-08,-0.0,-0.36799506667694437,1.0,-0.0,-0.1722423494951052,-0.0,-0.6815694133970553,-0.0,-0.6243736992214599,-0.07870191937100131,-0.0,-0.1347799275418176,-0.0,-0.0,-0.09242272411932474,-0.0,-0.7020735373467971,-0.0,-0.0
2019-01-09,-0.0,-0.2932709324733551,1.0,-0.0,-0.10701223109293272,-0.0,-0.8202304636803398,-0.0,-0.6255555118574744,-0.03000747237188815,-0.0,-0.2512290085342353,-0.0,-0.0,-0.11873205647540018,-0.0,-0.6867503047941165,-0.0,-0.0
2019-01-10,-0.0,-0.3299651291805358,1.0,-0.0,-0.13258836582659692,-0.0,-0.8439134569662388,-0.0,-0.6073862735774291,-0.009430971627833256,-0.0,-0.27131875099064834,-0.0,-0.0,-0.06466951973371375,-0.0,-0.7032414011729275,-0.0,-0.0
2019-01-11,-0.0,-0.32445425171408304,1.0,-0.0,-0.13038852549452282,-0.0,-0.8340688785562298,-0.0,-0.5952399716289699,-0.01521002443060919,-0.0,-0.2833556623847427,-0.0,-0.0,-0.07143982977381984,-0.0,-0.6863030971707778,-0.0,-0.0
2019-01-14,-0.0,-0.3341756159191409,1.0,-0.0,-0.12271004421983575,-0.0,-0.8439671509791535,-0.0,-0.5870183196462413,-0.0039876816171825645,-0.0,-0.2911007580543272,-0.0,-0.0,-0.08796588755527479,-0.0,-0.6773136449778902,-0.0,-0.0
2019-01-15,-0.0,-0.2747149406371224,1.0,-0.0,-0.18047882136279925,-0.0,-0.8468712041064221,-0.0,-0.5549155597351201,-0.007131381999137965,-0.0,-0.34477489126601624,-0.0,-0.0,-0.11343599388738686,-0.0,-0.5960189647741077,-0.0,-0.0
2019-01-16,-0.0,-0.26070705497586044,1.0,-0.0,-0.19268805482012147,-0.0,-0.8311010745989721,-0.0,-0.5903675439962622,-0.0,-0.0,-0.3305170534184706,-0.0,-0.0,-0.10679800654103722,-0.0,-0.5812957483258059,-0.0,-0.0
2019-01-17,-0.0,-0.25873880887504863,1.0,-0.0,-0.19314908524717786,-0.0,-0.8416115219929934,-0.0,-0.5937718956792526,-0.0,-0.0,-0.3139743090696769,-0.0,-0.0,-0.11969637991436356,-0.0,-0.571701050992604,-0.0,-0.0
2019-01-18,-0.0,-0.251841172115497,1.0,-0.0,-0.20052215251529437,-0.0,-0.8454584421151072,-0.0,-0.5471301094961618,-0.015586642247593811,-0.0,-0.3332424112535557,-0.0,-0.0,-0.12851186533141098,-0.0,-0.5743288002182129,-0.0,-0.0
2019-01-22,-0.0,-0.2642907003800512,1.0,-0.0,-0.17137206235941985,-0.0,-0.8390599550143489,-0.0,-0.543667106181649,-0.02377258977739859,-0.0,-0.32773598076475613,-0.0,-0.0,-0.11797099201116885,-0.0,-0.5901652059256962,-0.0,-0.0
2019-01-23,-0.0,-0.26511015603825455,1.0,-0.0,-0.1623494792271654,-0.0,-0.8529833120377899,-0.0,-0.5438881790374415,-0.015371510434816276,-0.0,-0.3300034847252875,-0.0,-0.0,-0.10713594300538197,-0.0,-0.595074921593681,-0.0,-0.0
2019-01-24,-0.0,-0.2619047619047619,1.0,-0.0,-0.17631396156517715,-0.0,-0.8346839546191248,-0.0,-0.55537547271745,-0.02168711893185151,-0.0,-0.3267345836227522,-0.0,-0.0,-0.08655552982943583,-0.0,-0.5956239870340356,-0.0,-0.0
2019-01-25,-0.0,-0.2892786465406853,1.0,-0.0,-0.1576578324473245,-0.0,-0.8126188351247526,-0.02925769275542276,-0.5338946878274029,-0.030460595242714678,-0.0,-0.3412362733304878,-0.0,-0.0,-0.02778316712583912,-0.0,-0.6581816770788871,-0.0,-0.0
2019-01-28,-0.0,-0.2898933074684772,1.0,-0.0,-0.15549951503394763,-0.0,-0.815247332686712,-0.02820562560620757,-0.5358292919495636,-0.029796314258001944,-0.0,-0.3412221144519884,-0.0,-0.0,-0.026614936954413193,-0.0,-0.6573811833171679,-0.0,-0.0
2019-01-29,-0.0,-0.29064039408866993,1.0,-0.0,-0.15375664248865445,-0.0,-0.8157945774019628,-0.027268143206237154,-0.5369846010627982,-0.02784996702998332,-0.0,-0.3409487607152555,-0.0,-0.0,-0.03126333346262752,-0.0,-0.6543578604398588,-0.0,-0.0
2019-01-30,-0.0,-0.28994955374466436,1.0,-0.0,-0.15657741559953434,-0.0,-0.8159487776484285,-0.029452852153667056,-0.5403181994567327,-0.024447031431897557,-0.0,-0.33830034924330615,-0.0,-0.0,-0.03178114086146682,-0.0,-0.6537834691501746,-0.0,-0.0
2019-01-31,-0.0,-0.27760825060836647,1.0,-0.0,-0.19788327088724939,-0.0,-0.7971725443238441,-0.03773803545907528,-0.5295299161806172,-0.01653211788790606,-0.0,-0.34149638842751745,-0.0,-0.0,-0.023639383521959132,-0.0,-0.6410830854803198,-0.0,-0.0
2019-02-01,-0.0,-0.27796649424843667,1.0,-0.0,-0.19678838879024163,-0.0,-0.7991970971975604,-0.03894850613757431,-0.5321547131938548,-0.012120744229136107,-0.0,-0.34185130857716356,-0.0,-0.0,-0.022272832548444376,-0.0,-0.6388481432872694,-0.0,-0.0
