Date,IWF,IWM,MTUM,PEBO,SPY,VLUE,VXX
2018-09-24,-0.14262470127624954,-0.6770986932424874,-0.07088015457365128,1.0,-0.3089184929068999,-0.3427823257232928,0.0
2018-09-25,-0.14169063270336893,-0.6890920295809367,-0.06267974527526705,1.0,-0.31938167625308134,-0.35497124075595726,0.0
2018-09-26,-0.1413378545006165,-0.6889385532264694,-0.061369708179202634,1.0,-0.32005240443896427,-0.35714652692149607,0.0
2018-09-27,-0.14057351729818782,-0.6939868204283361,-0.06026050247116969,1.0,-0.3210976112026359,-0.3581908978583196,0.0
2018-09-28,-0.13857407788996498,-0.6963218627653,-0.060761384710488364,1.0,-0.32142489181949313,-0.3586441376468164,0.0
2018-10-01,-0.13875795275996186,-0.6960564613759885,-0.060865981505808416,1.0,-0.3214846869123973,-0.35862761764933154,0.0
2018-10-02,-0.13901530823334712,-0.7141083988415391,-0.05582850641290857,1.0,-0.3202575506826645,-0.35664046338436073,0.0
2018-10-03,-0.13936822497606913,-0.7156753680180064,-0.05619227485576799,1.0,-0.3199492924223217,-0.3558844074198639,0.0
2018-10-04,-0.13796964095086833,-0.7273153331423958,-0.055640898794490586,1.0,-0.31866586820110915,-0.36410029421719997,0.0
2018-10-05,-0.12921129755945743,-0.7254713800347538,-0.04857743081671292,1.0,-0.3215239774878751,-0.36875275566045074,0.0
2018-10-08,-0.12825095844990156,-0.7244327012744793,-0.04737850999896384,1.0,-0.3220909750284945,-0.3682778986633509,0.0
2018-10-09,-0.12553921313861025,-0.7281066472636557,-0.037264175458656,1.0,-0.32976456525128633,-0.37794293435892107,0.0
2018-10-10,-0.12769442783223695,-0.7271639928235264,-0.03947060505993396,1.0,-0.331391871863543,-0.3744767154632206,0.0
2018-10-11,-0.09361745358494399,-0.7337007594036523,-0.0,1.0,-0.3240545551520077,-0.38843877784268405,0.0
2018-10-12,-0.08891697207127512,-0.7360040439782637,-0.0,1.0,-0.3186907620371541,-0.3838746366738278,0.0
2018-10-15,-0.05316526468271113,-0.7805026811354799,-0.0,1.0,-0.3170093267935653,-0.3906833718773031,0.0
2018-10-16,-0.04842812086682267,-0.7892206735171432,-0.0,1.0,-0.3161308373181402,-0.38971411130328615,0.0
2018-10-17,-0.0338404378169403,-0.7648240196816789,-0.0,1.0,-0.31422905055982325,-0.39749962343726464,0.0
2018-10-18,-0.03287671232876713,-0.7632273469900717,-0.0,1.0,-0.3184868669096393,-0.39891919064974235,0.0
2018-10-19,-0.02009335296907371,-0.7584803933804258,-0.0,1.0,-0.3187230112572698,-0.3987469735167112,0.0
2018-10-22,-0.020641972843450478,-0.7571635383386581,-0.0,1.0,-0.3191643370607029,-0.39903654153354634,0.0
2018-10-23,-0.024393288724657944,-0.7577149705383003,-0.0,1.0,-0.3167382402876261,-0.3979077199640468,0.0
2018-10-24,-0.023309964947421134,-0.7545818728092138,-0.0,1.0,-0.320906359539309,-0.4049323985978969,0.0
2018-10-25,-0.0022982323170582628,-0.7318158480232757,-0.0,1.0,-0.32317058262634163,-0.38764333390381656,0.0
2018-10-26,-0.0,-0.7253428654800117,-0.0,1.0,-0.32307168563369326,-0.3832555198910612,0.0
2018-10-29,-0.0,-0.7281005546002761,-0.0,1.0,-0.3116901988326754,-0.38204451333220313,0.0
2018-10-30,-0.0,-0.7264008934641157,-0.0,1.0,-0.3079537729435758,-0.39353695251043996,0.0
2018-10-31,-0.0,-0.719983552631579,-0.0,1.0,-0.3070336687306502,-0.3917376160990712,0.0
2018-11-01,-0.0,-0.7371384197243253,-0.0,1.0,-0.30042710153368274,-0.3891477383032421,0.0
2018-11-02,-0.0,-0.7139265598182126,-0.0,1.0,-0.3146952885149999,-0.38876399062054295,0.0
2018-11-05,-0.0,-0.7262829353269943,-0.0,1.0,-0.31501778326195834,-0.3781907043139532,0.0
2018-11-06,-0.0,-0.7324005035344242,-0.0,1.0,-0.3141764307155999,-0.37426164423356245,0.0
2018-11-07,-0.0,-0.7327632152720578,-0.0,1.0,-0.31505886913125636,-0.3747516837056059,0.0
2018-11-08,-0.0,-0.731015023994984,-0.0,1.0,-0.3076181059637785,-0.3729230472423855,0.0
