Date,IWF,IWM,MTUM,SNSR,SPY,VLUE,VXX
2018-09-24,-0.24545933771026024,-0.3608808166003738,-0.17347965687449085,1.0,-0.28763118800019166,-0.32867685819715337,0.0
2018-09-25,-0.2444151169766047,-0.363119376124775,-0.17103779244151168,1.0,-0.289622075584883,-0.3313257348530294,0.0
2018-09-26,-0.24432499880021114,-0.36303210634928257,-0.17080193885876085,1.0,-0.28970101262177855,-0.33171761769928493,0.0
2018-09-27,-0.24390185345241525,-0.3647363872082973,-0.17038797656775187,1.0,-0.289902045520023,-0.3319168347258235,0.0
2018-09-28,-0.24279094335998463,-0.3657470767605464,-0.1706403515090398,1.0,-0.2898989171408677,-0.33196475305529544,0.0
2018-10-01,-0.24345027975890304,-0.36510337871911247,-0.1705208558461206,1.0,-0.2903489181855294,-0.3319645558677329,0.0
2018-10-02,-0.2431295232141569,-0.3737106585559376,-0.16799307542497174,1.0,-0.28914909475607703,-0.33040802096607436,0.0
2018-10-03,-0.24308794537673706,-0.37289032071933453,-0.1679328749338847,1.0,-0.28941674279944224,-0.33084098668077133,0.0
2018-10-04,-0.24623115577889448,-0.36822870332523866,-0.16823351205789716,1.0,-0.29374143444495204,-0.32790747998365033,0.0
2018-10-05,-0.24464662953716151,-0.367438064144421,-0.16650662569617825,1.0,-0.29359516036105243,-0.32842807758786247,0.0
2018-10-08,-0.2464043942277578,-0.37138933725216217,-0.16801175648654507,1.0,-0.2931894287985738,-0.33012117853959383,0.0
2018-10-09,-0.24811377606363744,-0.3716524044835483,-0.17162829938531998,1.0,-0.2915511630709895,-0.3275400747258045,0.0
2018-10-10,-0.248011377332112,-0.3717639685677096,-0.17145543074772213,1.0,-0.2914959263365955,-0.32772501566793616,0.0
2018-10-11,-0.24091919940696813,-0.37019058322771947,-0.16305985317678567,1.0,-0.2878595853559387,-0.3292522537602525,0.0
2018-10-12,-0.24644448658386273,-0.36583862709775294,-0.16379065137005783,1.0,-0.2765715369299327,-0.3177206788660282,0.0
2018-10-15,-0.23590557147254518,-0.3844623872327327,-0.1488646319229039,1.0,-0.2772476499419885,-0.3213363957095163,0.0
2018-10-16,-0.2339835509942879,-0.39432580408143914,-0.14180749448934607,1.0,-0.27830579981512643,-0.3217510843544832,0.0
2018-10-17,-0.23139013452914797,-0.38819919754543303,-0.13976870427189048,1.0,-0.277602076941232,-0.32320037762567855,0.0
