Date,IWF,IWM,MTUM,NXGN,SPY,VLUE,VXX
2018-09-24,-0.6144256845420349,-1.3436269792669058,-0.014871839734056513,1.0,-0.7805966232175663,-0.620505642550958,0.0
2018-09-25,-0.6147623420350693,-1.3426472517381607,-0.01591674318947046,1.0,-0.7798329616511435,-0.6195723468450741,0.0
2018-09-26,-0.614866637516397,-1.3428071709663314,-0.01609094884127678,1.0,-0.7797114123305642,-0.6190205509400962,0.0
2018-09-27,-0.6159154437456325,-1.3371767994409502,-0.017601327742837177,1.0,-0.778782320055905,-0.6180992313067785,0.0
2018-09-28,-0.612340799297321,-1.35098814229249,-0.01906016688625384,1.0,-0.7848924022837065,-0.6245059288537549,0.0
2018-10-01,-0.6118510703767199,-1.353290254516682,-0.01978108927864961,1.0,-0.7852213284100401,-0.6256978328717746,0.0
2018-10-02,-0.6188050230147026,-1.4168565938240159,-0.0075077088081512275,1.0,-0.7935826965187469,-0.6321669571434956,0.0
2018-10-03,-0.6184945275854367,-1.4141612687067233,-0.007817735090462364,1.0,-0.7937458119276302,-0.6330578512396694,0.0
2018-10-04,-0.6192857142857143,-1.410580357142857,-0.008705357142857141,1.0,-0.7944642857142857,-0.6312946428571429,0.0
2018-10-05,-0.5994224788982674,-1.4027987561083963,-0.0,1.0,-0.8011550422034651,-0.6390937361172812,0.0
2018-10-08,-0.595008659354323,-1.39881877525645,-0.0,1.0,-0.8080731826457658,-0.6387939073671123,0.0
2018-10-09,-0.5949642524090767,-1.3993072516541587,-0.0,1.0,-0.8079843687552734,-0.6384386518051424,0.0
2018-10-10,-0.5974337344048306,-1.3982595568973937,-0.0,1.0,-0.8094392398881143,-0.6347733428051325,0.0
2018-10-11,-0.49644874208454554,-1.3846482971076501,-0.0,1.0,-0.7654886188601746,-0.6320383364709908,0.0
2018-10-12,-0.5049680026945099,-1.3772313910407545,-0.0,1.0,-0.7340434489727181,-0.5939289323004379,0.0
2018-10-15,-0.4986545576858392,-1.382694248234107,-0.0,1.0,-0.7317524386141945,-0.5914059872182981,0.0
2018-10-16,-0.49056206286340276,-1.40026965534676,-0.0,1.0,-0.7314401280862898,-0.5910929468273363,0.0
2018-10-17,-0.4657347847600197,-1.3511462972126012,-0.0,1.0,-0.716848095002474,-0.5896420913739072,0.0
2018-10-18,-0.4653061224489796,-1.350525664811379,-0.0,1.0,-0.7174603174603176,-0.5895691609977324,0.0
2018-10-19,-0.4476649248856956,-1.3393207054212932,-0.0,1.0,-0.7138308295231873,-0.581523514043109,0.0
2018-10-22,-0.447531619747042,-1.3311301509587923,-0.0,1.0,-0.7168094655242758,-0.5844961240310077,0.0
2018-10-23,-0.44938412594828286,-1.3308589607635206,-0.0,1.0,-0.7150256954074556,-0.5834081083285749,0.0
