Date,IWF,IWM,MGNX,MTUM,SPY,VLUE,VXX
2018-09-24,-0.9057155861889589,-1.8946615514662848,1.0,-0.2851290721113206,-1.2204304571168476,-1.196501723128942,0.0
2018-09-25,-0.9066034056934876,-1.892694657480827,1.0,-0.2872091511763941,-1.2187703106720396,-1.1941375276225141,0.0
2018-09-26,-0.9087998954726596,-1.9003070490625205,1.0,-0.27947997648134837,-1.2300908081270008,-1.214346377474358,0.0
2018-09-27,-0.9114518760195759,-1.8897226753670475,1.0,-0.28202283849918436,-1.2291027732463295,-1.2129853181076673,0.0
2018-09-28,-0.9141961603761265,-1.8887945670628183,1.0,-0.2827478124591877,-1.2302468329633016,-1.2139872012537547,0.0
2018-10-01,-0.9145935357492654,-1.8877571008814884,1.0,-0.2831211230819458,-1.2302317988899771,-1.213777342474698,0.0
2018-10-02,-0.9147241266731961,-1.887365328109696,1.0,-0.28410055501142667,-1.2298400261181845,-1.213450865164871,0.0
2018-10-03,-0.913860610806578,-1.8741190289741583,1.0,-0.2824980422866093,-1.234077264421822,-1.2211563560428087,0.0
2018-10-04,-0.9223535558022596,-1.8631881407954027,1.0,-0.28433357278129695,-1.2452817867171686,-1.2153072552732973,0.0
2018-10-05,-0.8998815165876777,-1.8693391258557137,1.0,-0.24947340705634546,-1.2939046866771986,-1.2697472353870458,0.0
2018-10-08,-0.8968076720966895,-1.8652785076195482,1.0,-0.2453363110877562,-1.2938124014713612,-1.2672753547031004,0.0
2018-10-09,-0.9019478810213213,-1.869241905764675,1.0,-0.2526322716504343,-1.29297183469334,-1.2638194261647802,0.0
2018-10-10,-0.9019672346864925,-1.8693335087834726,1.0,-0.2520560563194947,-1.293111388907165,-1.262912033686427,0.0
2018-10-11,-0.8069807362197214,-1.871765528641363,1.0,-0.11888867696611355,-1.2681670799160785,-1.291881238476699,0.0
2018-10-12,-0.8182843536562442,-1.8623973933203832,1.0,-0.10564571715019737,-1.2308415314242747,-1.2488877749232405,0.0
2018-10-15,-0.7964513307509684,-1.8956641259527678,1.0,-0.07347244783206297,-1.2294139697613395,-1.2526552542796452,0.0
2018-10-16,-0.7963263776083968,-1.8959765088091967,1.0,-0.07328501811820567,-1.2294139697613395,-1.2526552542796452,0.0
2018-10-17,-0.7649253731343284,-1.8280523611450943,1.0,-0.04636652801565941,-1.2173966234401763,-1.2601541472963054,0.0
2018-10-18,-0.7631723884707179,-1.825224894437305,1.0,-0.04816106725414601,-1.2217122575117803,-1.2613059176305,0.0
2018-10-19,-0.7418042739193783,-1.8113768819815446,1.0,-0.022340942204953862,-1.230330257406508,-1.2650558523555124,0.0
2018-10-22,-0.7418943533697631,-1.811293260473588,1.0,-0.025379477838494226,-1.2290224650880386,-1.2640558591378261,0.0
2018-10-23,-0.7411263318112633,-1.81765601217656,1.0,-0.017534246575342465,-1.2397564687975646,-1.2722678843226787,0.0
2018-10-24,-0.7456728425158459,-1.8150901999024864,1.0,-0.0010360799609946368,-1.2489029741589468,-1.2838859093125303,0.0
2018-10-25,-0.6772511570683695,-1.724647020915109,1.0,-0.0,-1.2399086062452398,-1.216767238854063,0.0
2018-10-26,-0.6417651146629604,-1.6993282372017604,1.0,-0.0,-1.2500579105860552,-1.199965253648367,0.0
2018-10-29,-0.6017418387357251,-1.7210750951666858,1.0,-0.0,-1.2330718652670436,-1.2117314569154458,0.0
2018-10-30,-0.6010150527712095,-1.7210911817290504,1.0,-0.0,-1.2330584232077975,-1.2121229598016035,0.0
2018-10-31,-0.6072409059711736,-1.6831960649736903,1.0,-0.0,-1.227693891557996,-1.2013841226264013,0.0
2018-11-01,-0.5509329006837408,-1.763124348128404,1.0,-0.0,-1.2520570170355776,-1.2282999188782013,0.0
2018-11-02,-0.5525466697395713,-1.7385918414381196,1.0,-0.0,-1.2509218713989398,-1.2195782438349851,0.0
2018-11-05,-0.552930329049732,-1.7379127528381262,1.0,-0.0,-1.2511957586584452,-1.2207111162335043,0.0
2018-11-06,-0.5684563370513784,-1.7547246142287465,1.0,-0.0,-1.246546841588164,-1.2096168294515404,0.0
2018-11-07,-0.5673287908534473,-1.754013165492551,1.0,-0.0,-1.244543249797898,-1.2083958886707473,0.0
2018-11-08,-0.5065039714515943,-1.774893519051456,1.0,-0.0,-1.2379993093127661,-1.2363301484977551,0.0
2018-11-09,-0.5197151917668881,-1.8453299826482379,1.0,-0.0,-1.3197510919643392,-1.2985699754681983,0.0
2018-11-12,-0.5162616154395997,-1.829401953776507,1.0,-0.0,-1.3190969740290683,-1.2918751489158922,0.0
2018-11-13,-0.4746391752577319,-1.822621502209131,1.0,-0.0,-1.3137555228276878,-1.2799410898379968,0.0
2018-11-14,-0.4776840988149283,-1.8221802959731146,1.0,-0.0,-1.3156653499204054,-1.280290077236012,0.0
2018-11-15,-0.47534423914322704,-1.823055195951512,1.0,-0.0,-1.318229963516535,-1.2678592444392138,0.0
2018-11-16,-0.47589086204868875,-1.8199459014465484,1.0,-0.0,-1.316770551570034,-1.2676114312595557,0.0
2018-11-19,-0.47780586748192133,-1.8190369804221296,1.0,-0.0,-1.3154212475748133,-1.2669763066611794,0.0
2018-11-20,-0.4190481745013414,-1.806660445584976,1.0,-0.0,-1.316458649247638,-1.2900384929429605,0.0
2018-11-21,-0.42956280360860516,-1.799791811242193,1.0,-0.0,-1.3141915336571826,-1.2394749016886422,0.0
2018-11-23,-0.4300982091276719,-1.7926632004621603,1.0,-0.0,-1.3152512998266899,-1.2389948006932407,0.0
2018-11-26,-0.4287694173355662,-1.7990414044003002,1.0,-0.0,-1.311659063348155,-1.2352601489865451,0.0
2018-11-27,-0.4085464178760655,-1.8136950011518085,1.0,-0.0,-1.3073024648698457,-1.229497811564156,0.0
2018-11-28,-0.40552275095519275,-1.8469375940720156,1.0,-0.0,-1.3054301262012273,-1.2311566516151442,0.0
2018-11-29,-0.3796375693134396,-1.823014920253816,1.0,-0.0,-1.2896587206311096,-1.2243182987480707,0.0
2018-11-30,-0.37794100768965916,-1.829794559853093,1.0,-0.0,-1.2946172386089752,-1.236256168942959,0.0
2018-12-03,-0.3776757532281205,-1.830071736011478,1.0,-0.0,-1.2948063127690101,-1.2363271162123388,0.0
