Date,IESC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2990794262470563,-0.7709269963605224,-0.0,-0.5138391901397682,-0.4745389485273878,0.0
2018-09-25,1.0,-0.29707279693486593,-0.7739463601532568,-0.0,-0.5161992337164751,-0.4779157088122606,0.0
2018-09-26,1.0,-0.29790951446787645,-0.7747670426679745,-0.0,-0.5161537518391369,-0.47639774399215307,0.0
2018-09-27,1.0,-0.29871323529411764,-0.7727022058823528,-0.0,-0.5160845588235293,-0.4762561274509804,0.0
2018-09-28,1.0,-0.29855090223951475,-0.7727704420820442,-0.0,-0.5160074752611746,-0.4762721730339144,0.0
2018-10-01,1.0,-0.29872209391839877,-0.7812471131639723,-0.0,-0.5187990762124711,-0.4805234795996921,0.0
2018-10-02,1.0,-0.2976083937663941,-0.793365221416448,-0.0,-0.5167103841999692,-0.4782903872859126,0.0
2018-10-03,1.0,-0.2976825994383929,-0.79266825068658,-0.0,-0.516832783040701,-0.4785694448730212,0.0
2018-10-04,1.0,-0.2976477125393592,-0.7934802741248379,-0.0,-0.516484534172995,-0.4793480274124838,0.0
2018-10-05,1.0,-0.28301828799754114,-0.7869371446134932,-0.0,-0.5195020746887967,-0.48415552481942525,0.0
2018-10-08,1.0,-0.2842361346349274,-0.7898253934037507,-0.0,-0.5199396421642595,-0.4855110399408739,0.0
2018-10-09,1.0,-0.2821949867586377,-0.7897394838948083,-0.0,-0.5206010962616247,-0.48685101927696006,0.0
2018-10-10,1.0,-0.2868908081431215,-0.7897594077729796,-0.0,-0.524583590376311,-0.48331276989512645,0.0
2018-10-11,1.0,-0.22807806457415236,-0.7809455286746411,-0.0,-0.5020835207003028,-0.48676439727793264,0.0
2018-10-12,1.0,-0.2358638665916294,-0.7772577826486181,-0.0,-0.48366458339504154,-0.4652113385267024,0.0
2018-10-15,1.0,-0.20178666824953995,-0.8162284086187451,-0.0,-0.48029322728082147,-0.46960883243307416,0.0
2018-10-16,1.0,-0.22456140350877193,-0.8100423472474289,-0.0,-0.5009679370840895,-0.4892316999395039,0.0
2018-10-17,1.0,-0.20934250901182708,-0.7814818124944141,-0.0,-0.4954568474990318,-0.49286501623618434,0.0
2018-10-18,1.0,-0.20850467846713155,-0.779903450741999,-0.0,-0.49800345670182966,-0.49347398533881637,0.0
2018-10-19,1.0,-0.19403294006327804,-0.7708980159082173,-0.0,-0.49939383186965913,-0.4926224903160945,0.0
2018-10-22,1.0,-0.19794896255664202,-0.7915871690913426,-0.0,-0.49895659432387307,-0.49266634867636533,0.0
2018-10-23,1.0,-0.20087635626564923,-0.7917312507452009,-0.0,-0.4967211160128771,-0.491504709669727,0.0
2018-10-24,1.0,-0.19993427145887482,-0.7878760718233695,-0.0,-0.5012100026888948,-0.4986107376534911,0.0
2018-10-25,1.0,-0.18310806857410333,-0.7645544438593412,-0.0,-0.4974840559358727,-0.48036978526709967,0.0
2018-10-26,1.0,-0.1907471840537831,-0.7713038863006427,-0.0,-0.49994102730435813,-0.4866426844371056,0.0
2018-10-29,1.0,-0.1829888572016582,-0.7741451797842002,-0.0,-0.4961926322288537,-0.48675506424014353,0.0
2018-10-30,1.0,-0.15713694418164617,-0.781043046357616,-0.0,-0.5037251655629139,-0.5145458845789972,0.0
2018-10-31,1.0,-0.1648707531060472,-0.7594947889065535,-0.0,-0.5068009185656244,-0.5129541306011894,0.0
2018-11-01,1.0,-0.15630237276175354,-0.7654288318485195,-0.0,-0.5058951515686101,-0.5125988650730645,0.0
2018-11-02,1.0,-0.1687883074021688,-0.7286951909476662,-0.0,-0.5340051862329089,-0.5152934936350778,0.0
2018-11-05,1.0,-0.1607952356967201,-0.7599478533969364,-0.0,-0.5422357856063524,-0.49986667061716694,0.0
2018-11-06,1.0,-0.17432641869337148,-0.776168335717692,-0.0,-0.5391332856461611,-0.49079041487839775,0.0
2018-11-07,1.0,-0.17351652609304682,-0.7774863648556015,-0.0,-0.5382231097070307,-0.4911632342860549,0.0
2018-11-08,1.0,-0.1633917192732877,-0.776414451261077,-0.0,-0.5330013929640497,-0.4909753712101005,0.0
2018-11-09,1.0,-0.1618909047718027,-0.7782462808444932,-0.0,-0.5370430857855509,-0.49217566885411407,0.0
2018-11-12,1.0,-0.16278720076987852,-0.8010645976181884,-0.0,-0.5409900156381571,-0.5024660170816794,0.0
2018-11-13,1.0,-0.13358059402386863,-0.8037567672658751,-0.0,-0.5502946190889241,-0.5034247599676965,0.0
2018-11-14,1.0,-0.13641407023120522,-0.8043902000179926,-0.0,-0.5533631211203407,-0.5046031127237832,0.0
2018-11-15,1.0,-0.1360427226647357,-0.809015206372194,-0.0,-0.5559377262853005,-0.5161718561428916,0.0
