Date,IWF,IWM,MTUM,SDC,SPY,VLUE,VXX
2020-05-11,-1.1147616844053678,-1.1237274409995373,-1.0644956038870892,1.0,-1.4150277649236462,-0.0663465987968533,0.0
2020-05-12,-1.1629329099782444,-1.1225377785617687,-1.1328864585170813,1.0,-1.443288057858529,-0.018286587875580643,0.0
2020-05-13,-1.1666568587065262,-1.1284058141587714,-1.1344671335255694,1.0,-1.4552462778791269,-0.0,0.0
2020-05-14,-1.1659616966278934,-1.1099165785454117,-1.142815180354835,1.0,-1.4561156150863588,-0.0,0.0
2020-05-15,-1.1759829464708669,-1.130210800568451,-1.159403126480341,1.0,-1.4557081951681667,-0.0,0.0
2020-05-18,-1.1825885978428352,-1.1182884911698472,-1.154912883726443,1.0,-1.4705464027497925,-0.0,0.0
2020-05-19,-1.216867469879518,-0.9985162324173541,-1.2524185411597129,1.0,-1.4672680871268324,-0.0,0.0
2020-05-20,-1.2367432150313153,-0.9769758425290784,-1.275096928124068,1.0,-1.475991649269311,-0.0,0.0
2020-05-21,-1.2415028970790274,-0.9443880293889253,-1.3042828982736991,1.0,-1.4831252613344483,-0.0,0.0
2020-05-22,-1.2518514058642904,-0.9714612559455718,-1.3033295201396833,1.0,-1.4941898970437715,-0.0,0.0
2020-05-26,-1.2521676300578035,-0.9707369942196532,-1.3027456647398843,1.0,-1.4955443159922928,-0.0,0.0
2020-05-27,-1.2629549288985298,-0.9485418173053748,-1.3258616534104604,1.0,-1.4882501807664497,-0.0,0.0
2020-05-28,-1.2663776493256262,-0.9395472061657033,-1.328817437379576,1.0,-1.4864523121387283,-0.0,0.0
2020-05-29,-1.2658517492623593,-0.9403865839706148,-1.3284759438790872,1.0,-1.4868428975733126,-0.0,0.0
2020-06-01,-1.2655027092113185,-0.9416616496086695,-1.326791089704997,1.0,-1.4865743527995183,-0.0,0.0
2020-06-02,-1.2658517492623593,-0.9425543445535016,-1.3269705545854158,1.0,-1.486240741855844,-0.0,0.0
2020-06-03,-1.2662009154420624,-0.9430257769212238,-1.3262466875451697,1.0,-1.487171765839557,-0.0,0.0
2020-06-04,-1.2661368015414258,-0.9402697495183043,-1.328817437379576,1.0,-1.4859706165703275,-0.0,0.0
2020-06-05,-1.2631515589262068,-0.9420970266040688,-1.3262308896111712,1.0,-1.4875406283856987,-0.0,0.0
2020-06-08,-1.2601440576230492,-0.9171068427370949,-1.3479591836734695,1.0,-1.4771908763505404,-0.0,0.0
2020-06-09,-1.2599267135219558,-0.9201057247552111,-1.3479906289421517,1.0,-1.4791253679341623,-0.0,0.0
2020-06-10,-1.2567453625632379,-0.9328475066249097,-1.3410623946037101,1.0,-1.4919898819561552,-0.0,0.0
2020-06-11,-1.2501357138548768,-0.958682670848664,-1.3206466011219014,1.0,-1.5022618975812776,-0.0,0.0
2020-06-12,-1.2229250413809412,-0.9002719318987941,-1.3354812012296051,1.0,-1.4529439583825963,-0.0,0.0
2020-06-15,-1.2231151028125737,-0.8934058142283148,-1.3399314582840935,1.0,-1.4523162372961476,-0.0,0.0
2020-06-16,-1.226427348408809,-0.8846312806282104,-1.3355966227785323,1.0,-1.4575780834858594,-0.0,0.0
2020-06-17,-1.2236306821531748,-0.8819645068097399,-1.334355285655327,1.0,-1.4559872649018335,-0.0,0.0
2020-06-18,-1.2235127645775603,-0.8821413831731619,-1.3342373680797122,1.0,-1.4559872649018335,-0.0,0.0
2020-06-19,-1.224509052308781,-0.882349472194374,-1.33425723889839,1.0,-1.4561538007902342,-0.0,0.0
2020-06-22,-1.2243321342218552,-0.8822315268030902,-1.3349059385504511,1.0,-1.4557999646163826,-0.0,0.0
2020-06-23,-1.227499110636784,-0.8785129847029527,-1.3448950551405194,1.0,-1.4781809557690027,-0.0,0.0
2020-06-24,-1.2299934745209704,-0.8788040576615056,-1.3441300350002967,1.0,-1.479385418520496,-0.0,0.0
2020-06-25,-1.222241929762327,-0.8678609435970202,-1.3480548657916518,1.0,-1.4741042923022347,-0.0,0.0
2020-06-26,-1.2218545003250398,-0.8667336445836535,-1.3473198983511612,1.0,-1.4739081614561789,-0.0,0.0
2020-06-29,-1.2151248597910147,-0.8589054843851467,-1.3584627191687821,1.0,-1.4711021902119368,-0.0,0.0
2020-06-30,-1.2201899817098354,-0.8440025960233642,-1.3649772847955632,1.0,-1.4708832379491414,-0.0,0.0
2020-07-01,-1.2156573986804902,-0.8444863336475024,-1.355619698397738,1.0,-1.4749057492931197,-0.0,0.0
2020-07-02,-1.2135201978565542,-0.8474266870804382,-1.3539041337887177,1.0,-1.4737957837710518,-0.0,0.0
2020-07-06,-1.2147315120113047,-0.8479156853509185,-1.3521549693829487,1.0,-1.4731512011304757,-0.0,0.0
2020-07-07,-1.2051477933830876,-0.8565552094963861,-1.3441852265381677,1.0,-1.4705294705294707,-0.0,0.0
2020-07-08,-1.2052517182635258,-0.8510838277624392,-1.3487634377019326,1.0,-1.4693649767960997,-0.0,0.0
2020-07-09,-1.2000469731665786,-0.8526216898596678,-1.3470142680993484,1.0,-1.4720216076566262,-0.0,0.0
2020-07-10,-1.1993423756678998,-0.8535611531912396,-1.3462509541424463,1.0,-1.4724913393224122,-0.0,0.0
2020-07-13,-1.2018197828001174,-0.8513061344291166,-1.3462870560610507,1.0,-1.4709128265336073,-0.0,0.0
2020-07-14,-1.1853076650525571,-0.8589228770520846,-1.3345340734616749,1.0,-1.5265147041455063,-0.0,0.0
2020-07-15,-1.1929347826086956,-0.8527882797731567,-1.3336483931947067,1.0,-1.528000945179584,-0.0,0.0
2020-07-16,-1.203676340209232,-0.8291861221112359,-1.343696435959572,1.0,-1.5339559075595484,-0.0,0.0
2020-07-17,-1.2026947169365323,-0.8292754993499587,-1.3434582200685496,1.0,-1.5339794350549578,-0.0,0.0
2020-07-20,-1.204018912529551,-0.829550827423168,-1.3420212765957447,1.0,-1.5345744680851063,-0.0,0.0
2020-07-21,-1.1781751652502361,-0.8528092540132199,-1.3243035882908405,1.0,-1.546506137865911,-0.0,0.0
2020-07-22,-1.161974340698503,-0.8877405559515325,-1.313079116179615,1.0,-1.57679971489665,-0.0,0.0
2020-07-23,-1.161290322580645,-0.8903344620685558,-1.314026020317234,1.0,-1.5750608922948968,-0.0,0.0
2020-07-24,-1.15990495990496,-0.8898722898722898,-1.3136323136323138,1.0,-1.5766557766557767,-0.0,0.0
2020-07-27,-1.1642119016510275,-0.8846656372490795,-1.3086471077325097,1.0,-1.5814823613255733,-0.0,0.0
2020-07-28,-1.1627879363571598,-0.8845286155307528,-1.307052956542389,1.0,-1.5824625979577298,-0.0,0.0
2020-07-29,-1.1621653706891433,-0.8842523891494034,-1.3066421321303494,1.0,-1.5827150234463108,-0.0,0.0
