Date,IWF,IWM,MTUM,SPY,VLUE,VXX,XRX
2018-09-24,-0.36587038106235564,-0.7649032909930716,-0.12492782909930716,-0.6640444572748267,-0.6887990762124712,0.0,1.0
2018-09-25,-0.36505403641111195,-0.7735185319503881,-0.11924276492347864,-0.6713208094581853,-0.6974686298687169,0.0,1.0
2018-09-26,-0.36489917307413317,-0.773465834904976,-0.11874365298128535,-0.6715508486870737,-0.6982083272885535,0.0,1.0
2018-09-27,-0.36744455718220037,-0.7662704739817365,-0.12077837367734455,-0.6714378895492101,-0.6977822872880128,0.0,1.0
2018-09-28,-0.36640336256250455,-0.7670121023262555,-0.12127690412348721,-0.6711355895354736,-0.6976230161605914,0.0,1.0
2018-10-01,-0.3661568570600174,-0.7677225282690635,-0.12162945781385909,-0.6709553493766308,-0.697774717309365,0.0,1.0
2018-10-02,-0.3675074291512647,-0.7566137566137565,-0.12575197506704355,-0.6735159817351597,-0.700587084148728,0.0,1.0
2018-10-03,-0.36707714596160806,-0.7498732343353857,-0.1249909453096704,-0.6755161173487867,-0.7043824701195218,0.0,1.0
2018-10-04,-0.3680857225600927,-0.7473211699971041,-0.12554300608166813,-0.6764407761366927,-0.702686070083985,0.0,1.0
2018-10-05,-0.3541336026547396,-0.7396479584475545,-0.11178040686769586,-0.6861924686192469,-0.7151565430673785,0.0,1.0
2018-10-08,-0.35726452361106076,-0.746602399159207,-0.11339832566230565,-0.6878556155546697,-0.718986699525242,0.0,1.0
2018-10-09,-0.3544096805843236,-0.7507903630219122,-0.10236563828627494,-0.6964642610559977,-0.7298230313601511,0.0,1.0
2018-10-10,-0.3539613860306149,-0.7522452096134967,-0.10111624186452388,-0.696942151765262,-0.7317383558157292,0.0,1.0
2018-10-11,-0.3066369647466497,-0.747003288426859,-0.04140589088080337,-0.6884480746791132,-0.7524839998585623,0.0,1.0
2018-10-12,-0.30712461963554966,-0.7390787310692176,-0.03654996327515651,-0.6756321919485153,-0.7391836591934525,0.0,1.0
2018-10-15,-0.3025083845723868,-0.7445500279485746,-0.029835103409726105,-0.6760760201229737,-0.7406372275013974,0.0,1.0
2018-10-16,-0.2997681933127283,-0.7730050576004497,-0.012117167743748245,-0.6822492273110425,-0.7450828884518124,0.0,1.0
2018-10-17,-0.286965249896165,-0.7432161151875951,-0.002665097604873321,-0.678215422954451,-0.7501384466288246,0.0,1.0
2018-10-18,-0.28522884882108185,-0.7411927877947296,-0.004472954230235784,-0.6842233009708738,-0.7523231622746186,0.0,1.0
2018-10-19,-0.2676682402398263,-0.7287826056993211,-0.0,-0.6918093794149064,-0.7575548740567174,0.0,1.0
2018-10-22,-0.26762942027986486,-0.7188943268766802,-0.0,-0.6974908664782519,-0.762597366788447,0.0,1.0
2018-10-23,-0.26475868259338536,-0.7205344196644342,-0.0,-0.7016502105917283,-0.7654146240419802,0.0,1.0
2018-10-24,-0.263179713950114,-0.7151247149865266,-0.0,-0.7049333241207767,-0.7714710149934361,0.0,1.0
2018-10-25,-0.21799972561393885,-0.6835642749348334,-0.0,-0.7668061462477707,-0.7614556180546029,0.0,1.0
2018-10-26,-0.20130949553889474,-0.6696407368456764,-0.0,-0.7701937103504428,-0.7513654713844693,0.0,1.0
2018-10-29,-0.18313139154207028,-0.6741705761247427,-0.0,-0.7624287016099092,-0.7553410509973337,0.0,1.0
2018-10-30,-0.1723137149028078,-0.6746760259179266,-0.0,-0.7631951943844493,-0.7645450863930886,0.0,1.0
2018-10-31,-0.1736955207843664,-0.6637566315223962,-0.0,-0.7599221005976765,-0.7603586058693171,0.0,1.0
2018-11-01,-0.14696388944926367,-0.6889247528747225,-0.0,-0.7623226413825566,-0.7640037657185125,0.0,1.0
2018-11-02,-0.14923524883697578,-0.67405200977275,-0.0,-0.7637136450349744,-0.7597978513337127,0.0,1.0
2018-11-05,-0.147631473303894,-0.6780074936437842,-0.0,-0.7637160444266023,-0.7559882242740532,0.0,1.0
2018-11-06,-0.147527270293783,-0.6776082446630529,-0.0,-0.7641370541390617,-0.7567757478417988,0.0,1.0
2018-11-07,-0.14749380981061366,-0.6776082446630529,-0.0,-0.7641705146222311,-0.7567757478417988,0.0,1.0
2018-11-08,-0.115744737366359,-0.6814197489873165,-0.0,-0.7563583239258915,-0.7667175775283883,0.0,1.0
2018-11-09,-0.11506276150627615,-0.6816098824467025,-0.0,-0.7575546257554625,-0.7664873480773062,0.0,1.0
2018-11-12,-0.11400079512324411,-0.6758878876225815,-0.0,-0.7582825337927379,-0.7648423005565863,0.0,1.0
