Date,AMG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.21443672606463302,-0.5453035336756267,-0.09154334038054968,-0.5431893687707642,-0.6257928118393234,0.0
2018-09-25,1.0,-0.21292083712465878,-0.5521079769487413,-0.08601759175007583,-0.5490142553836822,-0.6329996966939642,0.0
2018-09-26,1.0,-0.21275364085064896,-0.5542319176162329,-0.07976357321308877,-0.5545670586801535,-0.6453902870026201,0.0
2018-09-27,1.0,-0.2132066276803119,-0.5527534113060429,-0.0802266081871345,-0.5544286062378168,-0.6451937134502924,0.0
2018-09-28,1.0,-0.211339263953205,-0.5548379234706313,-0.08079454058006337,-0.5543809407750426,-0.6452291006580552,0.0
2018-10-01,1.0,-0.21329918595079117,-0.5537973718710936,-0.08045977011494253,-0.5558401170767402,-0.6454769962498856,0.0
2018-10-02,1.0,-0.21470821391548264,-0.5433867918775535,-0.08430392097079091,-0.5583572169034697,-0.6481797670589671,0.0
2018-10-03,1.0,-0.2144642204071681,-0.5379434353285383,-0.08362794099719614,-0.5601913933926612,-0.6514384981104473,0.0
2018-10-04,1.0,-0.21440112184861143,-0.5387312136085114,-0.08392525073926166,-0.559674420022559,-0.6517696552144621,0.0
2018-10-05,1.0,-0.20338519508934,-0.532636440986994,-0.07405494104776954,-0.5669138203476358,-0.6617843685426037,0.0
2018-10-08,1.0,-0.2031055334407001,-0.5327418031541524,-0.07365766203774043,-0.567078914582637,-0.6620985140842931,0.0
2018-10-09,1.0,-0.20396936356452497,-0.5328551455838552,-0.07567929001276519,-0.5661661905051365,-0.6606589265090269,0.0
2018-10-10,1.0,-0.20312262227227074,-0.5354718933560582,-0.07362205922634446,-0.5668502906534376,-0.6643941930182305,0.0
2018-10-11,1.0,-0.17080013131584448,-0.5321574596353001,-0.03527621094099741,-0.5639120183842182,-0.6822753454502045,0.0
2018-10-12,1.0,-0.1691819610401162,-0.5281228689180775,-0.031043377709253712,-0.5585436000830195,-0.6780917365908619,0.0
