Date,ARLO,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-04-03,1.0,-2.017543859649123,-2.6865497076023392,-2.130847953216374,-3.4428362573099416,-3.3421052631578947,0.0
2019-04-04,1.0,-2.016067776803973,-2.68200408997955,-2.1329243353783234,-3.4408413672217355,-3.335086181711949,0.0
2019-04-05,1.0,-2.0163479783973144,-2.6780032112100423,-2.1347248576850095,-3.4376003503138226,-3.329586921617282,0.0
2019-04-08,1.0,-2.01018922852984,-2.665938864628821,-2.1291120815138287,-3.429985443959243,-3.3208151382823874,0.0
2019-04-09,1.0,-2.0100495193708126,-2.6685115059714537,-2.129769880570929,-3.433003204194582,-3.323332362365278,0.0
2019-04-10,1.0,-2.006828417841058,-2.650443120732239,-2.1339532180735143,-3.4287374691268337,-3.3085863722214146,0.0
2019-04-11,1.0,-2.003622138510577,-2.6309765285424516,-2.131990727325413,-3.4235004346566216,-3.298609098811939,0.0
2019-04-12,1.0,-2.0039153132250584,-2.6332656612529006,-2.1334106728538287,-3.4280742459396754,-3.302494199535963,0.0
2019-04-15,1.0,-2.003483814777181,-2.637247786326027,-2.1376106836986497,-3.4289446944404123,-3.3086079256786176,0.0
2019-04-16,1.0,-2.006393490264458,-2.638331880267364,-2.142981691368788,-3.4322871258355128,-3.310665504213891,0.0
2019-04-17,1.0,-2.00770460822794,-2.6384648931530745,-2.1482773658962055,-3.4343654600959437,-3.308184329117604,0.0
2019-04-18,1.0,-2.0122181818181817,-2.6325818181818184,-2.1429818181818177,-3.438981818181818,-3.318690909090909,0.0
2019-04-22,1.0,-2.0120727272727272,-2.6337454545454544,-2.1428363636363637,-3.438545454545454,-3.3181090909090907,0.0
2019-04-23,1.0,-2.014256619144603,-2.6334012219959266,-2.143584521384929,-3.4393366307826594,-3.3169915624090778,0.0
2019-04-24,1.0,-1.9933583598036382,-2.600924054288189,-2.1289344498989315,-3.416979497545481,-3.298151891423621,0.0
2019-04-25,1.0,-1.9926332514805718,-2.6014733497038858,-2.128412537917088,-3.420482449804998,-3.301458905098946,0.0
2019-04-26,1.0,-1.9898902368573081,-2.599075678798383,-2.1278162911611784,-3.423887926054304,-3.301848642403235,0.0
2019-04-29,1.0,-1.9851542231190544,-2.588209858748919,-2.120207552608821,-3.418708561545114,-3.3010954165465556,0.0
2019-04-30,1.0,-1.9852962375666716,-2.5888712700014413,-2.1202248810725095,-3.419345538417183,-3.3017154389505547,0.0
2019-05-01,1.0,-1.9847130083645803,-2.5884049610614364,-2.1240265359100086,-3.4205364868762618,-3.304153446783963,0.0
2019-05-02,1.0,-2.0077338391945134,-2.6133080402743327,-2.146942944695754,-3.4656354881073983,-3.358383189843864,0.0
2019-05-03,1.0,-2.0087629618811156,-2.6135533810427924,-2.147948006426172,-3.4713012998393458,-3.363370819336936,0.0
2019-05-06,1.0,-1.9955020313406853,-2.5683401044689496,-2.1465467208357514,-3.4547301218804414,-3.3444573418456187,0.0
2019-05-07,1.0,-1.9936148599622696,-2.5727760847482224,-2.14874473951531,-3.453490059497896,-3.3432012770280077,0.0
2019-05-08,1.0,-1.9486849628359064,-2.5180102915951976,-2.1224985706117785,-3.404516866781018,-3.300171526586621,0.0
2019-05-09,1.0,-1.9529327610872673,-2.517739628040057,-2.127181688125894,-3.408583690987124,-3.2997138769670955,0.0
2019-05-10,1.0,-1.957855504587156,-2.523079128440367,-2.1348910550458715,-3.415854357798165,-3.3033256880733943,0.0
2019-05-13,1.0,-1.9553136637066746,-2.5209109137782875,-2.128616442280149,-3.4147808650816387,-3.3027785734746495,0.0
2019-05-14,1.0,-1.8482825754415242,-2.397163120567376,-2.136559588374357,-3.3272145737727716,-3.197051870393547,0.0
2019-05-15,1.0,-1.829834254143646,-2.3722375690607733,-2.1303867403314913,-3.309530386740331,-3.1703038674033146,0.0
2019-05-16,1.0,-1.8250414593698179,-2.3721669430624654,-2.1288004422332785,-3.31730237700387,-3.176616915422886,0.0
2019-05-17,1.0,-1.8180185159596516,-2.375155451153793,-2.120353737736631,-3.3149094928837917,-3.1894431394224125,0.0
2019-05-20,1.0,-1.8103899683064628,-2.354967617472785,-2.1240181893344356,-3.3086674934545957,-3.1817555463690232,0.0
2019-05-21,1.0,-1.7964540956569541,-2.347993402968664,-2.1221825178669596,-3.3018141836173722,-3.175371083012644,0.0
2019-05-22,1.0,-1.7865353037766831,-2.325396825396825,-2.1234263820470716,-3.291324575807334,-3.1569512862616307,0.0
2019-05-23,1.0,-1.7906626506024097,-2.3205093099671417,-2.139512595837897,-3.295180722891567,-3.1452628696604603,0.0
2019-05-24,1.0,-1.764562118126273,-2.2729124236252547,-2.1380855397148677,-3.275492192803802,-3.1266802443991857,0.0
2019-05-28,1.0,-1.7657755462070839,-2.2650291762790067,-2.1388248066223365,-3.2749355407789382,-3.1257972587868093,0.0
2019-05-29,1.0,-1.7625996486961222,-2.2575327658424538,-2.128631266045129,-3.2613160383731925,-3.1017430077016614,0.0
2019-05-30,1.0,-1.7589044792228818,-2.2509444144630324,-2.1252023745277926,-3.2563410685375063,-3.100242849433351,0.0
2019-05-31,1.0,-1.7577312626603645,-2.2572586090479403,-2.1219446320054014,-3.2596893990546927,-3.1077650236326804,0.0
2019-06-03,1.0,-1.7305740987983982,-2.2283044058744994,-2.1122830440587452,-3.2273698264352473,-3.0526034712950603,0.0
2019-06-04,1.0,-1.727333422352784,-2.2306048871678463,-2.111496862064361,-3.226999599412472,-3.056482841500868,0.0
2019-06-05,1.0,-1.6599844800827728,-2.1418779099844802,-2.0649249870667354,-3.1438178996378685,-2.9226590791515776,0.0
2019-06-06,1.0,-1.654114906832298,-2.1572204968944098,-2.044254658385093,-3.1419513457556936,-2.94241718426501,0.0
2019-06-07,1.0,-1.6504201680672268,-2.16431803490627,-2.038655462184874,-3.13639301874596,-2.9384615384615382,0.0
2019-06-10,1.0,-1.6311254019292603,-2.1587138263665593,-2.022508038585209,-3.11935691318328,-2.9300321543408363,0.0
2019-06-11,1.0,-1.628182051941373,-2.1564669580869116,-2.0280277706351244,-3.1196965800977114,-2.9244021599382872,0.0
2019-06-12,1.0,-1.6291152263374484,-2.1562500000000004,-2.0271347736625516,-3.1207561728395063,-2.9268261316872426,0.0
2019-06-13,1.0,-1.6286816720257233,-2.1588424437299034,-2.030353697749196,-3.1202572347266884,-2.923472668810289,0.0
