Date,DEO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2760417867767451,-0.31501510504347024,-0.05375550584599774,-0.37649609113760574,-0.28478195696792197,0.0
2018-09-25,1.0,-0.2756846549615855,-0.3157372586115405,-0.05299587015204301,-0.37710818355905223,-0.28565166232148215,0.0
2018-09-26,1.0,-0.2762177253743741,-0.3164124691386511,-0.05420060453632987,-0.3768199543136667,-0.283739818639101,0.0
2018-09-27,1.0,-0.27987443159522657,-0.3096045980195277,-0.05639037001131039,-0.37792858296978504,-0.2844447522101424,0.0
2018-09-28,1.0,-0.2787857802400739,-0.310595567867036,-0.056717451523545716,-0.37781625115420137,-0.2845106186518929,0.0
2018-10-01,1.0,-0.27908211556663665,-0.3102477087517603,-0.05674446522150657,-0.37795784564951407,-0.2845303229678879,0.0
2018-10-02,1.0,-0.2822513428412669,-0.292577329135025,-0.06348397851453973,-0.3849555473235784,-0.29199851824411927,0.0
2018-10-03,1.0,-0.2824284258315575,-0.294172148614843,-0.06379134624293524,-0.38460113036227184,-0.2913230797739275,0.0
2018-10-04,1.0,-0.28348152264517923,-0.2920255626562934,-0.06411503195332037,-0.385917384458646,-0.2899416504584607,0.0
2018-10-05,1.0,-0.2830493978410115,-0.29072374656156813,-0.061510367305425216,-0.38681491412588703,-0.28942927810267904,0.0
2018-10-08,1.0,-0.2824852234946435,-0.28941171038049496,-0.06044514222386405,-0.3874907646841522,-0.2889730328777244,0.0
2018-10-09,1.0,-0.2806157829041653,-0.2907863714114003,-0.054505108409227496,-0.3914751976330267,-0.29413804262401183,0.0
2018-10-10,1.0,-0.2805066919396223,-0.29093178613531817,-0.054113404683201964,-0.39155359330574885,-0.2944453433808742,0.0
2018-10-11,1.0,-0.2765269625825385,-0.28675256786500364,-0.04445616287600881,-0.3916452677916361,-0.2933785766691122,0.0
2018-10-12,1.0,-0.27716348350543724,-0.2842227908251851,-0.04116786987115051,-0.3914374485972768,-0.2905510371927259,0.0
2018-10-15,1.0,-0.2759848450267038,-0.28557082211165385,-0.0385949696444059,-0.39176975395992153,-0.2904551056739855,0.0
2018-10-16,1.0,-0.275385142074632,-0.2878466278671688,-0.03690516946251284,-0.3917836357411846,-0.29038000684697024,0.0
2018-10-17,1.0,-0.2713023782559456,-0.2771007927519819,-0.03354473386183465,-0.39080407701019254,-0.29223103057757643,0.0
2018-10-18,1.0,-0.27198567900115567,-0.27830776551630376,-0.032856722032131615,-0.39038317735831957,-0.2924474858942694,0.0
