Date,IWF,IWM,LPSN,MTUM,SPY,VLUE,VXX
2018-09-24,-0.6443634254464101,-1.1271491900401873,1.0,-0.27899076107221277,-0.6262170112275759,-0.4662551269834694,0.0
2018-09-25,-0.6453803785149295,-1.1256056653000373,1.0,-0.28094587319335734,-0.6249223506025594,-0.4644055162131942,0.0
2018-09-26,-0.6469296428275462,-1.127703654595177,1.0,-0.2839148089831772,-0.6246374409546698,-0.460304963951272,0.0
2018-09-27,-0.6466589288675177,-1.1291245232963025,1.0,-0.28374233128834353,-0.6249792737522798,-0.4607444868181064,0.0
2018-09-28,-0.645776340877062,-1.1292796153527316,1.0,-0.28413330017408606,-0.6248031169692448,-0.46087208820359776,0.0
2018-10-01,-0.647356417167738,-1.128011611030479,1.0,-0.2839311631764462,-0.6261248185776488,-0.4613311217084802,0.0
2018-10-02,-0.6489570706015132,-1.1685407348576684,1.0,-0.2740458972536889,-0.6271370647494043,-0.4613551812063704,0.0
2018-10-03,-0.652303557179455,-1.1851665196757801,1.0,-0.27621687455377764,-0.627567090840368,-0.4584855738944186,0.0
2018-10-04,-0.6578858919418537,-1.1769179060583144,1.0,-0.2770775565078564,-0.6353667759011847,-0.45407948911856144,0.0
2018-10-05,-0.6550943396226415,-1.179329140461216,1.0,-0.27044025157232704,-0.6358071278825996,-0.4522431865828092,0.0
2018-10-08,-0.6530766010883214,-1.1758476349937212,1.0,-0.265717873587275,-0.639891167852658,-0.45131854332356636,0.0
2018-10-09,-0.6565237436606731,-1.1775430655098704,1.0,-0.2715956242927197,-0.6380401525629742,-0.4475879123182028,0.0
2018-10-10,-0.658522274841792,-1.1761032647416285,1.0,-0.2737102384644399,-0.6390763170026402,-0.44352709442185995,0.0
2018-10-11,-0.631870385561936,-1.1733388022969646,1.0,-0.23814602132895818,-0.6219031993437244,-0.4364643150123052,0.0
2018-10-12,-0.6398638242684608,-1.1694090945934994,1.0,-0.23498419388830347,-0.600267488044095,-0.40832455216016866,0.0
2018-10-15,-0.6316641048458862,-1.1844915459914245,1.0,-0.22198851225628993,-0.5990211147965375,-0.4077744519051857,0.0
2018-10-16,-0.6347322368954063,-1.1776715547273757,1.0,-0.2283075427367739,-0.6005023090010533,-0.4096653973912339,0.0
2018-10-17,-0.6191463901076985,-1.1405664140406864,1.0,-0.21380135620263266,-0.5973673713601916,-0.4179497407259673,0.0
2018-10-18,-0.6196289646918014,-1.1416716537003793,1.0,-0.21320566527029725,-0.5970875723119888,-0.41803311390385,0.0
2018-10-19,-0.6122845254606697,-1.1360808401030313,1.0,-0.20400237765008913,-0.5974638399048939,-0.41291856548444617,0.0
2018-10-22,-0.6107022876339786,-1.1622540393537033,1.0,-0.22088465845464728,-0.5937050071988482,-0.41185410334346506,0.0
2018-10-23,-0.6174300152402342,-1.164754953076121,1.0,-0.23177187775727923,-0.5871099703216491,-0.4095211357985081,0.0
2018-10-24,-0.6190094566436929,-1.1631671742266387,1.0,-0.2258775444782818,-0.588315435165892,-0.41072287225516907,0.0
2018-10-25,-0.5864965774735531,-1.116599253266957,1.0,-0.21997510889856875,-0.5938472308649657,-0.3722775357809583,0.0
2018-10-26,-0.5766828591256071,-1.1050582157452387,1.0,-0.20988511064846943,-0.5976559488009869,-0.3660266790037782,0.0
2018-10-29,-0.5634981572481572,-1.1183200245700247,1.0,-0.1970208845208845,-0.5899877149877151,-0.37023955773955775,0.0
2018-10-30,-0.5510643202950896,-1.121878121878122,1.0,-0.1874663797740721,-0.5948282486744025,-0.3870744639975409,0.0
2018-10-31,-0.5511856342567722,-1.11871690583992,1.0,-0.187974829253319,-0.5935461591589286,-0.385580538715371,0.0
2018-11-01,-0.5465209890741805,-1.1239792984473835,1.0,-0.1831704044470002,-0.593904542840713,-0.3860072838796243,0.0
2018-11-02,-0.5547718000533801,-1.0951309718991877,1.0,-0.17729820414077097,-0.6039958821062263,-0.3817058756243566,0.0
2018-11-05,-0.5493113578268666,-1.1130822936934874,1.0,-0.17652893823203997,-0.6066918469344931,-0.3695776582350921,0.0
2018-11-06,-0.590974687000273,-1.1654900737158234,1.0,-0.14988884121845625,-0.6231132259448496,-0.3708022933811771,0.0
2018-11-07,-0.5859289403662545,-1.170527469087494,1.0,-0.15964939740178433,-0.6229848176553451,-0.37392393175770855,0.0
2018-11-08,-0.5799789580329657,-1.1714140981179129,1.0,-0.15345049292756105,-0.6189845302575692,-0.37283248256244395,0.0
2018-11-09,-0.5775027330938622,-1.1736295486490709,1.0,-0.15453693581133843,-0.6240824613462439,-0.37470716851475866,0.0
2018-11-12,-0.5882376668952443,-1.2396837562018475,1.0,-0.14235004638780205,-0.6492275422532371,-0.4142632406921867,0.0
2018-11-13,-0.5787070415765441,-1.2431306576944645,1.0,-0.12809420812304737,-0.6497636786029,-0.4057518224785709,0.0
2018-11-14,-0.578593174170806,-1.2433504246114404,1.0,-0.12806441275436628,-0.649855792340971,-0.40590450248357635,0.0
2018-11-15,-0.5787177845365775,-1.2443172722906994,1.0,-0.1268608932287498,-0.6504322074595806,-0.40159276452697296,0.0
2018-11-16,-0.5759342063238583,-1.2345496646438838,1.0,-0.12316352603002237,-0.6502315554136059,-0.40841584158415845,0.0
