Date,IMUX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-5.668353676689491,-6.047930931824948,-5.3682643643941645,-5.852039297409943,-5.834474545995832,0.0
2018-09-25,1.0,-5.6703394877903515,-6.049731983323407,-5.36986301369863,-5.853782013103038,-5.835616438356165,0.0
2018-09-26,1.0,-5.668651384340577,-6.047930931824948,-5.368562072045251,-5.852039297409943,-5.833879130693658,0.0
2018-09-27,1.0,-5.6667658434989585,-6.041059208568878,-5.366260041654269,-5.848854507587028,-5.830110086283844,0.0
2018-09-28,1.0,-5.672326481977956,-6.050044682752457,-5.372654155495978,-5.8561215370866835,-5.8376526660708965,0.0
2018-10-01,1.0,-5.674314660309893,-6.0515494636471985,-5.3739570917759245,-5.8578665077473175,-5.839392133492253,0.0
2018-10-02,1.0,-5.675707898658718,-6.054843517138598,-5.375260804769001,-5.859612518628911,-5.841132637853949,0.0
2018-10-03,1.0,-5.67879510885774,-6.0581568744408,-5.3760811213838355,-5.86459886668655,-5.846406203399941,0.0
2018-10-04,1.0,-6.008520037866834,-6.4528242347743765,-5.662038497948879,-6.223414326285894,-6.2088987062164716,0.0
2018-10-05,1.0,-6.467029231815092,-6.972807613868116,-6.074779061862678,-6.743711760707002,-6.7324949014276,0.0
2018-10-08,1.0,-6.450474898236092,-6.9640434192673,-6.050881953867029,-6.734396200814112,-6.721166892808684,0.0
2018-10-09,1.0,-6.444745762711865,-6.960000000000001,-6.043050847457628,-6.731525423728814,-6.7193220338983055,0.0
2018-10-10,1.0,-6.465986394557823,-6.987414965986395,-6.05952380952381,-6.756462585034014,-6.744217687074831,0.0
2018-10-11,1.0,-6.603424178895877,-7.2253668763102725,-6.147099930118798,-6.967155835080363,-6.997554157931517,0.0
2018-10-12,1.0,-6.5922059846903265,-7.197286012526096,-6.125608907446068,-6.927279053583854,-6.953027139874739,0.0
2018-10-15,1.0,-6.545233968804159,-7.210745233968804,-6.069670710571923,-6.9012131715771226,-6.935181975736569,0.0
2018-10-16,1.0,-6.535318559556787,-7.2122576177285325,-6.0547091412742375,-6.894736842105263,-6.929016620498616,0.0
2018-10-17,1.0,-6.378598035895699,-7.029461564510666,-5.897053843548933,-6.755502878428716,-6.803250931256349,0.0
