Date,CEA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8690476190476191,-1.390993265993266,-0.1768879268879269,-1.3006854256854257,-1.2748316498316499,0.0
2018-09-25,1.0,-0.868669838020112,-1.395194797374601,-0.17444451135063527,-1.3041488528933582,-1.2790991750466671,0.0
2018-09-26,1.0,-0.8693322093093274,-1.396037815379057,-0.1761305473595472,-1.3036671283193835,-1.2763894743180586,0.0
2018-09-27,1.0,-0.8728574006134601,-1.3841342394899863,-0.1792867023515968,-1.3028808564383232,-1.2751548685872376,0.0
2018-09-28,1.0,-0.869698610359141,-1.387354869758768,-0.18053299645070084,-1.302713108343861,-1.2754015520664141,0.0
2018-10-01,1.0,-0.8704806593274379,-1.3862720327257416,-0.18083378451543045,-1.3029537387956447,-1.2751609216146305,0.0
2018-10-02,1.0,-0.8707000240558094,-1.382306952128939,-0.1830045706038008,-1.3027423622804908,-1.2751984604281934,0.0
2018-10-03,1.0,-0.8770040534817594,-1.4072236674934964,-0.1867021598402807,-1.3056446245991893,-1.2733982697077864,0.0
2018-10-04,1.0,-0.878384912959381,-1.401777079303675,-0.1878022243713733,-1.3067577369439072,-1.2698259187620888,0.0
2018-10-05,1.0,-0.8622120647140192,-1.3908101281048897,-0.1671979310759608,-1.3145486257292356,-1.2794851747158238,0.0
2018-10-08,1.0,-0.8585573691790687,-1.3842414786365818,-0.15992558809409504,-1.3199111857897263,-1.2782645223235718,0.0
2018-10-09,1.0,-0.8650502376511642,-1.3887852716443054,-0.16912339811082366,-1.3191745382347633,-1.274351723723001,0.0
2018-10-10,1.0,-0.8655881645417368,-1.3873586721193167,-0.169533317296127,-1.319401010343998,-1.2720712051960548,0.0
2018-10-11,1.0,-0.7754328688859091,-1.3886200664606776,-0.03282224683728794,-1.3112575059756313,-1.321751297149187,0.0
2018-10-12,1.0,-0.7866115986921356,-1.369299604198933,-0.021281477657316583,-1.276831296965525,-1.2821660069982217,0.0
2018-10-15,1.0,-0.7706212103878275,-1.3890859169431415,-0.0,-1.2758837661594782,-1.2845784235213362,0.0
2018-10-16,1.0,-0.7744688162190023,-1.3839413550197583,-0.0037225817536223585,-1.2779909512628143,-1.2868106064944735,0.0
2018-10-17,1.0,-0.7319139323431411,-1.3115152199695035,-0.0,-1.2826001016547128,-1.3214547918902129,0.0
2018-10-18,1.0,-0.7317858353100644,-1.3117587258556422,-0.0,-1.2826725403817916,-1.3215859030837005,0.0
2018-10-19,1.0,-0.7045505366726297,-1.2861694991055455,-0.0,-1.28158542039356,-1.3179785330948122,0.0
2018-10-22,1.0,-0.7044844553791098,-1.2714157906508612,-0.0,-1.2900357861775889,-1.3256542160590472,0.0
2018-10-23,1.0,-0.7552786431291105,-1.3329871928002768,-0.0,-1.318737740856121,-1.3620629975770164,0.0
2018-10-24,1.0,-0.7522766570605187,-1.32985590778098,-0.0,-1.3186743515850146,-1.3628818443804036,0.0
2018-10-25,1.0,-0.6818735466725723,-1.230539253681763,-0.0,-1.3251024249806223,-1.2989702137083379,0.0
2018-10-26,1.0,-0.6593538528705523,-1.2027941497489634,-0.0,-1.3175070945208471,-1.2776140580659245,0.0
2018-10-29,1.0,-0.6270809609023372,-1.2108345534407028,-0.0,-1.3011767257740905,-1.2835529526598342,0.0
2018-10-30,1.0,-0.6354800173761946,-1.2128583840139011,-0.0,-1.3028344917463077,-1.2789422241529105,0.0
2018-10-31,1.0,-0.6400150553822991,-1.1766856651252824,-0.0,-1.2939563393913325,-1.2662651898053554,0.0
2018-11-01,1.0,-0.6565623818014805,-1.1729075484951639,-0.0,-1.3016156049062515,-1.2723293888798832,0.0
