Date,IWF,IWM,JPI,MTUM,SPY,VLUE,VXX
2018-09-24,-0.13009118541033435,-0.26195244055068834,1.0,-0.0,-0.21539424280350436,-0.18051135347756123,0.0
2018-09-25,-0.1295216286808115,-0.262478085083545,1.0,-0.0,-0.21578589573866686,-0.18116927260367097,0.0
2018-09-26,-0.1282584531535731,-0.2623256481049876,1.0,-0.0,-0.2169493348632077,-0.18528810642188676,0.0
2018-09-27,-0.128060263653484,-0.26307954443547665,1.0,-0.0,-0.21702089498699667,-0.1854004125190566,0.0
2018-09-28,-0.13057078651685392,-0.26272359550561797,1.0,-0.0,-0.2181573033707865,-0.1863011235955056,0.0
2018-10-01,-0.13036048352280905,-0.2636350554036552,1.0,-0.0,-0.21817887465822422,-0.18664556051230394,0.0
2018-10-02,-0.12893666997922126,-0.27726081850212303,1.0,-0.0,-0.21622549462462734,-0.1844069021591833,0.0
2018-10-03,-0.12868399601485372,-0.26914228783624666,1.0,-0.0,-0.22135676116293812,-0.19226519337016573,0.0
2018-10-04,-0.13127378148215257,-0.26566406957782207,1.0,-0.0,-0.2248233375611524,-0.19016126109802503,0.0
2018-10-05,-0.12915402398497328,-0.26415980349660456,1.0,-0.0,-0.22388383181621155,-0.18891778644704524,0.0
2018-10-08,-0.131077648766328,-0.26794267053701015,1.0,-0.0,-0.22440130624092886,-0.1908200290275762,0.0
2018-10-09,-0.12384639377648937,-0.27363631359741664,1.0,-0.0,-0.23391372951947598,-0.20336495238794194,0.0
2018-10-10,-0.12292401528512638,-0.27500367430922984,1.0,-0.0,-0.23392489711934156,-0.20528365667254556,0.0
2018-10-11,-0.10416404579192351,-0.2665564401631832,1.0,-0.0,-0.22394550976762576,-0.20250525672591344,0.0
2018-10-12,-0.10995052226498075,-0.26157583925943,1.0,-0.0,-0.21257692103069747,-0.1892922378478072,0.0
2018-10-15,-0.11546322131191242,-0.25733530007641864,1.0,-0.0,-0.2146297250706428,-0.18974924025662443,0.0
2018-10-16,-0.11587273373622467,-0.2568610024884465,1.0,-0.0,-0.2148062566654817,-0.18992179168147885,0.0
2018-10-17,-0.1082300481022436,-0.2418454408201959,1.0,-0.0,-0.21268565008251114,-0.19281275236122325,0.0
2018-10-18,-0.10906341223226532,-0.24429360250413248,1.0,-0.0,-0.2118313227587662,-0.1933316920479724,0.0
2018-10-19,-0.1060412547894396,-0.24117780849239812,1.0,-0.0,-0.21071784733278515,-0.19161257588746786,0.0
2018-10-22,-0.10594636203005547,-0.23816938122146222,1.0,-0.0,-0.21226010741589546,-0.1930512062420182,0.0
2018-10-23,-0.11225063220005621,-0.2410087103118854,1.0,-0.0,-0.21003090755830292,-0.19282101713964597,0.0
2018-10-24,-0.11159227181878748,-0.23868298327430837,1.0,-0.0,-0.20980749675654825,-0.1931344016269855,0.0
2018-10-25,-0.09593648625576233,-0.2165955267201639,1.0,-0.0,-0.21594673040805876,-0.1788970462694212,0.0
2018-10-26,-0.08257255061967665,-0.2129171554376838,1.0,-0.0,-0.22735077608337156,-0.1772326210027031,0.0
2018-10-29,-0.08184642547917763,-0.2121963227679405,1.0,-0.0,-0.22730590971597373,-0.1763747177563112,0.0
2018-10-30,-0.07242633314074023,-0.21328552492947697,1.0,-0.0,-0.22863066308670088,-0.18499133331067533,0.0
2018-10-31,-0.07514909865008701,-0.2033992802716721,1.0,-0.0,-0.22806602578181756,-0.18288871242967442,0.0
2018-11-01,-0.07798754905941264,-0.2018202733793477,1.0,-0.0,-0.22861686290431726,-0.18327919880904048,0.0
2018-11-02,-0.07884566703231793,-0.1971985486456839,1.0,-0.0,-0.22941523922031895,-0.18216184288245715,0.0
2018-11-05,-0.07661542096292422,-0.20357088614003407,1.0,-0.0,-0.2301669001130668,-0.1771942555309921,0.0
2018-11-06,-0.08258883248730965,-0.21006768189509306,1.0,-0.0,-0.22747884940778343,-0.17191201353637903,0.0
2018-11-07,-0.08222282351349523,-0.21027531624162893,1.0,-0.0,-0.2268314956368802,-0.17180206994520736,0.0
2018-11-08,-0.07789955721669445,-0.20938767951243328,1.0,-0.0,-0.22453995993063622,-0.17175951647389598,0.0
2018-11-09,-0.07723145855441575,-0.20971246652180503,1.0,-0.0,-0.225647245102498,-0.17184631192413294,0.0
2018-11-12,-0.07703302616533261,-0.20747292661599517,1.0,-0.0,-0.2259870854913567,-0.17108360799085223,0.0
2018-11-13,-0.07334002341528684,-0.20521826392373307,1.0,-0.0,-0.22517143335005854,-0.16879076768690415,0.0
2018-11-14,-0.0745019253306546,-0.20497237569060772,1.0,-0.0,-0.2259333668173447,-0.16880964339527874,0.0
2018-11-15,-0.07427721017340268,-0.20477233583599486,1.0,-0.0,-0.22625955219637814,-0.16683109542999516,0.0
2018-11-16,-0.07274942421309122,-0.20107480222971394,1.0,-0.0,-0.22584198404486128,-0.16928135117994592,0.0
2018-11-19,-0.07562112579572605,-0.20089889893234866,1.0,-0.0,-0.22492523099029255,-0.16935389550717617,0.0
2018-11-20,-0.09360525288857972,-0.2111844449345934,1.0,-0.0,-0.22898250733809533,-0.16288026603776787,0.0
2018-11-21,-0.09371194696252198,-0.20978216750101472,1.0,-0.0,-0.22811527533486672,-0.15963672033554321,0.0
2018-11-23,-0.09342754028363748,-0.21377861366678527,1.0,-0.0,-0.22729968315288296,-0.15986377268337315,0.0
2018-11-26,-0.09342912331830966,-0.21371445999525565,1.0,-0.0,-0.22735436646446844,-0.15991731336202514,0.0
2018-11-27,-0.09087072487254803,-0.21410243424828657,1.0,-0.0,-0.22534521759681284,-0.15778723116918195,0.0
2018-11-28,-0.09137724348692321,-0.21240312695223462,1.0,-0.0,-0.22624816384419272,-0.1584074830735982,0.0
2018-11-29,-0.09048582995951417,-0.21182523616734142,1.0,-0.0,-0.225944669365722,-0.15863697705802968,0.0
2018-11-30,-0.09109667816791828,-0.21410932954468576,1.0,-0.0,-0.2297882416615926,-0.15638319464176983,0.0
2018-12-03,-0.0913120717367397,-0.2141612384739024,1.0,-0.0,-0.22991286693173169,-0.1565349801201252,0.0
2018-12-04,-0.08813799621928167,-0.21568660545503643,1.0,-0.0,-0.228294625978936,-0.15570145827707263,0.0
2018-12-06,-0.0877364915369666,-0.20027241167383686,1.0,-0.0,-0.2262511834958391,-0.14680331544939623,0.0
2018-12-07,-0.07971911051663602,-0.20481524828623976,1.0,-0.0,-0.23129911386055843,-0.1561277378364822,0.0
2018-12-10,-0.0685580763303117,-0.20716570273271134,1.0,-0.0,-0.2328190510912616,-0.14865021626369254,0.0
2018-12-11,-0.061353668261562994,-0.2109582668793195,1.0,-0.0,-0.23224016480595427,-0.1567982456140351,0.0
2018-12-12,-0.06164019405861634,-0.21090582840433308,1.0,-0.0,-0.23233867216056356,-0.15657606167342328,0.0
2018-12-13,-0.060855399857045495,-0.20829801027277717,1.0,-0.0,-0.23747070263800926,-0.1556541830815007,0.0
2018-12-14,-0.06285002077274615,-0.2025758205234732,1.0,-0.0,-0.24073120066472786,-0.15566265060240964,0.0
2018-12-17,-0.059187088863481965,-0.20188563569783435,1.0,-0.0,-0.23724544746565923,-0.1586552004109294,0.0
2018-12-18,-0.058595625610543565,-0.20168220275841514,1.0,-0.0,-0.23732966869215358,-0.1581038793317549,0.0
2018-12-19,-0.056795971775930036,-0.20237188193593267,1.0,-0.0,-0.23848014045781293,-0.1586941398615298,0.0
2018-12-20,-0.056504360465116275,-0.19883060253699789,1.0,-0.0,-0.2392640063424947,-0.1570923625792812,0.0
