Date,CNA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23476310170545153,-0.41263277385875297,-0.106489364577421,-0.5063109813778751,-0.44257952917646426,0.0
2018-09-25,1.0,-0.23355817875210794,-0.42125877169123643,-0.10025567100038078,-0.5135179241690693,-0.4513409127998695,0.0
2018-09-26,1.0,-0.23325534577506934,-0.4210511997388323,-0.09927090701343926,-0.5139833505631427,-0.4529082104575874,0.0
2018-09-27,1.0,-0.23252391464311994,-0.42580328673043905,-0.09827487531681793,-0.5148665958084648,-0.4538467827651051,0.0
2018-09-28,1.0,-0.23152185762564045,-0.42676877793524476,-0.09863185435517278,-0.5146353428540281,-0.45383189796140844,0.0
2018-10-01,1.0,-0.23138986561997438,-0.42718129037533736,-0.09883609998091968,-0.5144601630005179,-0.45389374982964,0.0
2018-10-02,1.0,-0.23135671812776173,-0.4320822650155474,-0.09767606786318259,-0.5135562707981016,-0.4529485570890841,0.0
2018-10-03,1.0,-0.23110480968480754,-0.4265732359035882,-0.09690260660922675,-0.5155142327407569,-0.4565110699094776,0.0
2018-10-04,1.0,-0.23172958975057925,-0.4253237017854709,-0.09723320158102766,-0.5159874608150471,-0.45566307755213303,0.0
2018-10-05,1.0,-0.2197330143280498,-0.41834099127266794,-0.08591392294934885,-0.5269296647725727,-0.4679046246703461,0.0
2018-10-08,1.0,-0.21849720397415714,-0.41620066235952013,-0.08390792116835877,-0.5285574678321299,-0.46745208751832346,0.0
2018-10-09,1.0,-0.21573541831258342,-0.42035579044868826,-0.07303784019396846,-0.5370637753017136,-0.4781104421499986,0.0
2018-10-10,1.0,-0.2164002287643999,-0.41929246439173185,-0.07393992211116861,-0.537514638198208,-0.4762112257959094,0.0
2018-10-11,1.0,-0.18850078597500863,-0.4129965630245384,-0.04073748434710788,-0.5352356592864946,-0.4868249273972238,0.0
