Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WHD
2018-10-08,-0.0,-1.8039215686274508,-0.0,-1.703781512605042,-1.327906162464986,0.0,1.0
2018-10-09,-0.0,-1.8009688904453394,-0.0,-1.7032627093912334,-1.3324578299188699,0.0,1.0
2018-10-10,-0.0,-1.798005714618928,-0.0,-1.7138025540847863,-1.3194355355997434,0.0,1.0
2018-10-11,-0.0,-1.6738724898496653,-0.0,-1.4785471304729507,-1.3341929112257214,0.0,1.0
2018-10-12,-0.0,-1.651519196881508,-0.0,-1.4215838094729536,-1.266780584183265,0.0,1.0
2018-10-15,-0.0,-1.7043431921129761,-0.0,-1.3731414868105516,-1.251638689048761,0.0,1.0
2018-10-16,-0.0,-1.721197911115848,-0.0,-1.3635297879143131,-1.2440584034956836,0.0,1.0
2018-10-17,-0.0,-1.6028611413466025,-0.0,-1.3183019748095166,-1.2620639610221325,0.0,1.0
2018-10-18,-0.0,-1.6150566704793594,-0.0,-1.316626806696475,-1.267443069564313,0.0,1.0
2018-10-19,-0.0,-1.5812150156627127,-0.0,-1.3021619678529248,-1.2518872284701896,0.0,1.0
2018-10-22,-0.0,-1.5586348473184504,-0.0,-1.3123941493456506,-1.2611239414934565,0.0,1.0
2018-10-23,-0.0,-1.5588567323481117,-0.0,-1.3116789819376027,-1.2608271756978655,0.0,1.0
2018-10-24,-0.0,-1.5924810468376778,-0.0,-1.330979333264098,-1.269134904974556,0.0,1.0
2018-10-25,-0.0,-1.4578366663382918,-0.0,-1.33016451581125,-1.1376711654024234,0.0,1.0
2018-10-26,-0.0,-1.4206906643254316,-0.0,-1.3604038630377524,-1.0965271680811628,0.0,1.0
2018-10-29,-0.0,-1.45937119181087,-0.0,-1.2854009261515964,-1.1297587131367293,0.0,1.0
2018-10-30,-0.0,-1.476260545418874,-0.0,-1.3167059054345693,-1.1118795369825387,0.0,1.0
2018-10-31,-0.0,-1.4357929461990007,-0.0,-1.3149953912579442,-1.1005190898947266,0.0,1.0
2018-11-01,-0.0,-1.4639794583595755,-0.0,-1.29111961629766,-1.089627440530982,0.0,1.0
2018-11-02,-0.0,-1.434342947946261,-0.0,-1.300476717869697,-1.0805605046467954,0.0,1.0
2018-11-05,-0.0,-1.5152793946449359,-0.0,-1.323777648428405,-1.0115444315095072,0.0,1.0
2018-11-06,-0.0,-1.513078080263988,-0.0,-1.3249381278206434,-1.0147037414470812,0.0,1.0
2018-11-07,-0.0,-1.513719216598798,-0.0,-1.3202443280977314,-1.0138161721931356,0.0,1.0
2018-11-08,-0.0,-1.5094574534310206,-0.0,-1.2547526696355888,-1.0243738926399464,0.0,1.0
2018-11-09,-0.0,-1.5147553590310487,-0.0,-1.25872344516005,-1.0328270691146784,0.0,1.0
2018-11-12,-0.0,-1.4803074425932117,-0.0,-1.2734043061058862,-1.0202893015706307,0.0,1.0
2018-11-13,-0.0,-1.4635031336883275,-0.0,-1.2538994392347202,-0.9949107016634466,0.0,1.0
2018-11-14,-0.0,-1.487836414136577,-0.0,-1.2792357053922037,-1.0217412125275356,0.0,1.0
2018-11-15,-0.0,-1.4884576781532284,-0.0,-1.2823686851789895,-1.0086507670984084,0.0,1.0
2018-11-16,-0.0,-1.45876116337934,-0.0,-1.2770905964945793,-1.0399254978747792,0.0,1.0
2018-11-19,-0.0,-1.4677644566421106,-0.0,-1.2907217487601712,-1.0563821079493476,0.0,1.0
2018-11-20,-0.0,-1.418743720996986,-0.0,-1.2474764387886905,-1.1177821365354255,0.0,1.0
2018-11-21,-0.0,-1.4151131824234355,-0.0,-1.2445786570287236,-1.095872170439414,0.0,1.0
