Date,IWF,IWM,MTUM,NTCO,SPY,VLUE,VXX
2020-09-03,-0.4874618834080718,-0.5902780269058295,-0.5186367713004485,1.0,-0.6918026905829597,-0.29926457399103135,0.0
2020-09-04,-0.4492138757174944,-0.5957431637491533,-0.4865414096759243,1.0,-0.7014510321223573,-0.3322043566615565,0.0
2020-09-08,-0.44751755355169837,-0.5949317460883203,-0.485689845671312,1.0,-0.7001104893609438,-0.3359232989984674,0.0
2020-09-09,-0.43648763853367434,-0.5994245524296675,-0.47026854219948855,1.0,-0.6988135834043763,-0.3471156578573458,0.0
2020-09-10,-0.4390825035561877,-0.5995376955903271,-0.47364864864864864,1.0,-0.7001778093883357,-0.3437411095305832,0.0
2020-09-11,-0.43737560420813193,-0.6005117998294001,-0.4730949673016776,1.0,-0.6996374751208416,-0.3435100938299687,0.0
2020-09-14,-0.43406358915996873,-0.5939967280745431,-0.4721530692083363,1.0,-0.7024681698556086,-0.3537235934276976,0.0
2020-09-15,-0.43403876934020985,-0.5944157922817,-0.4725235639338431,1.0,-0.7022230126267117,-0.3535834963542593,0.0
2020-09-16,-0.4334281650071124,-0.594452347083926,-0.4703413940256045,1.0,-0.7024182076813655,-0.355547652916074,0.0
2020-09-17,-0.43387033678295817,-0.5941534193961379,-0.47064262598243184,1.0,-0.702300935310644,-0.3553469184537146,0.0
2020-09-18,-0.4312275587472004,-0.593657790891962,-0.47019090618223186,1.0,-0.7013402538305664,-0.35863343879981513,0.0
2020-09-21,-0.43375551444428634,-0.5915041980930695,-0.46854987903799633,1.0,-0.70474597979223,-0.35915041980930695,0.0
2020-09-22,-0.4371442800227661,-0.5856573705179283,-0.47232498577120097,1.0,-0.7051437108708025,-0.3569649971542402,0.0
2020-09-23,-0.42912027320266083,-0.5840418341574471,-0.47671729927786266,1.0,-0.7028565330297748,-0.3646259471381309,0.0
2020-09-24,-0.4252681679335086,-0.580983164026426,-0.47364495275982094,1.0,-0.7039852241244583,-0.36801165020956167,0.0
2020-09-25,-0.42578513571124055,-0.580396475770925,-0.4733906494244707,1.0,-0.7042773909336365,-0.3687650987636777,0.0
2020-09-28,-0.42185058940491404,-0.5764806135492118,-0.46531032523789234,1.0,-0.7061496946456469,-0.38087629598068456,0.0
2020-09-29,-0.425634093415389,-0.5663619223791397,-0.4744406104371953,1.0,-0.7135640852335384,-0.3773256020774785,0.0
2020-09-30,-0.42592856126369716,-0.5668492955742137,-0.4762701010388501,1.0,-0.7121460082538779,-0.37651202504625014,0.0
2020-10-01,-0.4266889846504505,-0.5652979094697105,-0.47836461412443465,1.0,-0.713949926991702,-0.377043341999359,0.0
2020-10-02,-0.42520473482816584,-0.5483317240639416,-0.4771662554089332,1.0,-0.7323606193899082,-0.3930908700783178,0.0
2020-10-05,-0.41921881142122,-0.552978594146446,-0.47082157023907373,1.0,-0.7325161705321087,-0.3980631097452024,0.0
2020-10-06,-0.41953448522061976,-0.5478366414393832,-0.46812080536912754,1.0,-0.7338997572468943,-0.4004712266171641,0.0
2020-10-07,-0.4217973914597106,-0.5454707879221011,-0.4695372520993389,1.0,-0.7371806324816866,-0.39932106485617297,0.0
2020-10-08,-0.4227636467562161,-0.541797656473278,-0.47002715061446126,1.0,-0.7399256930551587,-0.39797084881394684,0.0
2020-10-09,-0.42476959348431803,-0.5419732799885689,-0.4713152818461098,1.0,-0.73944416660713,-0.3947274415946274,0.0
