Date,IWF,IWM,MTUM,PFLT,SPY,VLUE,VXX
2018-09-24,-0.19909793814432988,-0.49315101183657883,-0.0,1.0,-0.3571019473081328,-0.33705612829324166,0.0
2018-09-25,-0.20050573725518261,-0.4924258689377132,-0.0,1.0,-0.3566163314964575,-0.33600515279467547,0.0
2018-09-26,-0.20022902402366582,-0.4922823675358447,-0.0,1.0,-0.35665720352124436,-0.3364983181048262,0.0
2018-09-27,-0.20180686991966817,-0.4887606970036471,-0.0,1.0,-0.35674954113131985,-0.3364162952015447,0.0
2018-09-28,-0.19916774286124267,-0.4950016740804515,-0.0,1.0,-0.35882718706653277,-0.33854689816807765,0.0
2018-10-01,-0.1994690392480448,-0.49470235105594224,-0.0,1.0,-0.3589486020425247,-0.33857118939991865,0.0
2018-10-02,-0.19980863533070206,-0.49436670254754217,-0.0,1.0,-0.3591197225212296,-0.33876330582466213,0.0
2018-10-03,-0.19929225545752335,-0.489108863543983,-0.0,1.0,-0.36075843435430266,-0.34186930636252777,0.0
2018-10-04,-0.2026784646657898,-0.48449121128781536,-0.0,1.0,-0.36517995934473274,-0.33911275857945716,0.0
2018-10-05,-0.1951051115396519,-0.4802276027902769,-0.0,1.0,-0.36540247125205344,-0.34004713949003645,0.0
2018-10-08,-0.19315670666508258,-0.477747415943923,-0.0,1.0,-0.36623500059403585,-0.33900439586551023,0.0
2018-10-09,-0.1970396458997668,-0.47948693541478277,-0.0,1.0,-0.36597496549426495,-0.33720432154585694,0.0
2018-10-10,-0.20303124477062467,-0.48112643733116583,-0.0,1.0,-0.37185341015036694,-0.3345365876981186,0.0
2018-10-11,-0.1691881575272321,-0.4701377897774881,-0.0,1.0,-0.35590261614374824,-0.3322781863886044,0.0
2018-10-12,-0.17698443713937612,-0.46566745592055353,-0.0,1.0,-0.3412335348612675,-0.31491230086664673,0.0
2018-10-15,-0.16539440203562342,-0.474795406093116,-0.0,1.0,-0.33810146023886484,-0.3140774362148408,0.0
2018-10-16,-0.16292611356915246,-0.4788060796405401,-0.0,1.0,-0.3373833703949932,-0.3133582448820523,0.0
2018-10-17,-0.15092379274517775,-0.45604643809007545,-0.0,1.0,-0.33405610516330125,-0.3176356326512174,0.0
2018-10-18,-0.15041669489802834,-0.45506696478984576,-0.0,1.0,-0.3352304808365517,-0.31781737696772594,0.0
2018-10-19,-0.14117699769260064,-0.4473890544143014,-0.0,1.0,-0.33533457290709917,-0.31629292770895406,0.0
2018-10-22,-0.14108766742821305,-0.4424360525019039,-0.0,1.0,-0.3377682211172333,-0.31855037405366665,0.0
2018-10-23,-0.14180140636897032,-0.4423791821561338,-0.0,1.0,-0.3371030590764545,-0.3181797823263314,0.0
2018-10-24,-0.14103367968470082,-0.4432774991042637,-0.0,1.0,-0.33715514152633463,-0.31785202436402726,0.0
2018-10-25,-0.12122926914203631,-0.41559656988638843,-0.0,1.0,-0.3407695990945893,-0.2988508248813825,0.0
2018-10-26,-0.11562905317769132,-0.40987894509295286,-0.0,1.0,-0.3412667531344574,-0.29492001729355816,0.0
2018-10-29,-0.1066434318660987,-0.41241771008132183,-0.0,1.0,-0.3363667656297061,-0.2959425153822985,0.0
2018-10-30,-0.09898455316036316,-0.4128479841659137,-0.0,1.0,-0.33701217675659395,-0.30252570887655433,0.0
2018-10-31,-0.10242432016418676,-0.3997135283051137,-0.0,1.0,-0.33609115785873095,-0.2996194629724645,0.0
2018-11-01,-0.10260192846300216,-0.39963226647852396,-0.0,1.0,-0.33611271460030356,-0.29963868043529385,0.0
2018-11-02,-0.10504702327758628,-0.3868249712753734,-0.0,1.0,-0.33899314864462315,-0.2968849738286735,0.0
2018-11-05,-0.10806427519685878,-0.3811271633127761,-0.0,1.0,-0.340154926271313,-0.30462431446191923,0.0
2018-11-06,-0.10728926466820395,-0.38054060978734305,-0.0,1.0,-0.34119053719361175,-0.30608933299171576,0.0
2018-11-07,-0.10766204891397298,-0.3810928681375064,-0.0,1.0,-0.34235505387378146,-0.30675987685992817,0.0
2018-11-08,-0.09171704316470464,-0.381949305334606,-0.0,1.0,-0.3369180188779298,-0.3105313394845689,0.0
2018-11-09,-0.0907952277841464,-0.3825627308623106,-0.0,1.0,-0.338725427758672,-0.3107884345943192,0.0
2018-11-12,-0.09053228159959396,-0.373273838475691,-0.0,1.0,-0.3420178907522152,-0.3089221139002262,0.0
2018-11-13,-0.07975164139030479,-0.3700417427055147,-0.0,1.0,-0.34176577937197156,-0.3060642292282844,0.0
2018-11-14,-0.07997566961008451,-0.3698009522411225,-0.0,1.0,-0.34173710594206846,-0.3059127042389412,0.0
2018-11-15,-0.07997813426402876,-0.3747660996993461,-0.0,1.0,-0.3498307507936842,-0.2978996278619936,0.0
