Date,GHG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-11-23,1.0,-0.0,-3.4469311176628246,-0.0,-4.712677566336102,-4.2416242294291076,0.0
2018-11-26,1.0,-0.0,-3.450561197220738,-0.0,-4.690406199893105,-4.220871191876002,0.0
2018-11-27,1.0,-0.0,-3.4166993335946687,-0.0,-4.549719064419182,-4.100222135110414,0.0
2018-11-28,1.0,-0.0,-3.396964542718828,-0.0,-4.571765013738061,-4.115138034803088,0.0
2018-11-29,1.0,-0.0,-3.207599050118735,-0.0,-4.316835395575553,-3.9740032495938014,0.0
2018-11-30,1.0,-0.0,-3.2215538847117795,-0.0,-4.345614035087719,-3.964285714285715,0.0
2018-12-03,1.0,-0.0,-3.2289655172413796,-0.0,-4.346833855799373,-3.9635109717868335,0.0
2018-12-04,1.0,-0.0,-3.2113517550410755,-0.0,-4.305576300721932,-3.930171769977595,0.0
2018-12-06,1.0,-0.0,-2.818236280853103,-0.0,-4.396237718667625,-3.7673136832015333,0.0
2018-12-07,1.0,-0.0,-2.8177564487102584,-0.0,-4.40383923215357,-3.776004799040192,0.0
2018-12-10,1.0,-0.0,-2.8405131826742,-0.0,-4.334392655367232,-3.5952212806026367,0.0
2018-12-11,1.0,-0.0,-2.8398635133545125,-0.0,-4.3378044475820685,-3.5884221673138015,0.0
2018-12-12,1.0,-0.0,-2.8446670595167944,-0.0,-4.353211549793754,-3.587625220978197,0.0
2018-12-13,1.0,-0.0,-2.8191664704497295,-0.0,-4.380974805745232,-3.57287497056746,0.0
2018-12-14,1.0,-0.0,-2.8133678512591196,-0.0,-4.382795951988704,-3.571310896681572,0.0
2018-12-17,1.0,-0.0,-2.7980791754509253,-0.0,-4.232841414851253,-3.6813070976809557,0.0
2018-12-18,1.0,-0.0,-2.6943011122577687,-0.0,-4.12613232427474,-3.6460268317853455,0.0
2018-12-19,1.0,-0.0,-2.695572378986006,-0.0,-4.126749254416151,-3.648313833448039,0.0
2018-12-20,1.0,-0.0,-2.6044264689360745,-0.0,-4.0730255027524995,-3.5572407594652287,0.0
2018-12-21,1.0,-0.0,-2.6171206225680934,-0.0,-4.083157309616453,-3.417009449694275,0.0
2018-12-24,1.0,-0.0,-2.45864992842198,-0.0,-4.004294681202511,-3.549058473736373,0.0
2018-12-26,1.0,-0.0,-2.5736619259580937,-0.0,-3.826837476929758,-3.4560851156226255,0.0
2018-12-27,1.0,-0.0,-2.4210255883259686,-0.0,-3.289281677114377,-3.5661288665090947,0.0
2018-12-28,1.0,-0.0,-2.43859649122807,-0.0,-3.27598235354468,-3.5449882014978966,0.0
2018-12-31,1.0,-0.0,-2.4364289379168804,-0.0,-3.2781939456131353,-3.5469471523858394,0.0
2019-01-02,1.0,-0.0,-2.4303123399897593,-0.0,-3.2589861751152074,-3.551254480286738,0.0
2019-01-03,1.0,-0.0,-2.4424742268041237,-0.0,-3.3756701030927836,-3.4911340206185564,0.0
2019-01-04,1.0,-0.0,-2.445521559123498,-0.0,-3.1909522366959506,-3.461476320306977,0.0
2019-01-07,1.0,-0.0,-2.2916585270560654,-0.0,-3.1523735104512602,-3.323598359054503,0.0
2019-01-08,1.0,-0.0,-2.2459477821993596,-0.0,-3.1597592934096865,-3.3002038241288947,0.0
2019-01-09,1.0,-0.0,-2.1834354039078447,-0.0,-3.1753669680178866,-3.3622047244094486,0.0
2019-01-10,1.0,-0.0,-2.169259187244799,-0.0,-3.1958001166634262,-3.3567956445654286,0.0
2019-01-11,1.0,-0.0,-2.163616897021608,-0.0,-3.2039127895658948,-3.36577769125949,0.0
2019-01-14,1.0,-0.0,-2.1677369137964586,-0.0,-3.210060323020043,-3.351722124927029,0.0
2019-01-15,1.0,-0.0,-2.1485725383569627,-0.0,-3.2083899786366286,-3.353660905030103,0.0
2019-01-16,1.0,-0.0,-2.1387031113695842,-0.0,-3.156731608025589,-3.3973054182417366,0.0
2019-01-17,1.0,-0.0,-2.1350644317411103,-0.0,-3.1569615347350064,-3.3970545489778123,0.0
2019-01-18,1.0,-0.0,-2.1316250974279036,-0.0,-3.190763834762276,-3.42049883086516,0.0
2019-01-22,1.0,-0.0,-2.147453860276355,-0.0,-3.160595226591941,-3.354720262827326,0.0
2019-01-23,1.0,-0.0,-2.116267942583732,-0.0,-3.145167464114833,-3.3079425837320575,0.0
2019-01-24,1.0,-0.0,-2.136499086801884,-0.0,-3.145150437373834,-3.330962222435836,0.0
2019-01-25,1.0,-0.0,-2.1292523544109168,-0.0,-3.1721122429367674,-3.308475879300403,0.0
2019-01-28,1.0,-0.0,-2.099023175636851,-0.0,-3.1818617123156483,-3.295824554683011,0.0
2019-01-29,1.0,-0.0,-2.0997895139686182,-0.0,-3.161882893226177,-3.3057787983161115,0.0
2019-01-30,1.0,-0.0,-2.112542047092744,-0.0,-3.184622777510812,-3.313599231138875,0.0
2019-01-31,1.0,-0.0,-2.125312800769971,-0.0,-3.0975938402309913,-3.4018286814244463,0.0
2019-02-01,1.0,-0.0,-2.1169691731489486,-0.0,-3.0815326995102277,-3.4048785172380676,0.0
2019-02-04,1.0,-0.0,-2.1197298601061263,-0.0,-3.090689821514713,-3.4374336710082005,0.0
2019-02-05,1.0,-0.0,-2.0823279606215617,-0.0,-3.0873467811987263,-3.4819032911881096,0.0
2019-02-06,1.0,-0.0,-2.081884897643878,-0.0,-3.092313634607957,-3.482039397450753,0.0
2019-02-07,1.0,-0.0,-2.097894634714272,-0.0,-3.1294266032793248,-3.4747259144270886,0.0
2019-02-08,1.0,-0.0,-2.12186865267434,-0.0,-3.140825998645904,-3.4094206402940324,0.0
2019-02-11,1.0,-0.0,-2.1233075435203093,-0.0,-3.1420696324951645,-3.4058994197292067,0.0
2019-02-12,1.0,-0.0,-2.1288824383164004,-0.0,-3.1405902273826802,-3.406386066763425,0.0
2019-02-13,1.0,-0.0,-2.142025046112028,-0.0,-3.160955247063392,-3.4049121444519947,0.0
2019-02-14,1.0,-0.0,-2.1433698709865165,-0.0,-3.1610243476573867,-3.3958676884275873,0.0
2019-02-15,1.0,-0.0,-2.1445198836081474,-0.0,-3.1598448108632398,-3.394956353055286,0.0
2019-02-19,1.0,-0.0,-2.105015673981191,-0.0,-3.2555838557993733,-3.4356387147335425,0.0
2019-02-20,1.0,-0.0,-2.1063057762086888,-0.0,-3.2573305874276746,-3.443267627733647,0.0
2019-02-21,1.0,-0.0,-2.107426665358579,-0.0,-3.258412636122829,-3.4449131757088196,0.0
2019-02-22,1.0,-0.0,-2.1091069502989903,-0.0,-3.2613469267718846,-3.4325066169983334,0.0
2019-02-25,1.0,-0.0,-2.0958206910051875,-0.0,-3.256924733287658,-3.434863462856024,0.0
2019-02-26,1.0,-0.0,-2.094879075687849,-0.0,-3.2579065896406543,-3.43865661411926,0.0
2019-02-27,1.0,-0.0,-2.096474045053869,-0.0,-3.258276199804114,-3.4395690499510283,0.0
