Date,IWF,IWM,MTUM,SPY,VLUE,VSH,VXX
2018-09-24,-0.48285701547104193,-1.2604217753800884,-0.0020509162245307415,-0.8610281332203844,-0.8521556912925231,1.0,0.0
2018-09-25,-0.48595756062767476,-1.2579796718972895,-0.006865192582025678,-0.858817760342368,-0.8482524964336663,1.0,0.0
2018-09-26,-0.48704848973738457,-1.262794658062203,-0.0,-0.8672134086223895,-0.8643004391861612,1.0,0.0
2018-09-27,-0.48713811956619163,-1.2625705834901855,-0.0,-0.8671237787935825,-0.8642556242717576,1.0,0.0
2018-09-28,-0.4836348942666008,-1.2692497642886005,-0.0017509989673595832,-0.8688546670857091,-0.8662506173393795,1.0,0.0
2018-10-01,-0.4835668103448276,-1.2692618534482758,-0.002244971264367816,-0.8686691810344828,-0.8662446120689654,1.0,0.0
2018-10-02,-0.48390427872311764,-1.26758856014008,-0.003546895344138643,-0.8684954878103534,-0.86620571992996,1.0,0.0
2018-10-03,-0.4835046456304143,-1.2566093630773374,-0.0021096099465864717,-0.8727950087526372,-0.8735580591588491,1.0,0.0
2018-10-04,-0.484703032478019,-1.2530055625336445,-0.003005562533644357,-0.873766373586937,-0.8714336981876906,1.0,0.0
2018-10-05,-0.48124214683180755,-1.2591994255968408,-0.0,-0.8751121881170345,-0.8719709208400647,1.0,0.0
2018-10-08,-0.4802852913470596,-1.258915354595613,-0.0,-0.8750280357062755,-0.8715291795630915,1.0,0.0
2018-10-09,-0.4834582753512592,-1.2607173317771692,-0.0,-0.8748036091035597,-0.8699555595457198,1.0,0.0
2018-10-10,-0.48630813431495773,-1.259696534386784,-0.0,-0.8767732088346202,-0.8664033040043095,1.0,0.0
2018-10-11,-0.4035659926070885,-1.241835181561209,-0.0,-0.8402261361165471,-0.8631441617742988,1.0,0.0
2018-10-12,-0.41861667744020686,-1.242189183365654,-0.0,-0.8152984270631329,-0.8333117862529626,1.0,0.0
2018-10-15,-0.40294914234125784,-1.2536004471002966,-0.0,-0.8107562013670951,-0.8316925325652379,1.0,0.0
2018-10-16,-0.4006705063182326,-1.2568554972921862,-0.0,-0.8098083039628642,-0.8307831169947563,1.0,0.0
2018-10-17,-0.3822807314595327,-1.2222316288520148,-0.0,-0.7990602776837115,-0.8294107687097867,1.0,0.0
