Date,BV,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-02-25,1.0,-0.0,-0.8047172575446822,-0.0,-1.437591561675945,-1.640980564508253,0.0
2019-02-26,1.0,-0.0,-0.8031909671084929,-0.0,-1.4457044673539519,-1.6602356406480119,0.0
2019-02-27,1.0,-0.0,-0.813040912667191,-0.0,-1.4435975609756098,-1.6607494099134537,0.0
2019-02-28,1.0,-0.0,-0.8194068755225495,-0.0,-1.4469581468548665,-1.6516992081837407,0.0
2019-03-01,1.0,-0.0,-0.8207561083525883,-0.0,-1.4520426724349835,-1.6433803647804925,0.0
2019-03-04,1.0,-0.0,-0.8187002261331235,-0.0,-1.4521679284239506,-1.6450693147183169,0.0
2019-03-05,1.0,-0.0,-0.8076960880676234,-0.0,-1.4662866129349323,-1.640505209357185,0.0
2019-03-06,1.0,-0.0,-0.8067606741020981,-0.0,-1.4679408441016066,-1.6386282120571904,0.0
2019-03-07,1.0,-0.0,-0.7271330888910911,-0.0,-1.5822019621444852,-1.6456248141908634,0.0
2019-03-08,1.0,-0.0,-0.72451504354711,-0.0,-1.5797209026128265,-1.6442992874109263,0.0
2019-03-11,1.0,-0.0,-0.7268722466960353,-0.0,-1.5772905014106817,-1.645597188536356,0.0
2019-03-12,1.0,-0.0,-0.7010553309004833,-0.0,-1.5814182858270047,-1.6489791892691588,0.0
2019-03-13,1.0,-0.0,-0.7043392504930966,-0.0,-1.5781558185404339,-1.6484714003944771,0.0
2019-03-14,1.0,-0.0,-0.7106301153732374,-0.0,-1.573020412188147,-1.646829701212898,0.0
2019-03-15,1.0,-0.0,-0.7070378047576745,-0.0,-1.5820748198598362,-1.6461849768038694,0.0
2019-03-18,1.0,-0.0,-0.7042183868255774,-0.0,-1.5866673260471786,-1.6545175807329016,0.0
2019-03-19,1.0,-0.0,-0.7158282330696123,-0.0,-1.5917798676419366,-1.6683087027914614,0.0
2019-03-20,1.0,-0.0,-0.6939349781418019,-0.0,-1.6237877493593287,-1.7071503944525401,0.0
2019-03-21,1.0,-0.0,-0.6922073360429525,-0.0,-1.6444879321591652,-1.6810677906568317,0.0
2019-03-22,1.0,-0.0,-0.689331122166943,-0.0,-1.6787778280315595,-1.6572692095080155,0.0
2019-03-25,1.0,-0.0,-0.6474221668742216,-0.0,-1.6836363636363636,-1.6503113325031131,0.0
2019-03-26,1.0,-0.0,-0.6333999001497753,-0.0,-1.6891163255117325,-1.6699950074887668,0.0
2019-03-27,1.0,-0.0,-0.62937272318978,-0.0,-1.6906532262088925,-1.6702430260991066,0.0
2019-03-28,1.0,-0.0,-0.6397954579636036,-0.0,-1.6948413295232365,-1.6786484183085177,0.0
2019-03-29,1.0,-0.0,-0.6412776412776413,-0.0,-1.6950308378879808,-1.6779822494108207,0.0
2019-04-01,1.0,-0.0,-0.6677074939564868,-0.0,-1.7133360193392426,-1.655267929089444,0.0
2019-04-02,1.0,-0.0,-0.6742880064179703,-0.0,-1.7149518652226232,-1.6247492980344964,0.0
2019-04-03,1.0,-0.0,-0.6750953241019467,-0.0,-1.7116696769014648,-1.630292996187036,0.0
2019-04-04,1.0,-0.0,-0.6756309266971051,-0.0,-1.7109527871155485,-1.630726004716271,0.0
2019-04-05,1.0,-0.0,-0.6764705882352942,-0.0,-1.7099478016462557,-1.6326540855249951,0.0
2019-04-08,1.0,-0.0,-0.6636377328179125,-0.0,-1.720166675033887,-1.6364777348260453,0.0
2019-04-09,1.0,-0.0,-0.6638052208835341,-0.0,-1.7199297188755023,-1.6363955823293173,0.0
2019-04-10,1.0,-0.0,-0.6537825236877726,-0.0,-1.729984458815862,-1.629518223291723,0.0
2019-04-11,1.0,-0.0,-0.6423489327587935,-0.0,-1.738150115242008,-1.6300230484016434,0.0
2019-04-12,1.0,-0.0,-0.6421126478252155,-0.0,-1.7375726598516739,-1.6313389456804972,0.0
2019-04-15,1.0,-0.0,-0.6432613812791106,-0.0,-1.7305554164371215,-1.6343967546451648,0.0
2019-04-16,1.0,-0.0,-0.6419196473299269,-0.0,-1.7345456367097487,-1.6330528003206093,0.0
2019-04-17,1.0,-0.0,-0.6434438545527397,-0.0,-1.7400580987679055,-1.6250125212861866,0.0
2019-04-18,1.0,-0.0,-0.6286272740941212,-0.0,-1.7420438029369016,-1.6411066005112014,0.0
2019-04-22,1.0,-0.0,-0.6154233617085578,-0.0,-1.7625547776154737,-1.6590439732030422,0.0
2019-04-23,1.0,-0.0,-0.6134572640937563,-0.0,-1.7848050111133564,-1.653263285512225,0.0
2019-04-24,1.0,-0.0,-0.5917070217917676,-0.0,-1.7855629539951574,-1.6671206618240517,0.0
2019-04-25,1.0,-0.0,-0.5955418831005094,-0.0,-1.7850622825155076,-1.6625144989661607,0.0
2019-04-26,1.0,-0.0,-0.5878259115436987,-0.0,-1.8104796005850017,-1.6448131524534773,0.0
2019-04-29,1.0,-0.0,-0.5846402097725784,-0.0,-1.8104987141344362,-1.6474711310574355,0.0
2019-04-30,1.0,-0.0,-0.5855060769579908,-0.0,-1.8098239951586061,-1.6477885924655806,0.0
