Date,HYMC,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-07-30,1.0,-0.2702611715510826,-0.0,-0.2766044154647578,-0.22499025479287008,-0.0,0.0
2020-07-31,1.0,-0.2913791851260077,-0.0,-0.2884741085046118,-0.23583775147069505,-0.0,0.0
2020-08-03,1.0,-0.2999945316344944,-0.0,-0.2848107034140828,-0.23798326680155302,-0.0,0.0
2020-08-04,1.0,-0.3132209570588673,-0.0,-0.29999255786261814,-0.24732083054253182,-0.0,0.0
2020-08-05,1.0,-0.31287405612007085,-0.0,-0.3014076629066841,-0.25017246201174603,-0.0,0.0
2020-08-06,1.0,-0.32189793480116063,-0.0,-0.3014166239972692,-0.27308414405188597,-0.0,0.0
2020-08-07,1.0,-0.32535321074749474,-0.0,-0.2998345661640267,-0.27635056760919585,-0.0,0.0
2020-08-10,1.0,-0.33084885339026665,-0.0,-0.30336071980022494,-0.2720600850187766,-0.0,0.0
2020-08-11,1.0,-0.42067126028006224,-0.0,-0.43294065347855076,-0.3690820182262725,-0.0,0.0
2020-08-12,1.0,-0.48760660316193705,-0.0,-0.551194454141938,-0.4548401575981248,-0.0,0.0
2020-08-13,1.0,-0.4891328814746267,-0.0,-0.5576119850936648,-0.45429307455668655,-0.0,0.0
2020-08-14,1.0,-0.49081870751750023,-0.0,-0.5602110175509789,-0.4852389165060363,-0.0,0.0
2020-08-17,1.0,-0.49097638800255267,-0.0,-0.5649266113592853,-0.4967453733248245,-0.0,0.0
2020-08-18,1.0,-0.49213707611925,-0.0,-0.5753764983095994,-0.49367380391353344,-0.0,0.0
2020-08-19,1.0,-0.4908260431988852,-0.0,-0.5788237722897474,-0.5109287502258006,-0.0,0.0
2020-08-20,1.0,-0.49588172629719124,-0.0,-0.5843271754098787,-0.5180710369735235,-0.0,0.0
2020-08-21,1.0,-0.49841261580097845,-0.0,-0.5873061309461851,-0.5165244092848964,-0.0,0.0
2020-08-24,1.0,-0.49884129670615807,-0.0,-0.5878661632599922,-0.5171201666449681,-0.0,0.0
2020-08-25,1.0,-0.5039320375581915,-0.0,-0.6146340180426607,-0.5115331001288761,-0.0,0.0
2020-08-26,1.0,-0.5154850746268657,-0.0,-0.625586353944563,-0.5241471215351813,-0.0,0.0
2020-08-27,1.0,-0.5136762719495723,-0.02054254840162089,-0.6509173795587573,-0.6289115263394867,-0.0,0.0
2020-08-28,1.0,-0.5127921801954952,-0.02484771214052982,-0.653067006658167,-0.6425556027765973,-0.0,0.0
2020-08-31,1.0,-0.5127623369256947,-0.026403857061826432,-0.6528644356211003,-0.6440726035167328,-0.0,0.0
2020-09-01,1.0,-0.5215451041757223,-0.05140687936480338,-0.6314584601118548,-0.6933843345214291,-0.0,0.0
2020-09-02,1.0,-0.5411209439528023,-0.05743362831858407,-0.6421238938053098,-0.7091445427728613,-0.0,0.0
2020-09-03,1.0,-0.5428512384495026,-0.060047825701886465,-0.647624952026688,-0.7016502819354649,-0.0,0.0
2020-09-04,1.0,-0.5126146119254804,-0.07101559306196345,-0.6196636103486539,-0.7167260409974888,-0.0,0.0
2020-09-08,1.0,-0.5201313744464972,-0.07029119380663325,-0.6243805167003901,-0.7176329139907921,-0.0,0.0
2020-09-09,1.0,-0.5333570596609292,-0.1754885466545878,-0.6156011388637246,-0.9109615633492946,-0.0,0.0
2020-09-10,1.0,-0.5252231276678309,-0.18603673522183417,-0.599825378346915,-0.9226490751519856,-0.0,0.0
2020-09-11,1.0,-0.5197385620915033,-0.20173202614379085,-0.6079738562091503,-0.938529411764706,-0.0,0.0
2020-09-14,1.0,-0.5191176470588235,-0.20143790849673204,-0.607843137254902,-0.9395751633986927,-0.0,0.0
2020-09-15,1.0,-0.531898278613384,-0.2395002206905918,-0.6543985332563745,-0.9694428411367263,-0.0,0.0
2020-09-16,1.0,-0.531296673455533,-0.24185336048879838,-0.6497623896809234,-0.9715207060420912,-0.0,0.0
2020-09-17,1.0,-0.5227674323773277,-0.2560826423814055,-0.6440464863395406,-0.9752276743237734,-0.0,0.0
2020-09-18,1.0,-0.5356836654206248,-0.25649027744435676,-0.6512569018141912,-0.9860420453376315,-0.0,0.0
2020-09-21,1.0,-0.5340874035989717,-0.2579605826906598,-0.6523736075407026,-0.9832047986289632,-0.0,0.0
2020-09-22,1.0,-0.5544377067254687,-0.22343577728776187,-0.6771981808158766,-0.9903528114663726,-0.0,0.0
2020-09-23,1.0,-0.5548549376335195,-0.22369237130452763,-0.677107022258976,-0.9900075804562057,-0.0,0.0
2020-09-24,1.0,-0.548301705170517,-0.21524339933993397,-0.6708264576457645,-1.003472222222222,-0.0,0.0
2020-09-25,1.0,-0.5496531013772392,-0.21832177004590797,-0.6758482620551586,-1.007904456180318,-0.0,0.0
2020-09-28,1.0,-0.5645672375120162,-0.23423647951009363,-0.6806707729554597,-1.0808915156478087,-0.0,0.0
2020-09-29,1.0,-0.5641818634246916,-0.2309196260353347,-0.6812057872098396,-1.0785254701219296,-0.0,0.0
2020-09-30,1.0,-0.5940014088162235,-0.24687650613576537,-0.7064842620398175,-1.1600118637155674,-0.0,0.0
2020-10-01,1.0,-0.6045600150744301,-0.2477859430940268,-0.7260976069342379,-1.1901262483512345,-0.0,0.0
2020-10-02,1.0,-0.6323308864156603,-0.2426000473596969,-0.7611097955639751,-1.3106006788223221,-0.0,0.0
2020-10-05,1.0,-0.6893805673001929,-0.2189975780961373,-0.8305488280448258,-1.3659948277985305,-0.0,0.0
2020-10-06,1.0,-0.6918099918099918,-0.2081081081081081,-0.8246928746928748,-1.3703931203931203,-0.0,0.0
2020-10-07,1.0,-0.7029359540818433,-0.20213073460792005,-0.8349919478052608,-1.3892719990089608,-0.0,0.0
2020-10-08,1.0,-0.7019785655399835,-0.19983511953833472,-0.8334707337180544,-1.386727122835944,-0.0,0.0
2020-10-09,1.0,-0.7022092160580331,-0.19973621300799604,-0.8335668947325036,-1.3861594262632924,-0.0,0.0
