Date,IWF,IWM,MTUM,SEE,SPY,VLUE,VXX
2018-09-24,-0.26456237077877326,-0.5142935906271536,-0.0,1.0,-0.49447277739490003,-0.48339076498966227,0.0
2018-09-25,-0.2656671994708703,-0.5136967425453343,-0.0,1.0,-0.49401973212809347,-0.4825001377941906,0.0
2018-09-26,-0.2650037877725092,-0.5241435425493112,-0.0,1.0,-0.5078982071210123,-0.5086838191969922,0.0
2018-09-27,-0.2691164095371669,-0.5173913043478261,-0.0,1.0,-0.5091444600280506,-0.5093969144460029,0.0
2018-09-28,-0.267370075204849,-0.5196991806038838,-0.0,1.0,-0.5093444831069704,-0.5097373442586148,0.0
2018-10-01,-0.2670373178333755,-0.5213264819026759,-0.0,1.0,-0.5093364782523235,-0.5102631061690955,0.0
2018-10-02,-0.26781602740495314,-0.5190936148705565,-0.0,1.0,-0.5099960689616443,-0.51097882855057,0.0
2018-10-03,-0.26750680625333295,-0.5158719021022201,-0.0,1.0,-0.5107356367004406,-0.5125880602879677,0.0
2018-10-04,-0.28754641530991143,-0.5145672664952871,-0.0,1.0,-0.5409025992573551,-0.5132819194515852,0.0
2018-10-05,-0.2700592660132209,-0.505214269432414,-0.0,1.0,-0.5494643264189651,-0.5245612035559608,0.0
2018-10-08,-0.2673399715504979,-0.5019345661450925,-0.0,1.0,-0.5518918918918919,-0.5237553342816501,0.0
2018-10-09,-0.2627922207352145,-0.5022067826532646,-0.0,1.0,-0.5544292263447137,-0.5280332583501808,0.0
2018-10-10,-0.2616242130191186,-0.5187720210246636,-0.0,1.0,-0.5617743891873158,-0.545803731300179,0.0
2018-10-11,-0.22831412307779447,-0.5068958681430716,-0.0,1.0,-0.5501401829458242,-0.5466568491404945,0.0
2018-10-12,-0.2248767432032681,-0.5033103253979434,-0.0,1.0,-0.5467248908296943,-0.5423862515847303,0.0
2018-10-15,-0.20137286895853262,-0.5253193045631014,-0.0,1.0,-0.5428740223935182,-0.5436898666516626,0.0
