Date,CNHI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.34346493333825756,-0.6439782841526018,-0.14104221294825867,-0.7933301325848506,-0.7713557631938545,0.0
2018-09-25,1.0,-0.34370961190502564,-0.6436246815110226,-0.14153834791920536,-0.7929544699235626,-0.7708356412244747,0.0
2018-09-26,1.0,-0.3435745937961595,-0.6435745937961596,-0.1412112259970458,-0.7931314623338257,-0.7713072378138849,0.0
2018-09-27,1.0,-0.3451774776769242,-0.6384030698841414,-0.1426462991661132,-0.7927459228101248,-0.770791823481662,0.0
2018-09-28,1.0,-0.3420877659574468,-0.6432476359338061,-0.14343232860520094,-0.7934027777777778,-0.7716829196217494,0.0
2018-10-01,1.0,-0.3469062615783624,-0.6436087439792516,-0.1426083734716562,-0.7980363097443498,-0.7739903668025195,0.0
2018-10-02,1.0,-0.34695468210666963,-0.65705378020265,-0.13925694985710574,-0.7963478454515087,-0.7719259176780611,0.0
2018-10-03,1.0,-0.3466790352504638,-0.6479777365491651,-0.13799628942486084,-0.7998515769944341,-0.7780705009276437,0.0
2018-10-04,1.0,-0.34568176746261997,-0.6549505318753255,-0.13813880830171837,-0.7981849289593098,-0.7824518336680801,0.0
2018-10-05,1.0,-0.3318013343217198,-0.6463306152705709,-0.12498146775389178,-0.808598962194218,-0.7947368421052632,0.0
2018-10-08,1.0,-0.3306920428037176,-0.6447957936831192,-0.12356055837375496,-0.8093086977450291,-0.794386640500611,0.0
2018-10-09,1.0,-0.3333827563199644,-0.6457854548150345,-0.1286233227073912,-0.8077322262584327,-0.7912373044703092,0.0
2018-10-10,1.0,-0.33335804024756327,-0.6453693066004521,-0.12856242819553051,-0.8080272764333098,-0.7907571433865767,0.0
2018-10-11,1.0,-0.2857400982943047,-0.6386961549580803,-0.06923966464296039,-0.80554350968488,-0.8145417750795027,0.0
2018-10-12,1.0,-0.29478839004861307,-0.6302545038604518,-0.06566342579353732,-0.7892121818701744,-0.7945739205032885,0.0
2018-10-15,1.0,-0.27682142857142855,-0.6610714285714284,-0.03964285714285714,-0.7920714285714285,-0.8018214285714285,0.0
2018-10-16,1.0,-0.2745567629396626,-0.673076923076923,-0.03127680869316557,-0.7932513583071203,-0.8023305690591935,0.0
2018-10-17,1.0,-0.2645811240721103,-0.6505478967833157,-0.024319547543301522,-0.7899964651820431,-0.8053729232944503,0.0
2018-10-18,1.0,-0.2784523638453801,-0.6806653254777986,-0.014046558413565169,-0.7984983474637161,-0.8208075872970254,0.0
2018-10-19,1.0,-0.27316076294277924,-0.6789760504804244,-0.00652516850709881,-0.802703284095798,-0.8239280080309765,0.0
2018-10-22,1.0,-0.2748028673835125,-0.6748387096774193,-0.0029390681003584225,-0.8054121863799282,-0.826200716845878,0.0
2018-10-23,1.0,-0.2752454669246757,-0.6744786067512364,-0.004192646742635993,-0.804163979072601,-0.825413889486132,0.0
2018-10-24,1.0,-0.2740671507656913,-0.6816090301243799,-0.005284348263714142,-0.8070673664533755,-0.8267668416133439,0.0
2018-10-25,1.0,-0.2494822199599817,-0.6458033488959876,-0.0011584231403798224,-0.8088250781058026,-0.8051040825639765,0.0
2018-10-26,1.0,-0.24194560669456064,-0.6374476987447699,-0.0,-0.8087866108786611,-0.79860529986053,0.0
2018-10-29,1.0,-0.21139910813823856,-0.6572254738015607,-0.0,-0.800515607580825,-0.8146599777034559,0.0
2018-10-30,1.0,-0.19169574319609212,-0.6602233077459874,-0.0,-0.8038032100488485,-0.8334961618981158,0.0
2018-10-31,1.0,-0.1959295471881284,-0.6407322654462242,-0.0,-0.8017821232924208,-0.8287220026350461,0.0
2018-11-01,1.0,-0.18524930747922438,-0.648303324099723,-0.0,-0.8006925207756233,-0.8283587257617728,0.0
2018-11-02,1.0,-0.18784911385421696,-0.6324391421281291,-0.0,-0.8032894283152886,-0.8244603820426177,0.0
2018-11-05,1.0,-0.17952357869953603,-0.664877778547192,-0.0,-0.8107125545322346,-0.8072501904300255,0.0
2018-11-06,1.0,-0.19187217783952762,-0.6784300104202848,-0.0,-0.8059395623480375,-0.7971865230982981,0.0
2018-11-07,1.0,-0.1912249644208407,-0.6785379568884723,-0.0,-0.804609670589052,-0.7967301884827658,0.0
2018-11-08,1.0,-0.15393386545039908,-0.6884350920838949,-0.0,-0.7996613800490653,-0.8132407311426696,0.0
2018-11-09,1.0,-0.157755867240661,-0.6937578114150812,-0.0,-0.8020761005415914,-0.8181849743091236,0.0
2018-11-12,1.0,-0.15660566644757326,-0.6814266440654513,-0.0,-0.8056872037914692,-0.8156501885356487,0.0
2018-11-13,1.0,-0.14020781723093861,-0.6773327828241124,-0.0,-0.8077346545554638,-0.8153729699972474,0.0
2018-11-14,1.0,-0.1435221904203593,-0.6778854443256663,-0.0,-0.8106831270043794,-0.8163040104831201,0.0
2018-11-15,1.0,-0.14252746874246547,-0.6790548685978025,-0.0,-0.8145214066751628,-0.8082182344228981,0.0
2018-11-16,1.0,-0.14041237113402064,-0.6723024054982819,-0.0,-0.8127835051546393,-0.8109278350515464,0.0
2018-11-19,1.0,-0.1434855827061209,-0.6716156304773688,-0.0,-0.8112863869127401,-0.8104271918067154,0.0
2018-11-20,1.0,-0.11347008547008547,-0.6643760683760684,-0.0,-0.8152136752136753,-0.8257435897435897,0.0
2018-11-21,1.0,-0.11481531776208584,-0.6582020640956002,-0.0,-0.8133826724606192,-0.8084940249864204,0.0
2018-11-23,1.0,-0.11519142003801247,-0.6567675807765407,-0.0,-0.8136030409991853,-0.808376323649199,0.0
2018-11-26,1.0,-0.114383631366428,-0.6613280852363339,-0.0,-0.8114078246411727,-0.8060466221030843,0.0
2018-11-27,1.0,-0.1056792459204703,-0.6638062096692456,-0.0,-0.8072907868509072,-0.8017500591236191,0.0
2018-11-28,1.0,-0.10546056633101306,-0.6668581469216733,-0.0,-0.8058390214232615,-0.8009055889707374,0.0
2018-11-29,1.0,-0.08258017004753297,-0.6567583852179153,-0.0,-0.8031733279775055,-0.8048470241681729,0.0
2018-11-30,1.0,-0.0822958500669344,-0.6567938420348058,-0.0,-0.8037817938420347,-0.8038487282463186,0.0
2018-12-03,1.0,-0.08107836906713048,-0.6569555473793357,-0.0,-0.8034250928186775,-0.8033581964745626,0.0
2018-12-04,1.0,-0.09645472989236958,-0.6745297617000791,-0.0,-0.8384512224476461,-0.8292011966576114,0.0
2018-12-06,1.0,-0.08688874580636416,-0.6459724151953641,-0.0,-0.8379138567894541,-0.8180216205225523,0.0
2018-12-07,1.0,-0.09041615832994442,-0.645485969906466,-0.0,-0.8379761420631693,-0.8150332113325199,0.0
2018-12-10,1.0,-0.06862942797607044,-0.6473415339114068,-0.0,-0.8401895543456341,-0.8047321368555487,0.0
2018-12-11,1.0,-0.067161921409123,-0.6481898551211805,-0.0,-0.8394904030387577,-0.8066153484150729,0.0
