Date,IWF,IWM,MTUM,SPY,URA,VLUE,VXX
2018-09-24,-0.34547780995353217,-0.8356454980133342,-0.06192336184254832,-0.5816216580241093,1.0,-0.5425617886726378,0.0
2018-09-25,-0.34595704571467045,-0.8348481788190938,-0.06295024574160103,-0.5809264121726251,1.0,-0.5416077560088871,0.0
2018-09-26,-0.3477191563910788,-0.8373088066841858,-0.0661006670709521,-0.5807223232935786,1.0,-0.5371942591469578,0.0
2018-09-27,-0.34802963960929606,-0.8361064331424721,-0.06648703267093298,-0.5805321657123611,1.0,-0.5370158302458741,0.0
2018-09-28,-0.3649557763890312,-0.8435269610354131,-0.06454256735990166,-0.5937574702045556,1.0,-0.5481678789741489,0.0
2018-10-01,-0.3652972714544275,-0.8429805689307791,-0.06471331489259981,-0.5938599187241744,1.0,-0.5480995799610696,0.0
2018-10-02,-0.3675470666621109,-0.8264940034851539,-0.07076229200123005,-0.598626439334404,1.0,-0.5533536064509517,0.0
2018-10-03,-0.36724862482490006,-0.8168369264409443,-0.06928832553213297,-0.6028220984659538,1.0,-0.5603539581126789,0.0
2018-10-04,-0.36804535674032585,-0.8148160797841456,-0.06981112742921548,-0.6035383722121658,1.0,-0.5591721028723659,0.0
2018-10-05,-0.35347236420636546,-0.808730320997751,-0.05418114904927418,-0.6167450419137191,1.0,-0.5744564846997887,0.0
2018-10-08,-0.35174665804959354,-0.8058097214190959,-0.05105615837273377,-0.6191707200925202,1.0,-0.5737269975169224,0.0
2018-10-09,-0.35219077425500067,-0.8060960674921758,-0.051945842971832905,-0.6187236358688256,1.0,-0.5728670567424139,0.0
2018-10-10,-0.3529431767946407,-0.8050124120107457,-0.05284456081885265,-0.6191042948957731,1.0,-0.5706464447240452,0.0
2018-10-11,-0.3121622965492094,-0.8045546458050188,-0.0,-0.6115954519839559,1.0,-0.5865349554148572,0.0
2018-10-12,-0.3140038025306497,-0.7984003146921917,-0.0,-0.5965056054546647,1.0,-0.5690683799908215,0.0
2018-10-15,-0.29202237268177805,-0.8180747718575213,-0.0,-0.5917966833480522,1.0,-0.5689660811827429,0.0
