Date,BVN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5816451521718646,-1.1278620559690944,-0.0,-1.0242626966927353,-0.9774333364741354,0.0
2018-09-25,1.0,-0.5855346800395536,-1.1258652352027123,-0.0,-1.022884588218675,-0.9744785044968687,0.0
2018-09-26,1.0,-0.5872739261492087,-1.1276846269781462,-0.0,-1.0230783722682741,-0.9717878673700076,0.0
2018-09-27,1.0,-0.5894083341172043,-1.1206847897657792,-0.0,-1.0222932931991346,-0.9708399962374188,0.0
2018-09-28,1.0,-0.5885921188751999,-1.121179347314963,-0.0,-1.02191291263049,-0.9706573873789147,0.0
2018-10-01,1.0,-0.5885784175369273,-1.1224009784551698,-0.0,-1.021968200206981,-0.9711637971587167,0.0
2018-10-02,1.0,-0.591712915059731,-1.1104317561847428,-0.0,-1.0258207130091241,-0.9752139968018061,0.0
2018-10-03,1.0,-0.5908556376123054,-1.0969471753139846,-0.0,-1.0313749470812361,-0.9847123571193377,0.0
2018-10-04,1.0,-0.5926030358569481,-1.0922975703745477,-0.0,-1.0328022933408525,-0.9817660604351709,0.0
2018-10-05,1.0,-0.5790286355979787,-1.0843159273816207,-0.0,-1.0329402957140184,-0.9827344188658057,0.0
2018-10-08,1.0,-0.5755086802314728,-1.0791021093895836,-0.0,-1.0322475266007094,-0.9799327982079522,0.0
2018-10-09,1.0,-0.5726152697405265,-1.0788687698338622,-0.0,-1.0333208885570282,-0.9819395183871571,0.0
2018-10-10,1.0,-0.5740274279317101,-1.07738595018192,-0.0,-1.0340983300681035,-0.9791025282209163,0.0
2018-10-11,1.0,-0.44833561331509353,-1.0781577747378022,-0.0,-1.012767897856817,-1.0206566347469221,0.0
2018-10-12,1.0,-0.545045925346883,-1.2044166503810827,-0.0,-1.073236271252687,-1.0629763533320304,0.0
2018-10-15,1.0,-0.4988029510920018,-1.252406312600772,-0.0,-1.0673278936825135,-1.0673767528216154,0.0
2018-10-16,1.0,-0.4882207984228684,-1.2927550517496302,-0.0,-1.0741251848201083,-1.0734351897486447,0.0
2018-10-17,1.0,-0.4462222651906995,-1.2202832696862764,-0.0,-1.0705757238845652,-1.0968724319621017,0.0
2018-10-18,1.0,-0.445389522520781,-1.218731877053934,-0.0,-1.0718151942779819,-1.0968973516334817,0.0
