Date,FULT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1531743456629894,-0.6928131083711876,-0.0745187107938568,-0.37462145792775253,-0.40877136058836255,0.0
2018-09-25,1.0,-0.15196224675219008,-0.6972959778687858,-0.07051612378291883,-0.3786173415421334,-0.4137940386753818,0.0
2018-09-26,1.0,-0.1520896048599246,-0.6975022374094866,-0.07091910069698695,-0.3784340845605185,-0.41309359151682806,0.0
2018-09-27,1.0,-0.15097836158500028,-0.7086172126233171,-0.06853981577369597,-0.38126124161988334,-0.41581729983103505,0.0
2018-09-28,1.0,-0.1497097380829086,-0.7096835736284103,-0.06898149409937042,-0.381210651113352,-0.4158785533237034,0.0
2018-10-01,1.0,-0.15040340165721763,-0.7089238988225033,-0.06893262102049717,-0.3815689053641518,-0.41585804622764944,0.0
2018-10-02,1.0,-0.1504528590135312,-0.7148352247926669,-0.06738323876036666,-0.380674378000873,-0.41472064600611086,0.0
2018-10-03,1.0,-0.15059337061792388,-0.7145819124266812,-0.06752148410858001,-0.38068476333378803,-0.4147592415768654,0.0
2018-10-04,1.0,-0.14946117712075158,-0.7366952196739431,-0.06623376623376624,-0.38063000828958277,-0.43017408123791107,0.0
2018-10-05,1.0,-0.13428587220871105,-0.7333351757682953,-0.05137629891664824,-0.39594848551846124,-0.44870661065664386,0.0
2018-10-08,1.0,-0.13321188031356962,-0.7321408855029259,-0.049961355857347914,-0.3967097272827647,-0.44827205476427073,0.0
2018-10-09,1.0,-0.1307124491996351,-0.7343728401205385,-0.0421055541732327,-0.40214536507146614,-0.4553371485444141,0.0
2018-10-10,1.0,-0.13288338127904403,-0.7333204248727595,-0.0443405620712547,-0.4037950874087187,-0.45175923876963925,0.0
2018-10-11,1.0,-0.09626825310978906,-0.73967009194159,-0.0008112493239588966,-0.3983504597079502,-0.46906435911303407,0.0
2018-10-12,1.0,-0.08934512699829586,-0.7452730666233871,-0.0,-0.3993075279288052,-0.4710433065541399,0.0
2018-10-15,1.0,-0.047635937031075215,-0.8003710473903909,-0.0,-0.39925790521921806,-0.48099746269063925,0.0
2018-10-16,1.0,-0.040503213455490225,-0.8153972377957064,-0.0,-0.3987419663612745,-0.4802133187474361,0.0
2018-10-17,1.0,-0.02733952885238816,-0.7931435055111304,-0.0,-0.39566673870758595,-0.485384698508753,0.0
2018-10-18,1.0,-0.028452940045590618,-0.799456208288704,-0.0,-0.4192414380269699,-0.49927219796215433,0.0
2018-10-19,1.0,-0.01759562841530055,-0.7972950819672132,-0.0,-0.41863387978142075,-0.4987431693989071,0.0
2018-10-22,1.0,-0.018390993058971416,-0.7970705580149752,-0.0,-0.4185932120019676,-0.49863365579056673,0.0
2018-10-23,1.0,-0.012915991096210394,-0.8015883920965127,-0.0,-0.42817884525543437,-0.5053999835115007,0.0
2018-10-24,1.0,-0.01062369605797738,-0.7999890194355991,-0.0,-0.42813220599538815,-0.5063961787635884,0.0
2018-10-25,1.0,-0.0,-0.7917176163691204,-0.0,-0.42659166870465476,-0.4990081791255672,0.0
2018-10-26,1.0,-0.005075865080231416,-0.7945912018338609,-0.0,-0.4273823818360441,-0.5018829822071826,0.0
2018-10-29,1.0,-0.0,-0.7981347037550643,-0.0,-0.41882154607499256,-0.5021344862278054,0.0
2018-10-30,1.0,-0.0,-0.7994459529882881,-0.0,-0.41646781315998793,-0.5268932225239309,0.0
2018-10-31,1.0,-0.0,-0.7868365064644591,-0.0,-0.41631662211554193,-0.5244940265124652,0.0
2018-11-01,1.0,-0.0,-0.8040958057636572,-0.0,-0.40886968885000274,-0.5212445999890633,0.0
2018-11-02,1.0,-0.0,-0.7889750918742343,-0.0,-0.41426432557506465,-0.5189873417721519,0.0
2018-11-05,1.0,-0.0,-0.7962277502585595,-0.0,-0.4137771487670785,-0.511676011104458,0.0
2018-11-06,1.0,-0.0,-0.7997442037661914,-0.0,-0.41281158158267117,-0.5087079568956134,0.0
2018-11-07,1.0,-0.0,-0.7996680633400447,-0.0,-0.4125537356478206,-0.5085704957283561,0.0
2018-11-08,1.0,-0.0,-0.7975672388160562,-0.0,-0.39667522638194347,-0.5088255169617516,0.0
2018-11-09,1.0,-0.0,-0.8003255561584374,-0.0,-0.4021161150298426,-0.5105263157894737,0.0
2018-11-12,1.0,-0.0,-0.7878329052318507,-0.0,-0.4074084088143842,-0.5085575233202649,0.0
