Date,IWF,IWM,MTUM,SPOT,SPY,VLUE,VXX
2018-11-30,-0.376799274623144,-1.0888586648532246,-0.0,1.0,-2.0401790774113113,-1.16111300011334,0.0
2018-12-03,-0.35965611478023235,-1.1032225005693463,-0.0,1.0,-2.058585743566386,-1.171999544522888,0.0
2018-12-04,-0.3471200633699219,-1.1064275206518048,-0.0,1.0,-2.046056353966278,-1.1584248047980084,0.0
2018-12-06,-0.4216170303126825,-0.9124064341455645,-0.0,1.0,-1.9543451717364761,-1.0203323246801508,0.0
2018-12-07,-0.44075904959336626,-0.9116568330409823,-0.0,1.0,-1.9569446659225005,-1.0060596396109074,0.0
2018-12-10,-0.350507375248457,-0.9497332356941104,-0.0,1.0,-1.993095512082854,-0.9373888482058794,0.0
2018-12-11,-0.3053531834019639,-0.974025974025974,-0.0,1.0,-2.0035899060289304,-0.9963045084996304,0.0
2018-12-12,-0.2988201682450664,-0.9777260462409395,-0.0,1.0,-2.007354108248241,-1.006825035712396,0.0
2018-12-13,-0.29764861294583883,-0.9661822985468957,-0.0,1.0,-2.0212417437252315,-0.9989431968295904,0.0
2018-12-14,-0.2981658650034357,-0.9702944130239443,-0.0,1.0,-2.016861356308473,-1.000317141497965,0.0
2018-12-17,-0.2340122414520895,-0.9818488813845504,-0.0,1.0,-1.9761502743773747,-1.0844765723934149,0.0
2018-12-18,-0.2141891189014876,-0.954644751898471,-0.0,1.0,-1.959065848330386,-1.0733381878705919,0.0
2018-12-19,-0.21825273010920437,-0.9536141445657825,-0.0,1.0,-1.955694227769111,-1.0726469058762351,0.0
2018-12-20,-0.2178926236680908,-0.9182580944046945,-0.0,1.0,-1.9642250476141452,-1.0471508724970402,0.0
2018-12-21,-0.21124968185288878,-0.9175871723084754,-0.0,1.0,-1.9698651056248409,-0.991702723339272,0.0
2018-12-24,-0.19656305281779127,-0.8976497346474602,-0.0,1.0,-1.9624462977002781,-0.9976750063179177,0.0
2018-12-26,-0.21687168716871688,-0.9652965296529653,-0.0,1.0,-1.8649864986498652,-0.9533453345334533,0.0
2018-12-27,-0.18679579104199648,-0.906695223018903,-0.0,1.0,-1.5899059502746997,-0.9724834714591676,0.0
2018-12-28,-0.175794518635708,-0.9197803731794706,-0.0,1.0,-1.5921548555209157,-0.9654273882090177,0.0
2018-12-31,-0.18022633074093045,-0.9125413309737811,-0.0,1.0,-1.5944209006659527,-0.9698691379872397,0.0
2019-01-02,-0.175693895578595,-0.9116183923008973,-0.0,1.0,-1.5905434934213587,-0.9713608257008695,0.0
2019-01-03,-0.18942629038247308,-0.9066097289268474,-0.0,1.0,-1.598821017452655,-0.9468065354623098,0.0
2019-01-04,-0.140996732778059,-0.9259122911969077,-0.0,1.0,-1.580138971975519,-0.9546730477198473,0.0
2019-01-07,-0.165536139436683,-0.8909303265801177,-0.0,1.0,-1.5264812901486906,-0.9092134225776021,0.0
2019-01-08,-0.17380206000895654,-0.858128078817734,-0.0,1.0,-1.5474249888042992,-0.8989252127183162,0.0
2019-01-09,-0.15704595480885852,-0.823098692781097,-0.0,1.0,-1.5665064462512914,-0.9455100849018463,0.0
2019-01-10,-0.14564028386746825,-0.8371378203679428,-0.0,1.0,-1.574831623197577,-0.9626180897708267,0.0
2019-01-11,-0.1461044830079537,-0.8363611713665944,-0.0,1.0,-1.5739786695589297,-0.9627169197396963,0.0
2019-01-14,-0.16411487588331217,-0.8452165247327414,-0.0,1.0,-1.5905961224859575,-0.9298786011958687,0.0
2019-01-15,-0.1305892667620322,-0.8348945595496285,-0.0,1.0,-1.6574685062987402,-0.9915093904296064,0.0
2019-01-16,-0.13061149085534823,-0.8351653426935156,-0.0,1.0,-1.6656659892850547,-0.9870681692222427,0.0
2019-01-17,-0.12456059204440333,-0.8435707678075854,-0.0,1.0,-1.668177613320999,-0.9890379278445883,0.0
2019-01-18,-0.12533530663213394,-0.8378503376190917,-0.0,1.0,-1.6720469891776895,-0.9897326796781056,0.0
2019-01-22,-0.12769485903814262,-0.853510226644555,-0.0,1.0,-1.6663902708678828,-0.9589552238805971,0.0
2019-01-23,-0.1049365692222835,-0.8489152417723845,-0.0,1.0,-1.6988416988416988,-0.9437396580253723,0.0
2019-01-24,-0.101575456053068,-0.8591763405196242,-0.0,1.0,-1.6928782015846693,-0.9529666482402801,0.0
2019-01-25,-0.10134979499700557,-0.8593541253973372,-0.0,1.0,-1.692495508361358,-0.9536094347445524,0.0
2019-01-28,-0.09719540229885057,-0.8503908045977012,-0.0,1.0,-1.7007816091954024,-0.9493333333333334,0.0
2019-01-29,-0.08480419194704909,-0.8533737819452105,-0.0,1.0,-1.704817061959919,-0.9533921676778819,0.0
