Date,BANF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.15168977228439395,-0.7516285284783699,-0.10492177495685097,-0.38321919714937924,-0.39235009186570907,0.0
2018-09-25,1.0,-0.1506042591197075,-0.755533227273996,-0.10137039828072232,-0.38672583661279963,-0.39682938401853246,0.0
2018-09-26,1.0,-0.1504968181310707,-0.7555543150608462,-0.10117784972647091,-0.3867924528301887,-0.3970637490231104,0.0
2018-09-27,1.0,-0.14954763171899946,-0.764152264642447,-0.09932494888098373,-0.38886865914120056,-0.3991484832357637,0.0
2018-09-28,1.0,-0.1476489379588634,-0.7662108389844757,-0.09981505352238973,-0.38906013562741687,-0.3994843916381774,0.0
2018-10-01,1.0,-0.14774128460934874,-0.7661136643874006,-0.09996076673018721,-0.38902589395807646,-0.3995348055150768,0.0
2018-10-02,1.0,-0.14841945117484645,-0.7904152814560208,-0.09325519806164421,-0.3878683721192314,-0.39741928213219135,0.0
2018-10-03,1.0,-0.14856450567717577,-0.790099456230806,-0.09339869833488293,-0.3879074747133237,-0.39748682838869637,0.0
2018-10-04,1.0,-0.14728682170542637,-0.7987891133367283,-0.09307983930289142,-0.3863803542126407,-0.4036666100831777,0.0
2018-10-05,1.0,-0.1320722707608788,-0.7956004184691945,-0.07891537308790682,-0.4004297791726751,-0.42050499052789325,0.0
2018-10-08,1.0,-0.13042864403908058,-0.7934150336025301,-0.07545038685265715,-0.4039927712204213,-0.42045518721409614,0.0
2018-10-09,1.0,-0.1275032620411868,-0.7987462415612413,-0.06274465308901117,-0.414364327452204,-0.4332274351846599,0.0
2018-10-10,1.0,-0.12963646167380877,-0.7977126316088202,-0.0650168856599597,-0.41598319947782153,-0.4296052444873286,0.0
2018-10-11,1.0,-0.09107033978160857,-0.8046948617038967,-0.020924560722798073,-0.40959481181752677,-0.44520813702122947,0.0
2018-10-12,1.0,-0.08838654676456838,-0.8055715975029564,-0.01782031185545747,-0.4015895278167368,-0.4366526414212249,0.0
2018-10-15,1.0,-0.05270908585718255,-0.8671297582661851,-0.0,-0.4073631564323423,-0.4513475965545985,0.0
2018-10-16,1.0,-0.05106548495540799,-0.8696691023254521,-0.0,-0.40680132247937095,-0.4507543133387047,0.0
