Date,IWF,IWM,MTUM,NVO,SPY,VLUE,VXX
2018-09-24,-0.3527998077385244,-0.5748918529199711,-0.042147320355683734,1.0,-0.5400745013217976,-0.4942021148762316,0.0
2018-09-25,-0.35637642391271673,-0.5732018875296805,-0.047037960987045775,1.0,-0.5383066334044664,-0.4906675483153497,0.0
2018-09-26,-0.35740701764935806,-0.5746113833849484,-0.049129558916383535,1.0,-0.5379596500195436,-0.48756727502330194,0.0
2018-09-27,-0.3570418509492433,-0.5766465084093029,-0.04877094803983512,1.0,-0.5382856455155399,-0.487950176008665,0.0
2018-09-28,-0.35663999037246524,-0.5768698477646067,-0.04916059931403815,1.0,-0.5380889343522475,-0.48787532342499546,0.0
2018-10-01,-0.35881679619254175,-0.5760889210193385,-0.048767998072173024,1.0,-0.5400024097837219,-0.48855352732092294,0.0
2018-10-02,-0.3586084122865246,-0.5869289723010078,-0.0460442942489892,1.0,-0.5387122080743467,-0.48702552652223763,0.0
2018-10-03,-0.35968152094938244,-0.5745035117461855,-0.043139985468636476,1.0,-0.5486800678130298,-0.5013623153305885,0.0
2018-10-04,-0.36575309240844045,-0.567760126121756,-0.043839437302934756,1.0,-0.5571186029590104,-0.49733203977686147,0.0
2018-10-05,-0.40883485566977495,-0.6311065847681487,-0.053849336431049305,1.0,-0.5796441870086885,-0.5091499315744248,0.0
2018-10-08,-0.40917806468106865,-0.6325897993097277,-0.045826409305892886,1.0,-0.5936980697941966,-0.5144126294260515,0.0
2018-10-09,-0.41377763537327783,-0.6349247036206345,-0.05334828580583147,1.0,-0.5918615828260173,-0.5101890419737264,0.0
2018-10-10,-0.4133538678730709,-0.6375653736323675,-0.051432604998877016,1.0,-0.5926781531748323,-0.5134918343119325,0.0
2018-10-11,-0.37288294481594897,-0.6348353227923255,-0.0,1.0,-0.5859946253359165,-0.5310918067620773,0.0
2018-10-12,-0.3834156886967264,-0.6280111179740581,-0.0,1.0,-0.5678814082767141,-0.509017912291538,0.0
2018-10-15,-0.38617044295384995,-0.626008469599085,-0.0,1.0,-0.5695650829958888,-0.509350561033662,0.0
2018-10-16,-0.3849482305671457,-0.6277545974347087,-0.0,1.0,-0.5690928759078967,-0.5088857981764796,0.0
2018-10-17,-0.3727236677546289,-0.6031479730348046,-0.0,1.0,-0.5637373028703901,-0.5107220205594363,0.0
2018-10-18,-0.3719759602184325,-0.6015436712529363,-0.0,1.0,-0.5660026236309832,-0.5112114463528478,0.0
2018-10-19,-0.3578137308368175,-0.5894382839483729,-0.0,1.0,-0.5703508453008543,-0.5121796037084166,0.0
2018-10-22,-0.35774426070628146,-0.5857108243988128,-0.0,1.0,-0.5717184565994307,-0.5135077836331698,0.0
2018-10-23,-0.3597274791824376,-0.5856775170325511,-0.0,1.0,-0.5700227100681302,-0.5125813777441333,0.0
2018-10-24,-0.3586834860997671,-0.5834770245333818,-0.0,1.0,-0.5700759294551835,-0.5128414556674834,0.0
2018-10-25,-0.3327355578421285,-0.5449654564162869,-0.0,1.0,-0.5750698221372924,-0.4871086285462296,0.0
2018-10-26,-0.3187523662521478,-0.5344963159274252,-0.0,1.0,-0.5791711564784343,-0.47991962023473217,0.0
2018-10-29,-0.29601766055712087,-0.5480582101257733,-0.0,1.0,-0.5709472216574201,-0.48967380253870507,0.0
2018-10-30,-0.28149074100991306,-0.549696212099189,-0.0,1.0,-0.5729236315009157,-0.5029506671705573,0.0
2018-10-31,-0.2870846576134065,-0.530078012135221,-0.0,1.0,-0.5727535394394683,-0.499422132331696,0.0
2018-11-01,-0.28535120147874304,-0.5311633548983364,-0.0,1.0,-0.5724064232902033,-0.4992490757855823,0.0
2018-11-02,-0.28767792954708843,-0.5175269590222861,-0.0,1.0,-0.5745794392523365,-0.49584471603163194,0.0
2018-11-05,-0.28532827411751177,-0.5238300563412671,-0.0,1.0,-0.5749396343566746,-0.4904277337012763,0.0
2018-11-06,-0.2913598711458813,-0.529452369995398,-0.0,1.0,-0.5711573861021629,-0.48420961803957663,0.0
2018-11-07,-0.2906100856764993,-0.5302167787936288,-0.0,1.0,-0.5700362256339486,-0.48418722327640734,0.0
