Date,EIM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.08491135359070966,-0.24842197974262364,-0.0,-0.1633312129960366,-0.13436414346528353,0.0
2018-09-25,1.0,-0.08462768387391503,-0.24867845722117077,-0.0,-0.16352868237290347,-0.13471578672583698,0.0
2018-09-26,1.0,-0.08386801848133092,-0.2483224763677328,-0.0,-0.16388303864426704,-0.13655287260616153,0.0
2018-09-27,1.0,-0.08652213660702625,-0.24410669975186103,-0.0,-0.1647512080449262,-0.13709677419354838,0.0
2018-09-28,1.0,-0.08958671187773357,-0.24389404884760923,-0.0,-0.16628171736530872,-0.13831965534751914,0.0
2018-10-01,1.0,-0.0892748773967098,-0.24550181239646382,-0.0,-0.16644524266430483,-0.1389558628155292,0.0
2018-10-02,1.0,-0.08788872591835725,-0.25873860808516946,-0.0,-0.16458741904118393,-0.13680185896273833,0.0
2018-10-03,1.0,-0.08770079907735398,-0.2566933025784661,-0.0,-0.16518658868111047,-0.13800148282395586,0.0
2018-10-04,1.0,-0.08999670402109426,-0.2535761371127225,-0.0,-0.16829268292682928,-0.13612392880685564,0.0
2018-10-05,1.0,-0.08679177192349331,-0.2513040910731275,-0.0,-0.16720251960237525,-0.13505134345986022,0.0
2018-10-08,1.0,-0.08751232336510023,-0.25280972724285244,-0.0,-0.16712126191258625,-0.1356720341767992,0.0
2018-10-09,1.0,-0.08864129363044765,-0.2530894629593112,-0.0,-0.16678169986196018,-0.13481890488398082,0.0
2018-10-10,1.0,-0.0886421132174656,-0.2528994316128397,-0.0,-0.16672142458192332,-0.13447448828728195,0.0
2018-10-11,1.0,-0.06591737545565006,-0.2450278186352881,-0.0,-0.15506491014900556,-0.13276203875423676,0.0
2018-10-12,1.0,-0.06524802482623221,-0.2417391028990326,-0.0,-0.14965404772083157,-0.12666445003879098,0.0
2018-10-15,1.0,-0.0575217048145225,-0.24770323599052882,-0.0,-0.14737174427782163,-0.1259194948697711,0.0
2018-10-16,1.0,-0.053272594982759165,-0.25609756097560976,-0.0,-0.14695833728765303,-0.12539938628958275,0.0
2018-10-17,1.0,-0.048242591316333565,-0.24627216339828334,-0.0,-0.14511935342397092,-0.12668379174237202,0.0
2018-10-18,1.0,-0.04925729359670886,-0.24931696134158216,-0.0,-0.1442232201739786,-0.1273906353044625,0.0
2018-10-19,1.0,-0.0445573091124371,-0.2449249848100082,-0.0,-0.14306635299982862,-0.12538364466324955,0.0
2018-10-22,1.0,-0.04459055216253272,-0.24322260999626077,-0.0,-0.14396111180356475,-0.12624641655241184,0.0
2018-10-23,1.0,-0.0453462107640782,-0.24319651063166914,-0.0,-0.1433133421606044,-0.12588207804346133,0.0
2018-10-24,1.0,-0.04481823283656544,-0.24010101639957596,-0.0,-0.14499282908274613,-0.12899856581654923,0.0
2018-10-25,1.0,-0.03319539950100407,-0.22357451469603848,-0.0,-0.14723422381792733,-0.11732489502829671,0.0
2018-10-26,1.0,-0.02767449593422206,-0.21953689428977358,-0.0,-0.14945134669447718,-0.11474864725975636,0.0
2018-10-29,1.0,-0.02237863201588161,-0.2207182818985743,-0.0,-0.14598748721650726,-0.11485592251699453,0.0
2018-10-30,1.0,-0.027038426197900194,-0.22129332550047454,-0.0,-0.14636901803063854,-0.11161823851055178,0.0
2018-10-31,1.0,-0.027726460295288306,-0.2179816458643116,-0.0,-0.14569158443353009,-0.11056038690878504,0.0
2018-11-01,1.0,-0.022928483538909396,-0.2215719816332043,-0.0,-0.14544881606194293,-0.11060592419195102,0.0
2018-11-02,1.0,-0.024911829756709906,-0.21229601291171019,-0.0,-0.14823061749058522,-0.10895749895391238,0.0
2018-11-05,1.0,-0.026075638800789898,-0.20969720543354675,-0.0,-0.14839028185027825,-0.11184249895278557,0.0
2018-11-06,1.0,-0.023316528628015847,-0.20846837114392033,-0.0,-0.15205257472092187,-0.11659764734125556,0.0
2018-11-07,1.0,-0.02306434923443756,-0.20856890061934827,-0.0,-0.15153787322106083,-0.1164764632664997,0.0
2018-11-08,1.0,-0.01657524445504412,-0.2082041497734319,-0.0,-0.14858096828046743,-0.11721917481516814,0.0
2018-11-09,1.0,-0.016146586554947592,-0.20831034842634144,-0.0,-0.1492403798846033,-0.11721557109418095,0.0
2018-11-12,1.0,-0.016046117730960093,-0.2021365108608445,-0.0,-0.1515912400083202,-0.11597777315543935,0.0
2018-11-13,1.0,-0.008568778433768643,-0.1995995347536108,-0.0,-0.1509106167459254,-0.11321977002694307,0.0
2018-11-14,1.0,-0.009473436072722987,-0.19929575389692666,-0.0,-0.1514129121607685,-0.11313610513598726,0.0
2018-11-15,1.0,-0.009267567925388723,-0.1993409729475279,-0.0,-0.15206166610276703,-0.11035761043851779,0.0
2018-11-16,1.0,-0.007739187899258389,-0.1957852999486012,-0.0,-0.15193479697481457,-0.11307731845216241,0.0
2018-11-19,1.0,-0.007461480839563474,-0.19595199976499272,-0.0,-0.15218189562739595,-0.11320006462699939,0.0
2018-11-20,1.0,-0.0,-0.1931439593196563,-0.0,-0.15182067917470338,-0.11625460284061022,0.0
2018-11-21,1.0,-0.0010297466243165238,-0.19093822970601457,-0.0,-0.15083612525199783,-0.10754325660995807,0.0
2018-11-23,1.0,-0.0018268547650461787,-0.18410636354409823,-0.0,-0.15493468269272592,-0.10903133200910527,0.0
2018-11-26,1.0,-0.0017249876786594382,-0.1845301945322239,-0.0,-0.1546110805090888,-0.10870321514510191,0.0
2018-11-27,1.0,-0.0006798686551619389,-0.18446138490691585,-0.0,-0.15369371193820427,-0.10769408803575821,0.0
2018-11-28,1.0,-0.0007957521304454766,-0.18444087561670794,-0.0,-0.15376824804317318,-0.1078171795650853,0.0
2018-11-29,1.0,-0.0,-0.18358618696720128,-0.0,-0.15330154601936136,-0.10799017483022684,0.0
2018-11-30,1.0,-0.0,-0.1856476518816815,-0.0,-0.15680679085667934,-0.10604919315120086,0.0
2018-12-03,1.0,-0.0,-0.18591785900480795,-0.0,-0.15653420610554364,-0.10571743034235068,0.0
2018-12-04,1.0,-0.0,-0.1858305811460687,-0.0,-0.15691812967147575,-0.1057853873341445,0.0
2018-12-06,1.0,-0.0,-0.1649753387380237,-0.0,-0.1567549180792562,-0.0955836498667725,0.0
2018-12-07,1.0,-0.0006518997208168587,-0.16508651843033884,-0.0,-0.15729206524665904,-0.09414282272579115,0.0
2018-12-10,1.0,-0.0,-0.1639498741227268,-0.0,-0.1544985302597713,-0.08801563972377321,0.0
2018-12-11,1.0,-0.001140716538981523,-0.1637139477242001,-0.0,-0.15934824245155474,-0.08408911671924289,0.0
2018-12-12,1.0,-0.0,-0.16464747612935982,-0.0,-0.1595278055935574,-0.08620227634937873,0.0
2018-12-13,1.0,-0.0,-0.1631404609204313,-0.0,-0.16095566988512228,-0.08544647261963492,0.0
2018-12-14,1.0,-0.0,-0.16556384824842335,-0.0,-0.15965236529860746,-0.08565301429196236,0.0
2018-12-17,1.0,-0.0,-0.16398605331233831,-0.0,-0.15376504330221571,-0.08815093915195142,0.0
2018-12-18,1.0,-0.0,-0.16305110431341735,-0.0,-0.15287795021468864,-0.08726461426206046,0.0
2018-12-19,1.0,-0.0,-0.16317363168016621,-0.0,-0.15299633617361766,-0.08759492960119039,0.0
2018-12-20,1.0,-0.0,-0.16053446126696452,-0.0,-0.15358758526029775,-0.08645779352651997,0.0
2018-12-21,1.0,-0.0,-0.15994976276862963,-0.0,-0.1531398269606475,-0.08237510466089869,0.0
2018-12-24,1.0,-0.0,-0.15061310547633577,-0.0,-0.14849081728901958,-0.08799866836819618,0.0
2018-12-26,1.0,-0.0,-0.15306530033194224,-0.0,-0.140903268459981,-0.08337121055603763,0.0
2018-12-27,1.0,-0.0,-0.14428163602170177,-0.0,-0.12400048707228963,-0.08469645925505,0.0
2018-12-28,1.0,-0.0,-0.14463435742102987,-0.0,-0.12355311553440071,-0.08405452185201212,0.0
2018-12-31,1.0,-0.0,-0.1436340024890428,-0.0,-0.12427628375087928,-0.08484389372869433,0.0
2019-01-02,1.0,-0.0,-0.14515910078192876,-0.0,-0.12700912250217203,-0.08534698088618592,0.0
2019-01-03,1.0,-0.0,-0.1460833129268359,-0.0,-0.12370418741327237,-0.09064566157864663,0.0
2019-01-04,1.0,-0.0,-0.14654495219004796,-0.0,-0.11697862773248098,-0.09086599669528943,0.0
2019-01-07,1.0,-0.0,-0.13952241846005414,-0.0,-0.11474553104816015,-0.08574759467209819,0.0
2019-01-08,1.0,-0.0,-0.13778420502932434,-0.0,-0.11585120912669719,-0.08537532471010417,0.0
2019-01-09,1.0,-0.0,-0.14046194704509482,-0.0,-0.1164525042251254,-0.0844086165732221,0.0
2019-01-10,1.0,-0.0,-0.14054597893889598,-0.0,-0.11643973438862433,-0.08449929572741298,0.0
2019-01-11,1.0,-0.0,-0.13634227241596947,-0.0,-0.11782400257832328,-0.0887104354949172,0.0
2019-01-14,1.0,-0.0,-0.1349684182233571,-0.0,-0.11456793441741703,-0.09436903641983606,0.0
2019-01-15,1.0,-0.0,-0.13524992271816996,-0.0,-0.11488784054406409,-0.09389406341142159,0.0
2019-01-16,1.0,-0.0,-0.13498160135371062,-0.0,-0.11027101071687573,-0.09771427036609279,0.0
2019-01-17,1.0,-0.0,-0.13401355977713633,-0.0,-0.11081425790427603,-0.0977243740350406,0.0
2019-01-18,1.0,-0.0,-0.13423792570699267,-0.0,-0.11192315443003963,-0.0972929401491234,0.0
2019-01-22,1.0,-0.0,-0.12556539706938477,-0.0,-0.08524738877899432,-0.049124973226322616,0.0
2019-01-23,1.0,-0.0,-0.1225630246812581,-0.0,-0.08564811901375656,-0.050394572892150075,0.0
