Date,AIQ,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-01-14,1.0,-0.3889070375210006,-0.31878850102669404,-0.3778700765353743,-0.15412077655404144,-0.09368583162217659,0.0
2019-01-15,1.0,-0.3889705367765414,-0.3176802668719528,-0.37751650453728974,-0.15443114750274103,-0.09419833438309189,0.0
2019-01-16,1.0,-0.3882320016791436,-0.3178945404510366,-0.3771309965251055,-0.1528953567014156,-0.0959910445672707,0.0
2019-01-17,1.0,-0.38899638652523605,-0.3145821191281035,-0.3796479776197692,-0.15197575474997085,-0.09604849050005829,0.0
2019-01-18,1.0,-0.3889794967381174,-0.31344361602982296,-0.38031220876048455,-0.1516775396085741,-0.09550326188257222,0.0
2019-01-22,1.0,-0.38876467300167694,-0.3137460406185951,-0.38107881498043594,-0.15103875535681013,-0.09441960126700205,0.0
2019-01-23,1.0,-0.38996300691003,-0.3138596123868686,-0.3831227751797306,-0.14801889206858843,-0.09164514552941998,0.0
2019-01-24,1.0,-0.38961794406440503,-0.313555772720927,-0.3833356601051701,-0.1485876494950905,-0.09165154264972777,0.0
2019-01-25,1.0,-0.3943645558999697,-0.31738410981891063,-0.3737851632600741,-0.14328664320507142,-0.10180157083925699,0.0
2019-01-28,1.0,-0.39839884231164224,-0.3206516665110634,-0.368429651759873,-0.14305386985342172,-0.10351507795724023,0.0
2019-01-29,1.0,-0.39735933563497244,-0.32177848278436133,-0.36861994961276473,-0.1408976392647196,-0.10408696463562564,0.0
2019-01-30,1.0,-0.4024979572779269,-0.3223532158281779,-0.3686471343527489,-0.14051593323216996,-0.10050192599509745,0.0
2019-01-31,1.0,-0.40311398492028294,-0.3223464600014006,-0.36884614486799416,-0.1401293214127314,-0.09988561824505708,0.0
2019-02-01,1.0,-0.40359027032074324,-0.3224473598207199,-0.36873803632289087,-0.1399925299967319,-0.09960782482842337,0.0
2019-02-04,1.0,-0.3996215660624182,-0.3223229302934031,-0.37084189871052137,-0.13908615212109887,-0.10413941319379555,0.0
2019-02-05,1.0,-0.40102803738317755,-0.32338785046728974,-0.3691355140186916,-0.13974299065420562,-0.10313084112149533,0.0
2019-02-06,1.0,-0.40969152693000305,-0.3214761804532379,-0.36235646296686075,-0.14429710704179236,-0.10084426670408568,0.0
2019-02-07,1.0,-0.4092758911030031,-0.32140518289830666,-0.36249883057348675,-0.14430723173355786,-0.10134250163719712,0.0
2019-02-08,1.0,-0.41506158357771256,-0.3195073313782991,-0.35139002932551316,-0.14730791788856304,-0.1127741935483871,0.0
2019-02-11,1.0,-0.41484644440794877,-0.3195927081622598,-0.3515942096989888,-0.14773713722638013,-0.11238063956080051,0.0
