Date,IHRT,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-27,1.0,-0.055909635893229004,-0.9090048589638418,-2.275509560169117,-1.691045623777371,-0.3789360762289392,0.0
2020-02-28,1.0,-0.08630952380952381,-0.9273809523809524,-1.8120670995670995,-1.2500541125541125,-0.335443722943723,0.0
2020-03-02,1.0,-0.15628385698808236,-0.8496208017334779,-1.7829902491874323,-1.2856446370530878,-0.3425243770314193,0.0
2020-03-03,1.0,-0.10042181226813031,-1.0211922549169081,-1.5124764954007215,-1.1514966712405346,-0.29648828581592723,0.0
2020-03-04,1.0,-0.0,-1.0852567587604407,-1.5650175455938318,-1.0820936094499085,-0.21005288390253546,0.0
2020-03-05,1.0,-0.0,-1.306132233782423,-1.3835163254542837,-0.9738217385050583,-0.1310351440763293,0.0
2020-03-06,1.0,-0.0,-1.240330471706822,-1.325394627527001,-0.9072279147050679,-0.14252746238345795,0.0
2020-03-09,1.0,-0.0,-1.2318893671581645,-1.3208627163659676,-0.8984339225203775,-0.1279421192416888,0.0
2020-03-10,1.0,-0.3616017052375152,-0.6883373934226553,-0.9399741169305724,-0.6564022533495736,-0.16005633373934225,0.0
2020-03-11,1.0,-0.22891521103530998,-0.9026538721043555,-1.0074218457155708,-0.5604992878026838,-0.04887922632881025,0.0
2020-03-12,1.0,-0.2486419314752352,-0.7723060536126397,-0.931297709923664,-0.5578554944079531,-0.040440262737440086,0.0
2020-03-13,1.0,-0.3627731933846632,-0.6322549459655422,-0.7541345855056452,-0.5135517729516971,-0.18996650899423403,0.0
2020-03-16,1.0,-0.44120851187450066,-0.5932892730045755,-0.7640714648848863,-0.5527271406783354,-0.2800493863025637,0.0
2020-03-17,1.0,-0.46483094171984635,-0.5275887600042308,-0.6352642527236189,-0.534322885449353,-0.36371328843916373,0.0
2020-03-18,1.0,-0.4541340295909487,-0.5635161009573543,-0.5582245430809399,-0.5381026979982594,-0.3673107049608355,0.0
2020-03-19,1.0,-0.45034103563474387,-0.5693207126948775,-0.5611776169265033,-0.5401238864142538,-0.3589922048997773,0.0
2020-03-20,1.0,-0.4581732294567632,-0.6549159234321571,-0.542567067367011,-0.543095850812564,-0.3264708992843798,0.0
2020-03-23,1.0,-0.5226914710074263,-0.8406346110569348,-0.46639411897081984,-0.6080189033080788,-0.3128797539569424,0.0
2020-03-24,1.0,-0.5331761535870664,-0.8498559185659219,-0.4404775270386587,-0.5997530032558662,-0.31911230867108265,0.0
2020-03-25,1.0,-0.5211282673037835,-0.8355026209749313,-0.34422137431801164,-0.5796812038654923,-0.2853831615732981,0.0
2020-03-26,1.0,-0.5833576855639977,-0.856260958503799,-0.32298363530099355,-0.6046171829339567,-0.28557860900058446,0.0
2020-03-27,1.0,-0.6016455511868356,-0.8488422892092617,-0.2946701616426387,-0.6289136449686908,-0.2665283238677734,0.0
2020-03-30,1.0,-0.6002397036391371,-0.8535628677271738,-0.29113096535192856,-0.6299484273988524,-0.2569913561414978,0.0
2020-03-31,1.0,-0.5898362670329272,-0.8613510680594209,-0.2850688545921133,-0.6208117974482235,-0.2573824411754075,0.0
2020-04-01,1.0,-0.5970915931124294,-0.8830487628418463,-0.26009260599045003,-0.6266097525683693,-0.250542613225293,0.0
2020-04-02,1.0,-0.5992352644109371,-0.885975037876055,-0.25149700598802394,-0.6286703701031671,-0.2418295938243994,0.0
2020-04-03,1.0,-0.6151795631247686,-0.9264346538319141,-0.283598667160311,-0.6188078489448353,-0.2582747130692336,0.0
2020-04-06,1.0,-0.6203118573084546,-0.9445462363983098,-0.29390868638522233,-0.6227423998803425,-0.2577496915080582,0.0
