Date,IWF,IWM,MGY,MTUM,SPY,VLUE,VXX
2018-09-24,-0.30161991940433935,-0.5650236182647914,1.0,-0.0,-0.42806436977929596,-0.3740492647647514,0.0
2018-09-25,-0.3067902553691633,-0.5646169462549417,1.0,-0.0,-0.42787690992627414,-0.37194144673576235,0.0
2018-09-26,-0.30568853467411944,-0.5644673851996469,1.0,-0.0,-0.4288465138669733,-0.3754646840148698,0.0
2018-09-27,-0.3136402661515347,-0.5568791586177291,1.0,-0.0,-0.43348894612577804,-0.3789708091865207,0.0
2018-09-28,-0.3189046412592313,-0.5577866422295293,1.0,-0.0,-0.43682281278637264,-0.3817314430488922,0.0
2018-10-01,-0.3189390263626072,-0.5579276510863119,1.0,-0.0,-0.43684295649361155,-0.3818534691897138,0.0
2018-10-02,-0.3215325711820535,-0.5482905522001726,1.0,-0.0,-0.44065465918895597,-0.38581212251941327,0.0
2018-10-03,-0.3248331615213499,-0.5623677499864359,1.0,-0.0,-0.4417014812001519,-0.38389127014269436,0.0
2018-10-04,-0.32384361083030516,-0.5744651785470343,1.0,-0.0,-0.44165459960110376,-0.3922023988415617,0.0
2018-10-05,-0.32806627712396785,-0.5818176830439196,1.0,-0.0,-0.44243272158670066,-0.3909417606232683,0.0
2018-10-08,-0.3251308470117557,-0.5785767133422849,1.0,-0.0,-0.44619516071575377,-0.3903762365385143,0.0
2018-10-09,-0.3392416299131786,-0.5905522731685667,1.0,-0.004243987684114171,-0.45047294111120356,-0.3893373276746831,0.0
2018-10-10,-0.33969169346789396,-0.589747144283021,1.0,-0.004741044693356992,-0.45053787290673175,-0.3878230009981147,0.0
2018-10-11,-0.3156597128149553,-0.5775670549986454,1.0,-0.0,-0.43489569222432944,-0.38114332159306424,0.0
2018-10-12,-0.31375087662512813,-0.5762259265253277,1.0,-0.0,-0.4312186437934941,-0.37611263958569346,0.0
2018-10-15,-0.33244318491470926,-0.5693498283285193,1.0,-0.0,-0.44157719766744785,-0.38157392773448146,0.0
