Date,IWF,IWM,MTUM,SPY,TTM,VLUE,VXX
2018-09-24,-0.49387885313235236,-0.8215496271483831,-0.015631853890018744,-0.8042429317701479,1.0,-0.8524145631455119,0.0
2018-09-25,-0.49341682723185615,-0.8336544637122671,-0.008750802825947335,-0.8142662170841362,1.0,-0.8640414258188824,0.0
2018-09-26,-0.49373795761079,-0.8340558766859344,-0.00947334617854849,-0.8140655105973025,1.0,-0.8627970456005137,0.0
2018-09-27,-0.4937582788102597,-0.8339019788865251,-0.009713804038052422,-0.8139124152049132,1.0,-0.8626821338257136,0.0
2018-09-28,-0.49064870785833103,-0.8573167268449025,-0.011359487200292102,-0.8247393403383505,1.0,-0.8729765913424481,0.0
2018-10-01,-0.4930555555555556,-0.8564408706952567,-0.011127355425601039,-0.8267949967511371,1.0,-0.8736192332683561,0.0
2018-10-02,-0.4974970493671401,-0.8331773228602825,-0.020634080826991166,-0.8357006226852793,1.0,-0.8828700500590126,0.0
2018-10-03,-0.49696969696969695,-0.8248932275777914,-0.019686800894854584,-0.8382753711612771,1.0,-0.8876550742322554,0.0
2018-10-04,-0.5017693715680293,-0.8175310148464511,-0.020744356314826115,-0.844498678055725,1.0,-0.8829774252593043,0.0
2018-10-05,-0.4964090079123555,-0.8147291539866098,-0.010671535808480423,-0.8482450801379591,1.0,-0.8875634002840332,0.0
2018-10-08,-0.49622687439143137,-0.8147517039922103,-0.009858812074001947,-0.8485475494969166,1.0,-0.8877799415774099,0.0
2018-10-09,-0.4970174085947328,-0.8149981739236294,-0.01115935559793856,-0.8479892870186259,1.0,-0.886742685549649,0.0
2018-10-10,-0.5358513877244849,-0.9424612805012575,-0.0,-0.9357984379826148,1.0,-0.9983673829590081,0.0
2018-10-11,-0.45561675419495323,-0.912770590495709,-0.0,-0.9007728107254173,1.0,-1.0005123607019342,0.0
2018-10-12,-0.46903364714822476,-0.9041246253219065,-0.0,-0.8756701988432474,1.0,-0.9729387427702959,0.0
2018-10-15,-0.4618595825426945,-0.9074847143158339,-0.0,-0.874256799493991,1.0,-0.9731393632721906,0.0
