Date,DNLI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.4229340761374187,-2.8029712163416898,-0.2961931290622098,-1.9342618384401113,-1.8286908077994426,0.0
2018-09-25,1.0,-1.4249002690416552,-2.7980332127284533,-0.30114110770943503,-1.9302347156508024,-1.8230819185453195,0.0
2018-09-26,1.0,-1.430563301728946,-2.8066555121769845,-0.30814277746793084,-1.9327941996653655,-1.8172522773749769,0.0
2018-09-27,1.0,-1.4402194124209742,-2.7876534027519524,-0.3147080699144663,-1.935663815544812,-1.8187988099665302,0.0
2018-09-28,1.0,-1.4361049107142856,-2.792224702380952,-0.3165922619047619,-1.9360119047619049,-1.8197544642857142,0.0
2018-10-01,1.0,-1.4363534779774654,-2.797187820094981,-0.31809293230282154,-1.9377036968060342,-1.822516062948133,0.0
2018-10-02,1.0,-1.437174236783321,-2.783041697691735,-0.3238086373790023,-1.9390357408786298,-1.8244601638123605,0.0
2018-10-03,1.0,-1.4381404881684368,-2.7614123346376003,-0.3208496366685299,-1.951835289733557,-1.843953791689957,0.0
2018-10-04,1.0,-1.4583567284297212,-2.7529477821448625,-0.3249110986337264,-1.9798802171064946,-1.8419427288040429,0.0
2018-10-05,1.0,-1.4513778608127044,-2.7591779542269967,-0.3046240074731434,-1.9832788416627742,-1.842970574497898,0.0
2018-10-08,1.0,-1.4470467481571334,-2.752449379490529,-0.29196603527106463,-1.995707754035644,-1.8437995707754036,0.0
2018-10-09,1.0,-1.4637055122546718,-2.7710583153347734,-0.3082918583904592,-2.0029110714621092,-1.8445863461357874,0.0
2018-10-10,1.0,-1.463648318617321,-2.773529964305842,-0.3061243659590457,-2.0040390757091866,-1.8459515310914898,0.0
2018-10-11,1.0,-1.3124157151847524,-2.753483772363571,-0.10051245167670593,-1.9509125235997484,-1.87305583026162,0.0
2018-10-12,1.0,-1.3265684284831907,-2.7289332039177623,-0.07906114885731932,-1.8889084973087444,-1.8003176564016588,0.0
2018-10-15,1.0,-1.293306394940267,-2.7740688685874915,-0.030657062543921296,-1.8839599437807448,-1.8023541813070978,0.0
2018-10-16,1.0,-1.2894297513399526,-2.790440207363149,-0.01906686582901327,-1.884808013355593,-1.802741411123803,0.0
2018-10-17,1.0,-1.2244689019708217,-2.664789693712141,-0.0,-1.846685436396212,-1.795751215766573,0.0
2018-10-18,1.0,-1.2264844083724904,-2.671507902605724,-0.0,-1.847159333618112,-1.7982058949167024,0.0
2018-10-19,1.0,-1.1823697960559583,-2.634501938311141,-0.0,-1.8322096747008259,-1.7784426091353447,0.0
2018-10-22,1.0,-1.183859530643255,-2.613793685632281,-0.0,-1.8494006415667736,-1.7946142157690361,0.0
2018-10-23,1.0,-1.181236127710432,-2.643247396277958,-0.0,-1.8863752774457914,-1.826105514768653,0.0
2018-10-24,1.0,-1.1761295822676896,-2.6346121057118497,-0.0,-1.8860187553282184,-1.828303495311168,0.0
2018-10-25,1.0,-1.0677733902812474,-2.4649045047949065,-0.0,-1.8287533242001772,-1.6972358771859133,0.0
2018-10-26,1.0,-1.0236457097667062,-2.4139185448793987,-0.0,-1.812495057334915,-1.6581257413997625,0.0
2018-10-29,1.0,-0.9800753059303419,-2.422968308754314,-0.0,-1.785299654847819,-1.656024474427361,0.0
2018-10-30,1.0,-0.9476579691920781,-2.429660484124489,-0.0,-1.7924394844388558,-1.6893272555800065,0.0
2018-10-31,1.0,-0.9634728197105984,-2.377082518576457,-0.0,-1.797418850215096,-1.6836136096988659,0.0
2018-11-01,1.0,-0.9299368026839354,-2.398923304985566,-0.0,-1.792151049387532,-1.6811266286962627,0.0
2018-11-02,1.0,-0.9356890459363958,-2.421986650961916,-0.0,-1.7997644287396939,-1.6949352179034158,0.0
