Date,BNTX,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-06-08,1.0,-2.6779382797110967,-0.8516086671043992,-2.6571459838038956,-2.797548697745677,-0.958962573867367,0.0
2020-06-09,1.0,-2.6880884606962994,-0.8458506678344645,-2.666082767681191,-2.8006349901467043,-0.9474490913072039,0.0
2020-06-10,1.0,-2.6897231038634124,-0.8428368173361058,-2.668490751887928,-2.80004377804531,-0.943416876436467,0.0
2020-06-11,1.0,-2.6881908722775525,-0.8451351647148954,-2.666630184962241,-2.798730436686002,-0.9456057787019809,0.0
2020-06-12,1.0,-2.6767339014130083,-0.7487865386689677,-2.720418509330169,-2.770143458095135,-0.8704562614604681,0.0
2020-06-15,1.0,-2.6819113364254124,-0.7360586775968072,-2.7336856865494554,-2.772516449142487,-0.8621507927947363,0.0
2020-06-16,1.0,-2.6803746366670254,-0.7222521261707395,-2.7262353321132524,-2.772311335988804,-0.8641403810959198,0.0
2020-06-17,1.0,-2.6824353448275864,-0.7130387931034484,-2.733512931034483,-2.777370689655173,-0.8696120689655172,0.0
2020-06-18,1.0,-2.685129310344828,-0.7079741379310345,-2.73739224137931,-2.77801724137931,-0.8672413793103448,0.0
2020-06-19,1.0,-2.68448275862069,-0.7088362068965518,-2.736961206896552,-2.777262931034483,-0.8683189655172414,0.0
2020-06-22,1.0,-2.683762525589915,-0.7086520849046438,-2.738390259670294,-2.7758862191574187,-0.8680099127249219,0.0
2020-06-23,1.0,-2.697450853316051,-0.7053359256858933,-2.7504860661049904,-2.7895873838842085,-0.8585007561028299,0.0
2020-06-24,1.0,-2.7100032583903553,-0.7075051591180624,-2.7720212881503206,-2.806342999891387,-0.8654284783317041,0.0
2020-06-25,1.0,-2.7147046046915726,-0.6874456993918332,-2.7971329278887924,-2.8109252823631627,-0.8499131190269331,0.0
2020-06-26,1.0,-2.71509167842031,-0.6798307475317348,-2.79700553325377,-2.8125203428447434,-0.8449603992622329,0.0
2020-06-29,1.0,-2.713231303592749,-0.6664495821122327,-2.8110278953652443,-2.8130901986323673,-0.850537284272224,0.0
2020-06-30,1.0,-2.714718942922127,-0.6475685042781328,-2.814361529297087,-2.8100292429329583,-0.8439293837322648,0.0
2020-07-01,1.0,-2.7090319091400756,-0.6491076257436452,-2.8017306652244454,-2.8151433207138994,-0.8417522985397512,0.0
2020-07-02,1.0,-2.7010521748562755,-0.6690530426293525,-2.796181798459703,-2.816899880681202,-0.8638680984922443,0.0
2020-07-06,1.0,-2.704950065132436,-0.6718410768562745,-2.7961354754667824,-2.8188232739904477,-0.8635475466782457,0.0
2020-07-07,1.0,-2.689042875703768,-0.6829796448679082,-2.7809657860545696,-2.8126894759636207,-0.8614118666089217,0.0
2020-07-08,1.0,-2.7031368718115707,-0.6752415065668078,-2.8028872245739715,-2.82448713774015,-0.8485835232823185,0.0
2020-07-09,1.0,-2.7006307090039146,-0.6777946933449326,-2.804806437581557,-2.8321009134406263,-0.8588516746411483,0.0
2020-07-10,1.0,-2.6996627869030787,-0.6801914500163168,-2.8035461764385947,-2.83291634939628,-0.8614162950070706,0.0
2020-07-13,1.0,-2.701968033054257,-0.6761987604653692,-2.804718930085898,-2.834293791453735,-0.855822550831793,0.0
2020-07-14,1.0,-2.706728130830864,-0.675008231807705,-2.8127538140709034,-2.888925474700911,-0.8923279552189661,0.0
2020-07-15,1.0,-2.705225106802498,-0.666885748712893,-2.8087413736444304,-2.8864059590316575,-0.8868441231241101,0.0
2020-07-16,1.0,-2.741658407664354,-0.6284550159674045,-2.8466027970487833,-2.91454685607312,-0.8807400066072018,0.0
2020-07-17,1.0,-2.7394319682959045,-0.6281373844121532,-2.8451122853368562,-2.9131439894319677,-0.8825407309555262,0.0
