Date,IWF,IWM,JHX,MTUM,SPY,VLUE,VXX
2018-09-24,-0.43368879791343395,-0.5093268183168806,1.0,-0.10294166198950114,-0.6789593581828387,-0.5766119713427317,0.0
2018-09-25,-0.4346434346434346,-0.5080025080025079,1.0,-0.10484110484110483,-0.6777216777216777,-0.5747945747945747,0.0
2018-09-26,-0.43689480815625104,-0.5114180904854754,1.0,-0.10833140553223833,-0.6779140090551571,-0.5701774678608017,0.0
2018-09-27,-0.4386926378342687,-0.5056124133377352,1.0,-0.1099702872235061,-0.6775173324529548,-0.5696599537801255,0.0
2018-09-28,-0.4373720699900957,-0.506701881809178,1.0,-0.11046550016507097,-0.6772202046880159,-0.5696269395840211,0.0
2018-10-01,-0.43773522614724336,-0.5063057114559261,1.0,-0.11056454275338395,-0.6772862330802245,-0.5695278969957082,0.0
2018-10-02,-0.43958911348923246,-0.49200687012815436,1.0,-0.11599947152860351,-0.6812656889945832,-0.5740850838948343,0.0
2018-10-03,-0.448230756330706,-0.5282240482978365,1.0,-0.11849740063726312,-0.686466543686064,-0.5725976857286601,0.0
2018-10-04,-0.45698997105741396,-0.5215386686410446,1.0,-0.11920306926028135,-0.6989297974018981,-0.5687554688025847,0.0
2018-10-05,-0.45754383603136667,-0.5221620166257194,1.0,-0.1152021000908693,-0.7016457442870124,-0.5690101975566251,0.0
2018-10-08,-0.4558369156367544,-0.5186391724879097,1.0,-0.11227162815690489,-0.7036875335840945,-0.5680077915099409,0.0
2018-10-09,-0.45370183578777484,-0.5204760944119426,1.0,-0.10517113845740031,-0.7086275300921255,-0.574272073162531,0.0
2018-10-10,-0.4565122304094748,-0.5192288281013425,1.0,-0.107735271356953,-0.7108778304902258,-0.5702701793344773,0.0
2018-10-11,-0.4262139419141482,-0.5030287154972004,1.0,-0.06866179889329098,-0.7018106807242722,-0.5745391441013719,0.0
2018-10-12,-0.4289508632138114,-0.49243675703689305,1.0,-0.06468435202280311,-0.6922877595309818,-0.5607164836588605,0.0
2018-10-15,-0.42706883717919675,-0.4945143855788213,1.0,-0.06039030389332988,-0.6932910450176382,-0.5610861192918865,0.0
2018-10-16,-0.42492468171952447,-0.5057825002429621,1.0,-0.0525446240564968,-0.6945479283423499,-0.5616962000712689,0.0
2018-10-17,-0.41419494907570004,-0.4784968551451103,1.0,-0.04514542958398519,-0.690303630152294,-0.5645732894862872,0.0
2018-10-18,-0.41257889846528467,-0.47752394988946206,1.0,-0.04693857934702509,-0.6986318926019672,-0.5682932299509789,0.0
2018-10-19,-0.4080377346463971,-0.4697389807821015,1.0,-0.040220543710361094,-0.7015967109666317,-0.567453867482551,0.0
2018-10-22,-0.4069366377107818,-0.4770375574859479,1.0,-0.046276188042922835,-0.6982307102708226,-0.5651507409299948,0.0
2018-10-23,-0.4062470027814188,-0.4784679817129703,1.0,-0.04347965088397966,-0.7014610441510278,-0.5673774737044023,0.0
2018-10-24,-0.4078333652801738,-0.47473004919813433,1.0,-0.036834707047473006,-0.7045556194492365,-0.5707303047728579,0.0
2018-10-25,-0.379030509524547,-0.4288369211708223,1.0,-0.03190336069382066,-0.7153786588198854,-0.5423261576583552,0.0
2018-10-26,-0.37055790830417973,-0.4199042533603388,1.0,-0.022985331123795496,-0.7189897501994722,-0.5363653102559381,0.0
2018-10-29,-0.3579330155237746,-0.42830949761642834,1.0,-0.010664955384427332,-0.7151326243735485,-0.5438210487715439,0.0
2018-10-30,-0.35289804149225457,-0.4290690213572061,1.0,-0.007241284487763146,-0.7163677472577835,-0.5498182040392312,0.0
