Date,ATR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.27202363044607936,-0.49210950961354377,-0.022126193146076636,-0.4769028799606159,-0.4718431200940842,0.0
2018-09-25,1.0,-0.27312245400114826,-0.49088224840746914,-0.024058834786887938,-0.47576345791070895,-0.4701041638187932,0.0
2018-09-26,1.0,-0.2729093503072871,-0.492345258999122,-0.01945237050043898,-0.47977941176470584,-0.47914837576821767,0.0
2018-09-27,1.0,-0.27407062177870384,-0.4886226559929817,-0.020506634499396863,-0.47954819607413096,-0.47878056804474173,0.0
2018-09-28,1.0,-0.27223364870423694,-0.49058000822706704,-0.021061291649526945,-0.47952831482243247,-0.4789524201288908,0.0
2018-10-01,1.0,-0.2738075635325759,-0.4897359899006532,-0.02082990284867446,-0.48076184203304245,-0.4792524287831385,0.0
2018-10-02,1.0,-0.2741143217804122,-0.48706127713289976,-0.022090502456024806,-0.4811338876540161,-0.47976180675612634,0.0
2018-10-03,1.0,-0.2737971141712844,-0.48074285400779065,-0.02123223788884622,-0.48348603719756406,-0.4838975146760301,0.0
2018-10-04,1.0,-0.2765193067134708,-0.47619569986836324,-0.02180232558139535,-0.4869734532689776,-0.4809675296182536,0.0
2018-10-05,1.0,-0.2706454610045363,-0.47204459747499594,-0.014838498114444992,-0.49024430234464667,-0.4849428868120457,0.0
2018-10-08,1.0,-0.2692549041006193,-0.46948408042997847,-0.011840777016888113,-0.4930565028783455,-0.4846806536981966,0.0
2018-10-09,1.0,-0.267949242734343,-0.46999590667212443,-0.008213944603629418,-0.495156228680584,-0.48754263883203713,0.0
2018-10-10,1.0,-0.2675091143334886,-0.47622049834160246,-0.004659959979167237,-0.4976563142457717,-0.4951070420218744,0.0
2018-10-11,1.0,-0.23888097605546746,-0.46542688989814845,-0.0,-0.48668404504044505,-0.4963854774125931,0.0
2018-10-12,1.0,-0.2432992429273476,-0.4579625448266702,-0.0,-0.4734758932129101,-0.48165759064948865,0.0
2018-10-15,1.0,-0.22393955461293746,-0.47523860021208914,-0.0,-0.4696977730646872,-0.4822110286320255,0.0
2018-10-16,1.0,-0.21985890839654165,-0.4823370285896144,-0.0,-0.4687317668275606,-0.48119662653158646,0.0
2018-10-17,1.0,-0.2158482201757395,-0.4747605351347073,-0.0,-0.46676517930179173,-0.4813573633796871,0.0
2018-10-18,1.0,-0.21613346003589903,-0.47579453067257943,-0.0,-0.4662126491394784,-0.4814961461302924,0.0
2018-10-19,1.0,-0.20558395595753048,-0.4667715296893433,-0.0,-0.4676104338707563,-0.48160964739808626,0.0
2018-10-22,1.0,-0.20557171685405035,-0.46269360798804937,-0.0,-0.4693503158005084,-0.48313546662473467,0.0
