Date,IWF,IWM,MTUM,OI,SPY,VLUE,VXX
2018-09-24,-0.3927050755491917,-0.7425298617129508,-0.03327178868834545,1.0,-0.8045894720976675,-0.7949809714005802,0.0
2018-09-25,-0.39565201009758494,-0.7404393202968992,-0.03771523303568065,1.0,-0.8025696092837498,-0.7914170528616103,0.0
2018-09-26,-0.39525930399335696,-0.7411489393825017,-0.0340076998565713,1.0,-0.8055031327847814,-0.7985581641126293,0.0
2018-09-27,-0.3954866221366844,-0.740178874674516,-0.03437865579833201,1.0,-0.8053134080531341,-0.7983697498018792,0.0
2018-09-28,-0.39337208424548953,-0.7424322488110516,-0.035140031705291765,1.0,-0.805125688835208,-0.7984071865327999,0.0
2018-10-01,-0.3958286102924507,-0.7415552029018363,-0.03487493387742764,1.0,-0.8071110103529056,-0.7990629486888838,0.0
2018-10-02,-0.396532184950136,-0.7353430039286794,-0.03751133272892112,1.0,-0.8080235720761559,-0.8002039891205802,0.0
2018-10-03,-0.39927087684654233,-0.7206546918315421,-0.03410169748984164,1.0,-0.8228078836440967,-0.820681274446512,0.0
2018-10-04,-0.40325765054294177,-0.7142152023692003,-0.03496848659731187,1.0,-0.8277773559116106,-0.816576809173058,0.0
2018-10-05,-0.3906350467112977,-0.7060781421385075,-0.020878248042664242,1.0,-0.8370967131888497,-0.8276031619955369,0.0
2018-10-08,-0.38918939365283506,-0.7037863600257216,-0.014525097401369294,1.0,-0.845557362787003,-0.8294814086318418,0.0
2018-10-09,-0.3871480472297911,-0.7049273387829247,-0.00862851952770209,1.0,-0.849303663336361,-0.8344686648501364,0.0
2018-10-10,-0.386560995032422,-0.7089606006598157,-0.005915589094080619,1.0,-0.8509347389177505,-0.8396344469303402,0.0
2018-10-11,-0.33147251284705537,-0.6885651964952494,-0.0,1.0,-0.8333025250471366,-0.8436541092092128,0.0
2018-10-12,-0.32751923781604986,-0.6793330890436058,-0.0,1.0,-0.8242579699523636,-0.8332722609014291,0.0
2018-10-15,-0.3171891575520357,-0.6849325090536635,-0.0,1.0,-0.8226213556718001,-0.8333394300764532,0.0
2018-10-16,-0.3082257117698855,-0.7055327267390665,-0.0,1.0,-0.8223143528030524,-0.8328441444085706,0.0
2018-10-17,-0.29544053103123075,-0.6814538068119991,-0.0,1.0,-0.8166056077478328,-0.8337625593964236,0.0
2018-10-18,-0.2945764556502811,-0.6796662434246327,-0.0,1.0,-0.8191547251949937,-0.8343551605296572,0.0
2018-10-19,-0.2847485811372592,-0.6740411379821422,-0.0,1.0,-0.8209160250153634,-0.8352673245851859,0.0
2018-10-22,-0.2849244778492448,-0.6689672616896726,-0.0,1.0,-0.8227216882272169,-0.8368866083688661,0.0
2018-10-23,-0.2804002610398086,-0.672576317888478,-0.0,1.0,-0.8303241244289754,-0.8422884489884707,0.0
2018-10-24,-0.2780514306410721,-0.6689967403114814,-0.0,1.0,-0.8310032596885186,-0.843824701195219,0.0
2018-10-25,-0.25476646112410517,-0.63594159756184,-0.0,1.0,-0.8297186193210009,-0.8234460273584238,0.0
2018-10-26,-0.23463078760626713,-0.6240427176280474,-0.0,1.0,-0.839036042998665,-0.8152532846202486,0.0
2018-10-29,-0.20295760300677929,-0.6455091503038393,-0.0,1.0,-0.831395553057712,-0.8326952123362253,0.0
2018-10-30,-0.21102434219783314,-0.6467918953144788,-0.0,1.0,-0.83234838891234,-0.8274940199803011,0.0
2018-10-31,-0.2121583742116328,-0.6375262789067975,-0.0,1.0,-0.8299579537491241,-0.8242116327960757,0.0
2018-11-01,-0.15105280324720038,-0.7406588627550466,-0.0,1.0,-0.869097234805929,-0.8632986627043091,0.0
