Date,CHW,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2128156507261123,-0.3533669410785311,-0.1009619831652946,-0.3393996855055037,-0.3058921468874295,0.0
2018-09-25,1.0,-0.21298094709581947,-0.35317240103588604,-0.10125323714391418,-0.3392064372918979,-0.30560950795412506,0.0
2018-09-26,1.0,-0.21273791077912166,-0.35299831178742397,-0.10050646377280821,-0.3395388635785481,-0.30683841724289446,0.0
2018-09-27,1.0,-0.21309504543037477,-0.35183686680692666,-0.10084849605807689,-0.33946778258155497,-0.3067301690056181,0.0
2018-09-28,1.0,-0.21211560693641618,-0.3527398843930636,-0.10113294797687862,-0.3393757225433526,-0.30677456647398843,0.0
2018-10-01,1.0,-0.2123103958564558,-0.3525480947095819,-0.10118386977432484,-0.33943766185719576,-0.3067656307806142,0.0
2018-10-02,1.0,-0.21322696265464217,-0.34487223956526764,-0.10391952826916406,-0.3414036304775118,-0.3089836975372875,0.0
2018-10-03,1.0,-0.21452260024583128,-0.3532085623507038,-0.10487256197963775,-0.34047635613070804,-0.306083165193998,0.0
2018-10-04,1.0,-0.21590856400982983,-0.3506282746789076,-0.10516066212268743,-0.34218945611350676,-0.304469791811564,0.0
2018-10-05,1.0,-0.21852428176603106,-0.35429779129990474,-0.10537194881203986,-0.3417795015909144,-0.3025292054718164,0.0
2018-10-08,1.0,-0.22291813277034953,-0.36394557823129253,-0.10785831574008914,-0.3434904996481351,-0.3075533661740558,0.0
2018-10-09,1.0,-0.22931213436497452,-0.36771088884695224,-0.11794678241177581,-0.341526703151538,-0.3024391394602755,0.0
2018-10-10,1.0,-0.22883176356726387,-0.3689068290725397,-0.11691806529282628,-0.341713287538654,-0.3041569293959351,0.0
2018-10-11,1.0,-0.2324743367867049,-0.3721817880088191,-0.1178018539152699,-0.3455584267798298,-0.3027192337782414,0.0
