Date,IBP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.713172119487909,-1.7512375533428166,-0.0,-1.1505547652916075,-1.0748790896159317,0.0
2018-09-25,1.0,-0.7131557983384544,-1.7513372026857856,-0.0,-1.1506771366791853,-1.0750540571298508,0.0
2018-09-26,1.0,-0.7120168497751466,-1.7510673421756704,-0.0,-1.151420276655092,-1.0780440598850116,0.0
2018-09-27,1.0,-0.7161271676300579,-1.7964739884393066,-0.0,-1.1706936416184972,-1.0970520231213874,0.0
2018-09-28,1.0,-0.7127727299033509,-1.8029978586723767,-0.0,-1.1724636842409861,-1.099195555298339,0.0
2018-10-01,1.0,-0.7168028748623428,-1.8021793311308179,-0.0,-1.1761432794296645,-1.1009679476033154,0.0
2018-10-02,1.0,-0.7201135770991482,-1.7894187865793592,-0.0,-1.1801008286492438,-1.1051747117111896,0.0
2018-10-03,1.0,-0.719522789135345,-1.784038918167603,-0.0,-1.1807494063821162,-1.1071407887878613,0.0
2018-10-04,1.0,-0.7232478731408067,-1.7764338214017015,-0.0,-1.1847907865038487,-1.1028415996296081,0.0
2018-10-05,1.0,-0.6898503841488071,-1.7652937438622838,-0.0,-1.199353012535382,-1.1221766506845356,0.0
2018-10-08,1.0,-0.6849749293988819,-1.7599561984900005,-0.0,-1.199412137628955,-1.1189556797879083,0.0
2018-10-09,1.0,-0.6754563894523327,-1.7678354100260791,-0.0,-1.2136771950159373,-1.1384526224282816,0.0
2018-10-10,1.0,-0.6739773716275022,-1.7714534377719757,-0.0,-1.2145633884537277,-1.1420945749927471,0.0
2018-10-11,1.0,-0.534555712270804,-1.7688011283497886,-0.0,-1.1747249647390692,-1.1636671368124119,0.0
2018-10-12,1.0,-0.5417594654788418,-1.762806236080178,-0.0,-1.1402004454342982,-1.1231069042316257,0.0
2018-10-15,1.0,-0.4986662220740247,-1.8038234967211293,-0.0,-1.1313215516283206,-1.1235967544737135,0.0
2018-10-16,1.0,-0.5081364244315649,-1.7971466785555061,-0.0,-1.1378176549264378,-1.1297926883637985,0.0
2018-10-17,1.0,-0.4790527236928462,-1.7439838109822794,-0.0,-1.1202690877269745,-1.1259571209800918,0.0
2018-10-18,1.0,-0.5021019001177064,-1.8008519701810437,-0.0,-1.1425929039852025,-1.1595202062664647,0.0
2018-10-19,1.0,-0.47571682596132475,-1.7887308290731274,-0.0,-1.1389197599466547,-1.1534229828850855,0.0
2018-10-22,1.0,-0.47852214555975964,-1.794903182728689,-0.0,-1.1379367905630982,-1.1527932339194302,0.0
2018-10-23,1.0,-0.4798909717972965,-1.7945708405184402,-0.0,-1.1363965066473827,-1.1517494576403182,0.0
2018-10-24,1.0,-0.4803329981003464,-1.7914292099675944,-0.0,-1.1477818750698403,-1.167728237791932,0.0
2018-10-25,1.0,-0.41251348435814456,-1.7134843581445522,-0.0,-1.1563646170442285,-1.1113807982740023,0.0
2018-10-26,1.0,-0.39688383757536955,-1.6918520890027215,-0.0,-1.1510591750707007,-1.096099461074649,0.0
2018-10-29,1.0,-0.375717017208413,-1.6985340981516888,-0.0,-1.1412258338644572,-1.0958147439983004,0.0
2018-10-30,1.0,-0.360802846068072,-1.6988796261880743,-0.0,-1.1419848138905113,-1.1081612063930335,0.0
2018-10-31,1.0,-0.36354539709290074,-1.6706867495260165,-0.0,-1.1345586686328208,-1.0976406151253424,0.0
2018-11-01,1.0,-0.333070161587452,-1.6962998052529081,-0.0,-1.1344281277961998,-1.0995841886415076,0.0
2018-11-02,1.0,-0.3652924791086351,-1.8330362116991643,-0.0,-1.1891922005571032,-1.183509749303621,0.0
2018-11-05,1.0,-0.3608574610244989,-1.8444320712694877,-0.0,-1.1892538975501112,-1.1733853006681514,0.0
2018-11-06,1.0,-0.35930012258999217,-1.842917641814332,-0.0,-1.1924105650284187,-1.1776440432408335,0.0
2018-11-07,1.0,-0.3579023548405055,-1.842509603072983,-0.0,-1.1901130100762678,-1.1764738629404887,0.0
2018-11-08,1.0,-0.3183095487354675,-1.841313570995647,-0.0,-1.172351093724172,-1.1780263375392581,0.0
2018-11-09,1.0,-0.3206641659311562,-1.8427294792586055,-0.0,-1.1729368932038835,-1.1799977934686672,0.0
2018-11-12,1.0,-0.31938870870210545,-1.813809026441647,-0.0,-1.1874003628167775,-1.1766258039689959,0.0
2018-11-13,1.0,-0.269537218947828,-1.8170705086225716,-0.0,-1.1959179218511242,-1.1747435057847633,0.0
2018-11-14,1.0,-0.27639513211270694,-1.82101743229909,-0.0,-1.2046376493805504,-1.1798596645104704,0.0
2018-11-15,1.0,-0.27439925556954403,-1.8233072417756857,-0.0,-1.2088236904045104,-1.1672231649241886,0.0
2018-11-16,1.0,-0.2680314609248619,-1.82718804038601,-0.0,-1.2514084899871702,-1.2315501757126122,0.0
2018-11-19,1.0,-0.2626810581063699,-1.833957832335999,-0.0,-1.2591577652256585,-1.2367876516973324,0.0
2018-11-20,1.0,-0.1838006230529595,-1.8252113929684024,-0.0,-1.2723631508678237,-1.2815976858032934,0.0
2018-11-21,1.0,-0.2134238733935687,-1.849654862786913,-0.0,-1.3093327347213648,-1.2396318536393738,0.0
2018-11-23,1.0,-0.21423367890165312,-1.8383300644438219,-0.0,-1.3118520594003924,-1.2393947884561503,0.0
2018-11-26,1.0,-0.21306149882379297,-1.843284418057578,-0.0,-1.3086143161196369,-1.236025540495127,0.0
2018-11-27,1.0,-0.19651505873183764,-1.846517842231253,-0.0,-1.298391137337861,-1.2255747926292935,0.0
2018-11-28,1.0,-0.20028970973313276,-1.8359797203186805,-0.0,-1.305030920942671,-1.230040670789459,0.0
2018-11-29,1.0,-0.16580567157617057,-1.8118267751154098,-0.0,-1.2912178500769398,-1.2268630468234776,0.0
2018-11-30,1.0,-0.1646147081455425,-1.8126855007145213,-0.0,-1.2915796416401013,-1.2273826536220733,0.0
2018-12-03,1.0,-0.1615684551595365,-1.8130045581855125,-0.0,-1.2909001043440056,-1.2263715744961283,0.0
2018-12-04,1.0,-0.14592462751971955,-1.8219763365468888,-0.0,-1.285440403155127,-1.2243098159509203,0.0
2018-12-06,1.0,-0.12856153805187198,-1.7518772966927627,-0.0,-1.26468551951856,-1.1805400223677904,0.0
2018-12-07,1.0,-0.13792184251212883,-1.7526256864104068,-0.0,-1.2661939542570775,-1.1745481686836916,0.0
2018-12-10,1.0,-0.0794080203691916,-1.7820390409505624,-0.0,-1.287237428389561,-1.1557394440908126,0.0
2018-12-11,1.0,-0.07095061072756241,-1.7867233138608605,-0.0,-1.2861922464152946,-1.1668082846521508,0.0
2018-12-12,1.0,-0.06765676567656766,-1.791333972106888,-0.0,-1.2890450335356116,-1.1750771851378687,0.0
2018-12-13,1.0,-0.0691217224472394,-1.7940204647196758,-0.0,-1.2888509912598594,-1.1773609038584523,0.0
