Date,IWF,IWM,MTUM,NVS,SPY,VLUE,VXX
2018-09-24,-0.2435723951285521,-0.368064952638701,-0.04045041561956312,1.0,-0.39909143630388555,-0.36521360912429923,0.0
2018-09-25,-0.24420823770986835,-0.36733905060997707,-0.04159922695977775,1.0,-0.39840560454161134,-0.36417441720014493,0.0
2018-09-26,-0.2456237911025145,-0.3693665377176015,-0.04419729206963249,1.0,-0.39818665377176016,-0.3604448742746615,0.0
2018-09-27,-0.24895432895723027,-0.3626604772611881,-0.0462754768985276,1.0,-0.3989748797176084,-0.3608713522400329,0.0
2018-09-28,-0.24727932285368803,-0.3644014510278114,-0.046723095525997585,1.0,-0.39896009673518745,-0.3610399032648126,0.0
2018-10-01,-0.24736383863790265,-0.36434652220179936,-0.04684628035213311,1.0,-0.39893102447518625,-0.3610089968075844,0.0
2018-10-02,-0.24790210635776647,-0.35924161447123404,-0.04882590505670963,1.0,-0.40001450992720855,-0.3623370656090542,0.0
2018-10-03,-0.24763700534242272,-0.3551381536006962,-0.04829936906229604,1.0,-0.4014069185582711,-0.3649043923900694,0.0
2018-10-04,-0.2463961235614779,-0.36012113870381585,-0.04821320411871593,1.0,-0.3998788612961841,-0.3681647486371896,0.0
2018-10-05,-0.2472016281436255,-0.36141396520812136,-0.046300334350923095,1.0,-0.40034888791975576,-0.3675921887871299,0.0
2018-10-08,-0.24627407335720508,-0.35962450401625856,-0.04454175941159392,1.0,-0.4017710248717701,-0.36722152327494434,0.0
2018-10-09,-0.24635892969468237,-0.35960710311124017,-0.0446605699908066,1.0,-0.4016790051773359,-0.3670102095127498,0.0
2018-10-10,-0.24662603395733568,-0.35906738257630727,-0.044962027765684705,1.0,-0.40182847191989557,-0.36612973443622115,0.0
2018-10-11,-0.21959763313609468,-0.35831952662721894,-0.005775147928994083,1.0,-0.4003786982248521,-0.3827928994082841,0.0
2018-10-12,-0.21901099419619685,-0.3569103005709432,-0.0017222667862029915,1.0,-0.4001085264002264,-0.3815174821875147,0.0
2018-10-15,-0.21106793830213116,-0.3636406452372542,-0.0,1.0,-0.39861062051100904,-0.3815612857647474,0.0
2018-10-16,-0.20682830282038595,-0.37115053839447704,-0.0,1.0,-0.3976814872411112,-0.38057538700784616,0.0
2018-10-17,-0.20580412832160425,-0.36978369854308374,-0.0,1.0,-0.39743921670157933,-0.38061053969449476,0.0
2018-10-18,-0.20600767438028203,-0.3704418653923115,-0.0,1.0,-0.396996162809859,-0.38065867840580053,0.0
2018-10-19,-0.1924592933226972,-0.36157383510862934,-0.0,1.0,-0.40584674581202196,-0.3863263103561541,0.0
