Date,IWF,IWM,MTUM,SPY,VLUE,VXX,YUMC
2018-09-24,-0.5923848111786402,-1.281439925198691,-0.21250844111994185,-1.069658719027583,-1.0384915069347047,0.0,1.0
2018-09-25,-0.5924367565321282,-1.281387979845203,-0.2126123318269181,-1.069658719027583,-1.0384915069347047,0.0,1.0
2018-09-26,-0.5936298451626313,-1.2829159305829783,-0.21500571547334513,-1.069261145173023,-1.0350722227995428,0.0,1.0
2018-09-27,-0.6000415757197796,-1.2706059661157885,-0.2191560128884731,-1.0710944808231992,-1.0360669369088453,0.0,1.0
2018-09-28,-0.5978899225611974,-1.2724910347695026,-0.21999896055298582,-1.0707863416662335,-1.0360688113923393,0.0,1.0
2018-10-01,-0.5977961432506887,-1.2728312282343157,-0.22048963043817246,-1.0705338115286658,-1.0361245386974374,0.0,1.0
2018-10-02,-0.5980438062535768,-1.281671088913168,-0.21877113573695436,-1.0693512304250559,-1.0348056812860933,0.0,1.0
2018-10-03,-0.5976288284540585,-1.2778846653840152,-0.21865737611148664,-1.0696791638500338,-1.0360355675731892,0.0,1.0
2018-10-04,-0.6020790020790021,-1.2696985446985447,-0.21969854469854472,-1.0750000000000002,-1.0310291060291061,0.0,1.0
2018-10-05,-0.5808141042260825,-1.2612911589318123,-0.19673321234119784,-1.0935960591133005,-1.0528908478091783,0.0,1.0
2018-10-08,-0.5778283585950028,-1.2566344213956857,-0.19300605245460659,-1.094614867311572,-1.050954425534116,0.0,1.0
2018-10-09,-0.575930046049568,-1.2576706162363533,-0.18782014797951052,-1.097635432296787,-1.0550525172039116,0.0,1.0
2018-10-10,-0.5788302277432712,-1.2561076604554866,-0.19078674948240162,-1.0998447204968944,-1.0504140786749483,0.0,1.0
2018-10-11,-0.5027516509905944,-1.2478487092255353,-0.09470682409445667,-1.0841004602761657,-1.0735941564938964,0.0,1.0
2018-10-12,-0.5193583523121101,-1.2438855332211112,-0.08688979106842262,-1.0590157441330825,-1.0418853351817012,0.0,1.0
2018-10-15,-0.509511339493058,-1.2558920895301153,-0.07282968526112951,-1.0592420574139039,-1.043480409111122,0.0,1.0
2018-10-16,-0.5112231780876101,-1.252397903688322,-0.07623850489469,-1.0599228715514684,-1.044348857905666,0.0,1.0
2018-10-17,-0.4859042166043962,-1.1962734727546218,-0.05177349701586686,-1.0578388082876413,-1.0604105002668738,0.0,1.0
2018-10-18,-0.4854689243607782,-1.1957692494299161,-0.0517684731454078,-1.0583183736839552,-1.0604531560817039,0.0,1.0
2018-10-19,-0.4670603611016991,-1.1871823418364877,-0.027203640060022266,-1.081804540394017,-1.0772544653661842,0.0,1.0
2018-10-22,-0.4667928006597778,-1.1960898462135545,-0.03522049192257313,-1.078397128026003,-1.074758647455489,0.0,1.0
2018-10-23,-0.4735511474134578,-1.1985608712563205,-0.045945157526254374,-1.071859198755348,-1.0720050563982886,0.0,1.0
2018-10-24,-0.4732138520569236,-1.1958327262130264,-0.03861285152265773,-1.0742629559473504,-1.0749915003157027,0.0,1.0
2018-10-25,-0.4204497441434674,-1.1262851509318812,-0.022956668700999952,-1.0930942209285948,-1.0317825454204028,0.0,1.0
2018-10-26,-0.39889235351607943,-1.1140224321682877,-0.0,-1.1149532275329268,-1.0261088099781264,0.0,1.0
2018-10-29,-0.35889913383626715,-1.1438483747788022,-0.0,-1.1060817733072554,-1.0479184129645154,0.0,1.0
2018-10-30,-0.3581672564723412,-1.1437418513689699,-0.0,-1.1060253306016017,-1.0484261501210654,0.0,1.0
2018-10-31,-0.362528841716659,-1.1132902630364558,-0.0,-1.1000922934933086,-1.0387632671896632,0.0,1.0
2018-11-01,-0.4875031304783371,-1.1648885549711996,-0.00781367392937641,-1.211319809666917,-1.1372401702980215,0.0,1.0
2018-11-02,-0.5031186068559453,-1.1156628910732997,-0.0,-1.2363155531161119,-1.1347238161768374,0.0,1.0
2018-11-05,-0.49673039484849996,-1.1356761343782757,-0.0,-1.2385563819697498,-1.1208006788798481,0.0,1.0
2018-11-06,-0.5011976047904192,-1.1388223552894212,-0.0,-1.234680638722555,-1.115319361277445,0.0,1.0
