Date,IWF,IWM,MTUM,SPY,UCBI,VLUE,VXX
2018-09-24,-0.16466196598921606,-0.6778376883727361,-0.10136872666943175,-0.3837411862297801,1.0,-0.4374948154292824,0.0
2018-09-25,-0.16351190311226893,-0.6814012138680265,-0.09796857245794419,-0.3869412188565252,1.0,-0.4415929939306599,0.0
2018-09-26,-0.16364593725751025,-0.6816317481432215,-0.09838155415142445,-0.3867642168274027,1.0,-0.44088792816760897,0.0
2018-09-27,-0.1628216873490464,-0.6865439604675051,-0.0973043502401377,-0.387690513866911,1.0,-0.44179784014880213,0.0
2018-09-28,-0.16049451312682317,-0.6894568690095847,-0.09781914154743714,-0.3880816780108349,1.0,-0.4423114321433532,0.0
2018-10-01,-0.1616874635244421,-0.6884639968874191,-0.09765722702387238,-0.38890587221743605,1.0,-0.4424033571408721,0.0
2018-10-02,-0.16189020152883946,-0.6897845726198749,-0.09742876997915217,-0.3886031966643502,1.0,-0.44200138985406534,0.0
2018-10-03,-0.1618174239266361,-0.6873975267472557,-0.0972627483673753,-0.38924551896623594,1.0,-0.4432402389884674,0.0
2018-10-04,-0.16026036698277313,-0.7054037371640198,-0.09629089276696033,-0.3881095336962011,1.0,-0.45564221985298237,0.0
2018-10-05,-0.14979168414282917,-0.7021223051757403,-0.0878002404719962,-0.39328356122249253,1.0,-0.46321617313983726,0.0
2018-10-08,-0.15017915127085435,-0.7039245325271527,-0.08817601612361438,-0.39306908520882317,1.0,-0.4638898219684246,0.0
2018-10-09,-0.14815541051570072,-0.7051738143925601,-0.0824953079918205,-0.3966497660998908,1.0,-0.4687246141348498,0.0
2018-10-10,-0.14789501694630403,-0.7054424245819445,-0.08226660317638161,-0.39662754544690626,1.0,-0.46878238704798186,0.0
2018-10-11,-0.1098497312712515,-0.7136119337501372,-0.03540089941866842,-0.3926456071076012,1.0,-0.490594493802786,0.0
2018-10-12,-0.10581706850363568,-0.7168006123230004,-0.031217538680225247,-0.3903012410475097,1.0,-0.4894483625826909,0.0
2018-10-15,-0.08373816385343763,-0.7632770687525731,-0.0,-0.3962124331000411,1.0,-0.5013860299162893,0.0
2018-10-16,-0.0803184188855339,-0.7690090584682954,-0.0,-0.39527861652484214,1.0,-0.5003842986549547,0.0
2018-10-17,-0.06345934805011662,-0.7413624776265119,-0.0,-0.3951564788197646,1.0,-0.5119596463632912,0.0
2018-10-18,-0.06265766132313451,-0.7398757696585022,-0.0,-0.3974557192068788,1.0,-0.5124908454715599,0.0
2018-10-19,-0.05438866812640229,-0.7396534479496121,-0.0,-0.396507447354905,1.0,-0.5126645581596518,0.0
2018-10-22,-0.055246078961600865,-0.7405624661979447,-0.0,-0.3961600865332612,1.0,-0.5121957815035154,0.0
2018-10-23,-0.048836955929618134,-0.7464182600642806,-0.0,-0.4079370267472898,1.0,-0.5205643623685787,0.0
2018-10-24,-0.04677551020408163,-0.7449251700680273,-0.0,-0.40778231292517003,1.0,-0.5216054421768708,0.0
2018-10-25,-0.03435483870967742,-0.734005376344086,-0.0,-0.40672043010752684,1.0,-0.5130913978494624,0.0
2018-10-26,-0.02901457414092793,-0.7281187324508624,-0.0,-0.407915496724161,1.0,-0.5091322369300708,0.0
2018-10-29,-0.011136272812042092,-0.7375782602903955,-0.0,-0.40026641800985746,1.0,-0.5151991474623684,0.0
2018-10-30,-0.0,-0.7483578524510069,-0.0,-0.40774116497475704,1.0,-0.5581944519841485,0.0
2018-10-31,-0.0,-0.7342349638268006,-0.0,-0.4088651333549293,1.0,-0.5563923982291329,0.0
2018-11-01,-0.0,-0.7393403274090455,-0.0,-0.4040562043205049,1.0,-0.5535208608646404,0.0
2018-11-02,-0.0,-0.7225130890052356,-0.0,-0.41095449053564237,1.0,-0.5514565713518593,0.0
2018-11-05,-0.0,-0.7332617161272995,-0.0,-0.41079629380958776,1.0,-0.541587216328723,0.0
2018-11-06,-0.0,-0.7342445154533982,-0.0,-0.4104615880346929,1.0,-0.5404795789586745,0.0
2018-11-07,-0.0,-0.7343603231260567,-0.0,-0.4092751133893347,1.0,-0.5401357988245082,0.0
2018-11-08,-0.0,-0.7322452462863694,-0.0,-0.39397818492146036,1.0,-0.5406832546603728,0.0
2018-11-09,-0.0,-0.732251954219246,-0.0,-0.3952191660219299,1.0,-0.540404983592562,0.0
2018-11-12,-0.0,-0.7147512956136133,-0.0,-0.4135545226264893,1.0,-0.5430624565902655,0.0
2018-11-13,-0.0,-0.7094985407269833,-0.0,-0.4066330591668878,1.0,-0.5370655346245689,0.0
2018-11-14,-0.0,-0.7105431139954254,-0.0,-0.41050055854034795,1.0,-0.5386722698015852,0.0
2018-11-15,-0.0,-0.7158953722334003,-0.0,-0.41303822937625756,1.0,-0.5538296445338698,0.0
2018-11-16,-0.0,-0.717196939186468,-0.0,-0.41404215330916905,1.0,-0.5536582091555914,0.0
2018-11-19,-0.0,-0.7170662299659052,-0.0,-0.41389030578002095,1.0,-0.5537061397621412,0.0
2018-11-20,-0.0,-0.7068882594987442,-0.0,-0.40506599690055045,1.0,-0.5599583177470209,0.0
