Date,IWF,IWM,MIK,MTUM,SPY,VLUE,VXX
2018-09-24,-0.581693932491199,-1.3284323876579,1.0,-0.08091737419755644,-1.066007454959619,-1.1199523710913233,0.0
2018-09-25,-0.5903264310550626,-1.3280398567647518,1.0,-0.09081945093154808,-1.0651824173542996,-1.1153147542685142,0.0
2018-09-26,-0.5902745342259588,-1.3281955472520628,1.0,-0.09071565727334059,-1.0651824173542996,-1.1152628574394106,0.0
2018-09-27,-0.593260756868844,-1.318455158113012,1.0,-0.09331259720062209,-1.0646448937273199,-1.1143597719025402,0.0
2018-09-28,-0.5897622261447409,-1.3249402969577404,1.0,-0.09464230090333298,-1.0661405876855985,-1.1160834804277853,0.0
2018-10-01,-0.5909657320872275,-1.3236760124610591,1.0,-0.09475597092419522,-1.0667705088265838,-1.1159916926272067,0.0
2018-10-02,-0.5934562451311347,-1.3061542456504804,1.0,-0.101584004154765,-1.0713061542456503,-1.1209036613866528,0.0
2018-10-03,-0.5964473615669115,-1.3187998124706986,1.0,-0.1037141219982289,-1.0716257748606552,-1.1185081002239934,0.0
2018-10-04,-0.6028553563984993,-1.3097123801583992,1.0,-0.10504376823676533,-1.0797728220091705,-1.1131200500208418,0.0
2018-10-05,-0.592998493741235,-1.3074845478626707,1.0,-0.09115462525320729,-1.0839869111307328,-1.1184231028930556,0.0
2018-10-08,-0.5899310416342614,-1.3026390833203711,1.0,-0.08461658111681443,-1.08954217866957,-1.1180587960802613,0.0
2018-10-09,-0.5891809803100125,-1.3208525345622122,1.0,-0.062316715542522,-1.1157834101382489,-1.1485651445328866,0.0
2018-10-10,-0.593812270582066,-1.3201887781856319,1.0,-0.06633455689564761,-1.1198217094913476,-1.143628736234924,0.0
2018-10-11,-0.4864062259996928,-1.3311146382673698,1.0,-0.0,-1.109057395934668,-1.193487276637141,0.0
2018-10-12,-0.5022316899979712,-1.3281091499289919,1.0,-0.0,-1.0809494826536823,-1.1606816798539257,0.0
2018-10-15,-0.49812354194137337,-1.3303073334009534,1.0,-0.0,-1.0814991378435947,-1.1616289684552186,0.0
2018-10-16,-0.4884513634513634,-1.3550569800569798,1.0,-0.0,-1.082010582010582,-1.1619352869352868,0.0
2018-10-17,-0.45508862776339376,-1.2939155546703844,1.0,-0.0,-1.0662716590320653,-1.1638119896434973,0.0
2018-10-18,-0.45498456329050896,-1.2945423762573447,1.0,-0.0,-1.066079075789264,-1.1639278956279255,0.0
2018-10-19,-0.4266034661531625,-1.2756134893596012,1.0,-0.0,-1.06971806645929,-1.1656050955414015,0.0
2018-10-22,-0.4272036324153588,-1.2716908498667456,1.0,-0.0,-1.0703780475767446,-1.1660744250320798,0.0
2018-10-23,-0.4264204966184529,-1.2720047391025324,1.0,-0.0,-1.0713827318951474,-1.166757170360863,0.0
2018-10-24,-0.42472187886279356,-1.266452410383189,1.0,-0.0,-1.0770828182941903,-1.1761186650185413,0.0
2018-10-25,-0.363523632374684,-1.190537511327324,1.0,-0.0,-1.0876615634091669,-1.1276291314923452,0.0
2018-10-26,-0.33031738512553294,-1.176646139270488,1.0,-0.0,-1.110279488394126,-1.1198010421601137,0.0
2018-10-29,-0.30508474576271183,-1.181779661016949,1.0,-0.0,-1.0982580037664784,-1.1229284369114878,0.0
2018-10-30,-0.27120975008298953,-1.195049082373026,1.0,-0.0,-1.1116327595200834,-1.164366671408925,0.0
2018-10-31,-0.2743633117188234,-1.1661967860163518,1.0,-0.0,-1.1041725401747955,-1.154026877173198,0.0
2018-11-01,-0.24503217926433973,-1.1916192981631981,1.0,-0.0,-1.1046648189035562,-1.1563395499600695,0.0
2018-11-02,-0.24911413651622527,-1.1588959343528533,1.0,-0.0,-1.1074226035061545,-1.1470067139127191,0.0
2018-11-05,-0.24151948416035887,-1.1875058405756471,1.0,-0.0,-1.1128866461078404,-1.1306419960751333,0.0
2018-11-06,-0.23921183188243006,-1.1862304596087243,1.0,-0.0,-1.1178039876439203,-1.1370401572591968,0.0
2018-11-07,-0.23926782454004963,-1.1865081222789196,1.0,-0.0,-1.1182997050699874,-1.1373531201722766,0.0
2018-11-08,-0.20039829566506115,-1.1849759170062986,1.0,-0.0,-1.1032789922193404,-1.1426454242311967,0.0
2018-11-09,-0.19921058741583467,-1.1889946598560481,1.0,-0.0,-1.1100534014395171,-1.1453447875551428,0.0
2018-11-12,-0.1980385807466346,-1.1627885460517184,1.0,-0.0,-1.122727482999491,-1.1424341953092474,0.0
2018-11-13,-0.15149425287356322,-1.1630344827586208,1.0,-0.0,-1.1367816091954024,-1.1463908045977012,0.0
2018-11-14,-0.15193306670344323,-1.1625063209672228,1.0,-0.0,-1.1366248333563187,-1.146048820852296,0.0
2018-11-15,-0.14965580541532814,-1.1620009178522257,1.0,-0.0,-1.1376319412574576,-1.1399724644332263,0.0
2018-11-16,-0.14560753647048064,-1.1495404033475098,1.0,-0.0,-1.1340833219005808,-1.1438697580829562,0.0
2018-11-19,-0.14783483469751701,-1.148749371256116,1.0,-0.0,-1.1327449814806347,-1.1433536055603821,0.0
2018-11-20,-0.08277272727272728,-1.138090909090909,1.0,-0.0,-1.1440000000000001,-1.1806363636363637,0.0
2018-11-21,-0.08021992879354635,-1.1286222903240344,1.0,-0.0,-1.1376808328451034,-1.160214520708459,0.0
2018-11-23,-0.08166846652267819,-1.115325773938085,1.0,-0.0,-1.1419186465082793,-1.1607271418286538,0.0
2018-11-26,-0.08036920306168394,-1.125348941918055,1.0,-0.0,-1.1392165691130123,-1.1575866726699684,0.0
2018-11-27,-0.06525731177498097,-1.1302458906257,1.0,-0.0,-1.1326644869440587,-1.15071438169033,0.0
2018-11-28,-0.06449733315404957,-1.1383622428398548,1.0,-0.0,-1.1299807269956523,-1.1492985522836268,0.0
2018-11-29,-0.03732861565678903,-1.1191508182220256,1.0,-0.0,-1.11906236178682,-1.147279964617426,0.0
2018-11-30,-0.03687817820030953,-1.1194340039796595,1.0,-0.0,-1.1200530621269071,-1.1454786646031396,0.0
2018-12-03,-0.033247855690158284,-1.1214961535060572,1.0,-0.0,-1.1209213900433284,-1.1455920063666107,0.0
