Date,IWF,IWM,KRNT,MTUM,SPY,VLUE,VXX
2018-09-24,-0.7385901007070923,-1.461806299550032,1.0,-0.15036425969573602,-1.0373366188129418,-0.9686629526462395,0.0
2018-09-25,-0.750147921037061,-1.4635038459469636,1.0,-0.16239040395890486,-1.0381367328277125,-0.9647678984454844,0.0
2018-09-26,-0.7507826837957464,-1.4671812587714563,1.0,-0.15648278095649357,-1.0450178128036272,-0.978354744683148,0.0
2018-09-27,-0.7545297670405522,-1.4560504745470233,1.0,-0.15962036238136326,-1.044758412424504,-0.9776747195858498,0.0
2018-09-28,-0.7542733890536533,-1.4557023456457265,1.0,-0.16031275276354812,-1.0444863844702077,-0.977568077648962,0.0
2018-10-01,-0.7540311707922126,-1.45602114005285,1.0,-0.16086933074475543,-1.0442754678315267,-0.9777274443186107,0.0
2018-10-02,-0.7554989706360385,-1.4864015602990572,1.0,-0.15462130241629646,-1.0442626503413155,-0.9768663993932171,0.0
2018-10-03,-0.7546689763438532,-1.4782655767877442,1.0,-0.15400855302333133,-1.0458507010231148,-0.9805120987386998,0.0
2018-10-04,-0.7687707279943456,-1.4695808187897568,1.0,-0.15598325449899417,-1.0657315282988093,-0.9767302778230849,0.0
2018-10-05,-0.7472557330724922,-1.46380828170851,1.0,-0.12835561352026953,-1.0902619280512988,-1.0045647212259536,0.0
2018-10-08,-0.7441595750447179,-1.4585614396444253,1.0,-0.12396335844761236,-1.091549677489295,-1.0021681391945363,0.0
2018-10-09,-0.7585660418602108,-1.4715558227225531,1.0,-0.14153778895021585,-1.0942127985135799,-0.9989070441007705,0.0
2018-10-10,-0.7583698030634574,-1.4748358862144422,1.0,-0.13944201312910284,-1.0955142231947483,-1.002352297592998,0.0
2018-10-11,-0.6779517113292651,-1.4845847704961528,1.0,-0.01751127620058371,-1.085327673122844,-1.041071902361369,0.0
2018-10-12,-0.6891397512281802,-1.473502665412355,1.0,-0.007369081216682345,-1.0533082470994042,-1.0029789902790842,0.0
2018-10-15,-0.6897615561597992,-1.4766262288224221,1.0,-0.0028759673708429203,-1.0556891863626856,-1.0041309349508472,0.0
2018-10-16,-0.6872843250026143,-1.482589145665586,1.0,-0.0,-1.0551605144829028,-1.003450799958172,0.0
2018-10-17,-0.652027027027027,-1.41763923013923,1.0,-0.0,-1.040694103194103,-1.0083947583947583,0.0
2018-10-18,-0.6513127590971902,-1.4162956139004041,1.0,-0.0,-1.0419161676646707,-1.008444649163212,0.0
2018-10-19,-0.6319447967933431,-1.4018976102288294,1.0,-0.0,-1.038104419300827,-1.0018773149322644,0.0
2018-10-22,-0.6344687341128622,-1.410930350788002,1.0,-0.0,-1.0371631926792069,-1.0013726487036094,0.0
2018-10-23,-0.6322459158226882,-1.4124891852002648,1.0,-0.0,-1.0407145401801619,-1.0039187744923406,0.0
2018-10-24,-0.629492197427947,-1.40858028770396,1.0,-0.0,-1.0403598841051187,-1.0046256290347177,0.0
2018-10-25,-0.5690290260792692,-1.3332351063307302,1.0,-0.0,-1.0558911644811158,-0.9532439467609646,0.0
2018-10-26,-0.5412586056433628,-1.3098031610588579,1.0,-0.0,-1.060166779792495,-0.9370212353340444,0.0
2018-10-29,-0.5116424818010895,-1.3216024683025598,1.0,-0.0,-1.0454611194137782,-0.9421973677867232,0.0
2018-10-30,-0.5084582389512747,-1.321316689960962,1.0,-0.0,-1.0452551930213503,-0.9444792520121451,0.0
2018-10-31,-0.5123477430140911,-1.291999044662049,1.0,-0.0,-1.0382135180320038,-0.9341294482923335,0.0
2018-11-01,-0.5002622419301006,-1.2991942020693272,1.0,-0.0,-1.0359033042483192,-0.9327230248414627,0.0
2018-11-02,-0.5071475906465966,-1.2577866136514249,1.0,-0.0,-1.0448262804127615,-0.923790589794566,0.0
2018-11-05,-0.501396449704142,-1.274792899408284,1.0,-0.0,-1.0464852071005917,-0.9111005917159763,0.0
2018-11-06,-0.49555460466885376,-1.2739029144677414,1.0,-0.0,-1.0587172538392051,-0.9262587362715733,0.0
2018-11-07,-0.49683106981177033,-1.27662616154396,1.0,-0.0,-1.0628067667381462,-0.9290445556349773,0.0
2018-11-08,-0.4811168954093706,-1.2722195929957407,1.0,-0.0,-1.0530052058684336,-0.9262659725508756,0.0
2018-11-09,-0.48856092085781155,-1.2857142857142856,1.0,-0.0,-1.0624253713521516,-0.9395806467020108,0.0
2018-11-12,-0.4870271811442692,-1.2641608059304315,1.0,-0.0,-1.0670975099790916,-0.933662801748717,0.0
