Date,IWF,IWM,MTUM,PLNT,SPY,VLUE,VXX
2018-09-24,-0.5837544528208102,-1.0988319111921134,-0.2391682544942424,1.0,-0.6919890647005219,-0.528456631596388,0.0
2018-09-25,-0.5845134575569358,-1.0975983436853,-0.24066252587991718,1.0,-0.6909730848861283,-0.5269979296066253,0.0
2018-09-26,-0.6145940390544707,-1.151550188420692,-0.2595066803699897,1.0,-0.7232356971565606,-0.533359027064063,0.0
2018-09-27,-0.6195940738203306,-1.1410036824526848,-0.26282435557078015,1.0,-0.7244583369016014,-0.5340412777254432,0.0
2018-09-28,-0.6160936294263912,-1.1461030609620169,-0.2636542913487096,1.0,-0.7255851839149448,-0.5356254822944354,0.0
2018-10-01,-0.6160936294263912,-1.14584583726314,-0.26391151504758636,1.0,-0.7254994426819857,-0.5357540941438738,0.0
2018-10-02,-0.615961917831718,-1.1488549618320612,-0.2634016639505961,1.0,-0.7248906424221632,-0.5354232781542156,0.0
2018-10-03,-0.621640307665716,-1.1734076570737189,-0.26639875550946335,1.0,-0.7268602540834846,-0.5327975110189267,0.0
2018-10-04,-0.6332870531065603,-1.1650468587296077,-0.2676154113155155,1.0,-0.7435786185352309,-0.5292433182922597,0.0
2018-10-05,-0.6159986118341141,-1.1605066805483255,-0.24709352767655735,1.0,-0.7637948984903696,-0.5506246746486204,0.0
2018-10-08,-0.6169113176409277,-1.1629462346912187,-0.24732910622774257,1.0,-0.7642664813688873,-0.5514635629288631,0.0
2018-10-09,-0.622061640257705,-1.1659411457426432,-0.25552846944105867,1.0,-0.7625370015671251,-0.5470572871321608,0.0
2018-10-10,-0.6236236236236237,-1.1645123384253817,-0.2573443008225617,1.0,-0.7633285459372415,-0.5434129781955869,0.0
2018-10-11,-0.5768287526427062,-1.1627906976744187,-0.19501057082452433,1.0,-0.7468076109936576,-0.5468921775898521,0.0
2018-10-12,-0.5840360691325039,-1.1568005343575187,-0.1908658261668197,1.0,-0.725181598062954,-0.5177840861651498,0.0
2018-10-15,-0.5749937505207899,-1.1719440046662777,-0.17711024081326554,1.0,-0.7246062828097658,-0.5176235313723856,0.0
2018-10-16,-0.5729110231298188,-1.1811210668889351,-0.17041050218795584,1.0,-0.7252344238382997,-0.5178995624088352,0.0
2018-10-17,-0.563149216817807,-1.1584501236603462,-0.16450948062654575,1.0,-0.7190436933223413,-0.5169002473206925,0.0
2018-10-18,-0.5624201459011664,-1.1573177265795656,-0.16502493508634544,1.0,-0.719985162593249,-0.5167539051230268,0.0
2018-10-19,-0.5545953473132372,-1.1524819790301442,-0.15555373525557012,1.0,-0.7210845347313237,-0.5119593709043251,0.0
2018-10-22,-0.5577356326547331,-1.1442673985171834,-0.14684799082456068,1.0,-0.7285462663335107,-0.5187809773481342,0.0
2018-10-23,-0.55890422177634,-1.1435240162155522,-0.14999385774538307,1.0,-0.7255231153515417,-0.5168502518324393,0.0
2018-10-24,-0.5590618860510805,-1.144400785854617,-0.1468565815324165,1.0,-0.7262606417812704,-0.5164538310412573,0.0
2018-10-25,-0.5264286565267464,-1.0969778801477303,-0.1409793097970692,1.0,-0.7286843254834995,-0.4781779913426791,0.0
2018-10-26,-0.5137452314468871,-1.08487041334015,-0.12451331262044284,1.0,-0.7378377315452078,-0.4718606206001495,0.0
2018-10-29,-0.4941518172541016,-1.1082895046706962,-0.10365805793233378,1.0,-0.7328675720229217,-0.4859879111390219,0.0
2018-10-30,-0.49960710356749954,-1.1086358635863585,-0.1069071192833569,1.0,-0.7327518466132327,-0.481062391953481,0.0
2018-10-31,-0.49992168533166265,-1.1005951914793641,-0.10803508497141515,1.0,-0.7298143942360403,-0.477406218184666,0.0
2018-11-01,-0.5013906843734085,-1.0993457907313824,-0.10929603948760137,1.0,-0.7299721863125319,-0.47741606925999924,0.0
2018-11-02,-0.5157122223523442,-1.0619900847093726,-0.09841121130499278,1.0,-0.7511027833079595,-0.476441425615802,0.0
2018-11-05,-0.5183694207769874,-1.0572187915266162,-0.09802235597592435,1.0,-0.7520909872586571,-0.48268584382083957,0.0
2018-11-06,-0.5362694300518135,-1.0749725231590517,-0.08820065944418276,1.0,-0.7507850525985241,-0.4750353273669336,0.0
