Date,BSRR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.11094074844074844,-0.7414760914760916,-0.006211018711018712,-0.37801455301455306,-0.3621101871101871,0.0
2018-09-25,1.0,-0.11111399838889899,-0.7412104045942364,-0.006522360522828262,-0.3778291713224021,-0.36187407426655926,0.0
2018-09-26,1.0,-0.11062534155671792,-0.7414057823925885,-0.003799411871860931,-0.37968095349623965,-0.3668254092174773,0.0
2018-09-27,1.0,-0.109849671155653,-0.7480425931725649,-0.0024010857083202842,-0.3811984549535442,-0.36838396492326964,0.0
2018-09-28,1.0,-0.10846298423305836,-0.7493473948000418,-0.002871462879816227,-0.3811997493996032,-0.3685392085204135,0.0
2018-10-01,1.0,-0.10880517921006605,-0.7488709635314694,-0.002975957396820424,-0.38131412013470123,-0.36852272430626254,0.0
2018-10-02,1.0,-0.10842994282117191,-0.7689503226144888,-0.0,-0.3794523422336463,-0.3660756439175366,0.0
2018-10-03,1.0,-0.10968080914225668,-0.774070668593196,-0.0,-0.3789833180086694,-0.3643241823197163,0.0
2018-10-04,1.0,-0.10826964271546821,-0.7859466321106497,-0.0,-0.37767434480205214,-0.3727289556501732,0.0
2018-10-05,1.0,-0.09437539498630713,-0.7818885611965453,-0.0,-0.38005582473140936,-0.37689593427427853,0.0
2018-10-08,1.0,-0.09840108185506323,-0.7900458727759658,-0.0,-0.38188423090181106,-0.3812478455704929,0.0
2018-10-09,1.0,-0.09216822628668651,-0.7915514674606551,-0.0,-0.3864313058273075,-0.38826563164610806,0.0
2018-10-10,1.0,-0.09320187094716699,-0.7909535452322738,-0.0,-0.38707877112788347,-0.38633464441373444,0.0
2018-10-11,1.0,-0.042370247591422355,-0.7889516212576401,-0.0,-0.3688490624676266,-0.38967160468248213,0.0
2018-10-12,1.0,-0.04123658530338345,-0.7879261327254566,-0.0,-0.3562226263350665,-0.3759188586942602,0.0
2018-10-15,1.0,-0.0016279069767441861,-0.8405426356589147,-0.0,-0.3564082687338501,-0.3854005167958656,0.0
2018-10-16,1.0,-0.0,-0.8511260678229357,-0.0,-0.3540771421175253,-0.383432565363707,0.0
2018-10-17,1.0,-0.0,-0.8245439215085083,-0.0,-0.3454954264397772,-0.3850477796514896,0.0
2018-10-18,1.0,-0.0,-0.8242808236676715,-0.0,-0.3455878595881662,-0.3849317868274488,0.0
2018-10-19,1.0,-0.0,-0.8178680203045685,-0.0,-0.34012690355329944,-0.38007614213197966,0.0
2018-10-22,1.0,-0.0,-0.8111818897038298,-0.0,-0.3435525213816207,-0.38314341547597897,0.0
2018-10-23,1.0,-0.0,-0.8175848979173078,-0.0,-0.35534010464758387,-0.3919667590027701,0.0
2018-10-24,1.0,-0.0,-0.819280239054177,-0.0,-0.36939067169026896,-0.40974405612576326,0.0
2018-10-25,1.0,-0.0,-0.8009299473711103,-0.0,-0.3612743344744776,-0.39259618823769865,0.0
2018-10-26,1.0,-0.0,-0.8181581888597198,-0.0,-0.3723910274738128,-0.40867621448808256,0.0
2018-10-29,1.0,-0.0,-0.8207683943457774,-0.0,-0.3613369233159012,-0.4068244187852742,0.0
2018-10-30,1.0,-0.0,-0.8190406976744186,-0.0,-0.35745431893687707,-0.41904588870431897,0.0
2018-10-31,1.0,-0.0,-0.804514963880289,-0.0,-0.3584623323013416,-0.4170020639834881,0.0
2018-11-01,1.0,-0.0,-0.8131528046421664,-0.0,-0.3522114764667956,-0.4136170212765958,0.0
2018-11-02,1.0,-0.0,-0.785173745173745,-0.0,-0.37353925353925355,-0.4153153153153153,0.0
2018-11-05,1.0,-0.0,-0.8200431314469822,-0.0,-0.38132356380076393,-0.3969132434328475,0.0
