Date,IWF,IWM,MTUM,SPY,THO,VLUE,VXX
2018-09-24,-0.6731736990543605,-1.4806171542332578,-0.10402035060554113,-1.1025272355250788,1.0,-1.1696621135873473,0.0
2018-09-25,-0.6727544413083182,-1.4827051856771265,-0.1025513310089103,-1.1043776634014058,1.0,-1.17200730532957,0.0
2018-09-26,-0.6729385722191478,-1.4829551743220808,-0.10304371887105701,-1.1040951853901493,1.0,-1.1710016602102933,0.0
2018-09-27,-0.6822388473261292,-1.4690495982266556,-0.1084510944860072,-1.1081740094208923,1.0,-1.1737323358270988,0.0
2018-09-28,-0.67823238771998,-1.4769888413923278,-0.10997612835174596,-1.1102537056570254,1.0,-1.1760950424693277,0.0
2018-10-01,-0.683753548171648,-1.4774865030333388,-0.10964546112317025,-1.1158234541103134,1.0,-1.1789948238437133,0.0
2018-10-02,-0.6840494211932324,-1.4762355298308103,-0.11097506678539626,-1.1154830810329475,1.0,-1.178706589492431,0.0
2018-10-03,-0.6842838048563155,-1.4605702829137892,-0.10865448875027846,-1.123914012029405,1.0,-1.1917464914234797,0.0
2018-10-04,-0.6885957588913008,-1.4518283519786277,-0.1099237490955641,-1.129014304001781,1.0,-1.1863416263149107,0.0
2018-10-05,-0.6668885560548066,-1.4426138569922893,-0.08481721861651965,-1.1454484939257779,1.0,-1.2074665779109113,0.0
2018-10-08,-0.6634014057225083,-1.4369361890530743,-0.07869832309480326,-1.149261165532127,1.0,-1.206043499916985,0.0
2018-10-09,-0.6607597740613579,-1.4389190386532287,-0.0707719570273563,-1.1543360283530846,1.0,-1.2128696422638165,0.0
2018-10-10,-0.6606538269412222,-1.4451351501359826,-0.06749181328745074,-1.1571293778098464,1.0,-1.2199034245434868,0.0
2018-10-11,-0.5460116045767583,-1.4584350089474543,-0.0,-1.144026896589122,1.0,-1.2742259096578277,0.0
2018-10-12,-0.5691197069281327,-1.4614804439176814,-0.0,-1.1157202887619868,1.0,-1.2410300614157956,0.0
2018-10-15,-0.5434140578854105,-1.4788702142511947,-0.0,-1.1081458411641518,1.0,-1.2392740160017182,0.0
2018-10-16,-0.5354474603601183,-1.494866971244289,-0.0,-1.106799247514109,1.0,-1.2378392905133029,0.0
2018-10-17,-0.49642105263157893,-1.4257894736842103,-0.0,-1.0937368421052631,1.0,-1.2472631578947369,0.0
2018-10-18,-0.4957112034941851,-1.4247750355207072,-0.0,-1.094511392937957,1.0,-1.2473293690469924,0.0
2018-10-19,-0.47674540133779264,-1.4140363712374582,-0.0,-1.0905622909698995,1.0,-1.2444084448160535,0.0
2018-10-22,-0.4803772596279801,-1.425988996594184,-0.0,-1.0898087503274825,1.0,-1.2435420487293687,0.0
2018-10-23,-0.480798449206266,-1.4258395766752239,-0.0,-1.0893278147430188,1.0,-1.2432545711740974,0.0
2018-10-24,-0.4775119116184094,-1.4194984030577518,-0.0,-1.0908424524844234,1.0,-1.2479710979632441,0.0
2018-10-25,-0.41533192303817873,-1.337362748060844,-0.0,-1.0910647728417449,1.0,-1.192958597763675,0.0
2018-10-26,-0.377842624270477,-1.3311531495270679,-0.0,-1.1295532300261621,1.0,-1.1925940833165627,0.0
2018-10-29,-0.3502,-1.3378999999999999,-0.0,-1.11555,1.0,-1.1963,0.0
2018-10-30,-0.36778435900010037,-1.3433390221865276,-0.0,-1.1202690492922396,1.0,-1.1881839172773818,0.0
2018-10-31,-0.3687047666583479,-1.327726478662341,-0.0,-1.1139006738208137,1.0,-1.1809333666084352,0.0
2018-11-01,-0.3697953070394408,-1.327209186220669,-0.0,-1.1142785821268097,1.0,-1.1811782326510234,0.0
2018-11-02,-0.3714115130105975,-1.3142444897756107,-0.0,-1.1133389720881635,1.0,-1.1763769341758297,0.0
2018-11-05,-0.36202417823958444,-1.3537316415226297,-0.0,-1.1227894894594863,1.0,-1.1570086921770408,0.0
2018-11-06,-0.36614232209737824,-1.3562047440699125,-0.0,-1.1193508114856427,1.0,-1.1520599250936328,0.0
2018-11-07,-0.36502623032725456,-1.3593305021234074,-0.0,-1.118611041718711,1.0,-1.1533349987509367,0.0
2018-11-08,-0.2982811945444405,-1.4148963139481823,-0.0,-1.1409014855752169,1.0,-1.216143588703544,0.0
2018-11-09,-0.2974850420849812,-1.414815941588074,-0.0,-1.1423283642632591,1.0,-1.215850319440219,0.0
2018-11-12,-0.2965189713535088,-1.3857929571060474,-0.0,-1.1570757338452988,1.0,-1.2129035517607236,0.0
2018-11-13,-0.25071339173967455,-1.3818272841051313,-0.0,-1.1628535669586983,1.0,-1.210863579474343,0.0
2018-11-14,-0.254677702533233,-1.382693754702784,-0.0,-1.166591422121896,1.0,-1.2123401053423628,0.0
2018-11-15,-0.25247822168819467,-1.3826474416741765,-0.0,-1.1683688795434064,1.0,-1.2030139180935215,0.0
2018-11-16,-0.2455780953332667,-1.3669431398021383,-0.0,-1.168631957629659,1.0,-1.2153492555211352,0.0
2018-11-19,-0.2521508603441377,-1.3668467386954783,-0.0,-1.1672669067627053,1.0,-1.2157362945178072,0.0
