Date,AGIO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6238860029547729,-1.1674212457703856,-0.2099795072201306,-0.8783777343563838,-0.8860982700281181,0.0
2018-09-25,1.0,-0.6359369761984579,-1.1694363296776975,-0.22230736075858437,-0.8793161247066711,-0.8819979886020785,0.0
2018-09-26,1.0,-0.6367337164750958,-1.1704022988505747,-0.22409003831417623,-0.878831417624521,-0.8792145593869731,0.0
2018-09-27,1.0,-0.6405838717396506,-1.160229720028715,-0.22703996171332858,-0.8790141182100981,-0.8789662598707825,0.0
2018-09-28,1.0,-0.6393740728334212,-1.1607886299468824,-0.22768818490692444,-0.8786907211561469,-0.8787864286739724,0.0
2018-10-01,1.0,-0.6387931034482758,-1.1634099616858236,-0.22844827586206895,-0.878831417624521,-0.8797892720306513,0.0
2018-10-02,1.0,-0.6389061826540875,-1.1628753412192903,-0.22920358220391743,-0.8785977683061157,-0.8795555768401896,0.0
2018-10-03,1.0,-0.6417006966130194,-1.1764112418928658,-0.23117943790535672,-0.8784530386740332,-0.8764833053086716,0.0
2018-10-04,1.0,-0.6466689082088477,-1.1680195974830685,-0.2322397809693069,-0.8849128200201739,-0.8714635669340507,0.0
2018-10-05,1.0,-0.6436936072182761,-1.170906124016126,-0.22403532347859476,-0.887310424265694,-0.8734401996544443,0.0
2018-10-08,1.0,-0.6427852107610416,-1.1698077015297559,-0.22246199587589316,-0.887594111159066,-0.8728240540929363,0.0
2018-10-09,1.0,-0.6441832573758696,-1.1705444950827537,-0.22494603022307508,-0.8865915087550972,-0.8710002398656752,0.0
2018-10-10,1.0,-0.644354488940292,-1.1807623728976917,-0.22018215989590864,-0.8912341573900052,-0.8825116861837983,0.0
2018-10-11,1.0,-0.5802926554732202,-1.1862395647687833,-0.12714567113779196,-0.8814370134133759,-0.9149235531376044,0.0
2018-10-12,1.0,-0.5976334106728538,-1.1821345707656612,-0.12120649651972158,-0.8551276102088167,-0.8842227378190255,0.0
