Date,HUD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-10-01,1.0,-0.6233456378860178,-1.2088772845953002,-0.02944089313045827,-0.8719276132168903,-0.7680741874493562,0.0
2018-10-02,1.0,-0.6234832423654654,-1.2226983625783754,-0.02674906400829988,-0.8708556994000632,-0.7669718976949794,0.0
2018-10-03,1.0,-0.6228532792427316,-1.2172188415596124,-0.026504394861392833,-0.8717601983322064,-0.7692134324994365,0.0
2018-10-04,1.0,-0.6261092842019911,-1.2102346952565433,-0.02756880940582909,-0.8757151223028065,-0.7650795080859498,0.0
2018-10-05,1.0,-0.6156363473349173,-1.2056305195678487,-0.01228313982158067,-0.8801721432734119,-0.7691307661272246,0.0
2018-10-08,1.0,-0.6152084081925979,-1.2054886812791952,-0.003772906934962271,-0.8936399568810636,-0.7734908372260151,0.0
2018-10-09,1.0,-0.6162106303634811,-1.2061823246619041,-0.005121984094891494,-0.8931572089679651,-0.772296356202543,0.0
2018-10-10,1.0,-0.616096706062104,-1.207118141374197,-0.004089336269267065,-0.893542443715454,-0.772929492652676,0.0
2018-10-11,1.0,-0.5220177527603378,-1.1866204806235117,-0.0,-0.852608789781338,-0.7686945226239446,0.0
2018-10-12,1.0,-0.5520792764723701,-1.1997057423514648,-0.0,-0.8344367995153403,-0.7410532692890217,0.0
2018-10-15,1.0,-0.531826806969122,-1.2149387614283251,-0.0,-0.8279282387441781,-0.7378816629291013,0.0
2018-10-16,1.0,-0.5295766146417177,-1.2179874105372077,-0.0,-0.8269811158058119,-0.7369578339225662,0.0
2018-10-17,1.0,-0.4973316391359593,-1.1623464633629819,-0.0,-0.82287166454892,-0.7529436679373147,0.0
2018-10-18,1.0,-0.4970988098767524,-1.1622972343399265,-0.0,-0.8230062259116514,-0.7529117784083691,0.0
2018-10-19,1.0,-0.4748992612491605,-1.1466168569509738,-0.0,-0.8254701141705842,-0.7504197447951645,0.0
2018-10-22,1.0,-0.4771923918532234,-1.155739774448746,-0.0,-0.8247769735734726,-0.7503787241205185,0.0
2018-10-23,1.0,-0.48951906009635704,-1.1623700447975658,-0.0,-0.822669258727073,-0.7516693432507818,0.0
2018-10-24,1.0,-0.489874761197198,-1.1595839524517086,-0.0,-0.8317554659308003,-0.7641689662492039,0.0
2018-10-25,1.0,-0.4499408670119489,-1.096244035724481,-0.0,-0.8181966477712981,-0.7137555564618082,0.0
2018-10-26,1.0,-0.4235360542022907,-1.0790450072592355,-0.0,-0.8281577673818358,-0.7021697047910952,0.0
2018-10-29,1.0,-0.4010500160307791,-1.086926899647323,-0.0,-0.8157662712407824,-0.7039515870471306,0.0
2018-10-30,1.0,-0.4112968021854411,-1.0894263217097861,-0.0,-0.817973646151374,-0.6986582034388559,0.0
2018-10-31,1.0,-0.41421744324970133,-1.066985264834727,-0.0,-0.8114695340501792,-0.6897650338510554,0.0
2018-11-01,1.0,-0.4059083137847401,-1.0717665301578467,-0.0,-0.8096695956423203,-0.6886008508608008,0.0
2018-11-02,1.0,-0.41654456896210357,-1.0291846513285552,-0.0,-0.8290500138597394,-0.6851067199936641,0.0
2018-11-05,1.0,-0.4142625351220863,-1.0346274090783172,-0.0,-0.8288812378804067,-0.679686572480114,0.0
2018-11-06,1.0,-0.44595855132416756,-1.086790769355558,-0.0,-0.8424788092630895,-0.6803341850184532,0.0
2018-11-07,1.0,-0.44746369442297523,-1.0896961314729692,-0.0,-0.8470080950250173,-0.6836838465606313,0.0
2018-11-08,1.0,-0.40846774193548385,-1.095040322580645,-0.0,-0.8354838709677419,-0.693266129032258,0.0
2018-11-09,1.0,-0.4079583938074504,-1.0946621512659247,-0.0,-0.8359941944847604,-0.6929527495565231,0.0
2018-11-12,1.0,-0.4067626649552766,-1.0794593076892223,-0.0,-0.8374313104167502,-0.6874172716698087,0.0
2018-11-13,1.0,-0.38552255400254126,-1.0740549555273189,-0.0,-0.8340216010165185,-0.6771759847522236,0.0
2018-11-14,1.0,-0.387099336696191,-1.0732414505302459,-0.0,-0.8346506732335067,-0.6768876355403741,0.0
2018-11-15,1.0,-0.386055366066471,-1.0730943126834298,-0.0,-0.8349726342508131,-0.6719282938050289,0.0
2018-11-16,1.0,-0.3830889038225877,-1.0636834407241966,-0.0,-0.8318377673241888,-0.6743882673834843,0.0
2018-11-19,1.0,-0.3834538914581604,-1.0634807699909088,-0.0,-0.8315348432744377,-0.6742163721886241,0.0
2018-11-20,1.0,-0.3614429424709211,-1.057646966362779,-0.0,-0.830635020433826,-0.6798569632191135,0.0
2018-11-21,1.0,-0.3683903576982893,-1.0493001555209955,-0.0,-0.8251166407465008,-0.6452177293934681,0.0
2018-11-23,1.0,-0.36852550881425855,-1.052574230454917,-0.0,-0.8246487916877456,-0.6457563139666109,0.0
2018-11-26,1.0,-0.36709156823763306,-1.0647877441234945,-0.0,-0.8229446848321834,-0.6433165711612677,0.0
2018-11-27,1.0,-0.3547210799906897,-1.0709131817829158,-0.0,-0.8171308868027,-0.6364729614399876,0.0
2018-11-28,1.0,-0.3582918868511035,-1.0603046316443894,-0.0,-0.824992228784582,-0.6420189617656201,0.0
2018-11-29,1.0,-0.32778651125340286,-1.044055059238526,-0.0,-0.818105134005598,-0.6442621065143208,0.0
2018-11-30,1.0,-0.3268034109241761,-1.0460935699469924,-0.0,-0.819351617116079,-0.6488822309287854,0.0
2018-12-03,1.0,-0.3302568063332689,-1.0506275342730258,-0.0,-0.8257192508206217,-0.6551071635450859,0.0
