Date,GPRE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4987188331526559,-1.4225879570316349,-0.006356558588745441,-0.9613678919877796,-1.0385335567162708,0.0
2018-09-25,1.0,-0.5095506730007918,-1.4243863816310371,-0.017270387965162313,-0.9622921615201899,-1.034986144101346,0.0
2018-09-26,1.0,-0.5111674874396857,-1.4298860866537333,-0.010943640252698604,-0.9711983286076705,-1.0511863900910312,0.0
2018-09-27,1.0,-0.5175639367101205,-1.41770325405513,-0.015026370783162504,-0.9730818986963877,-1.0522440043785453,0.0
2018-09-28,1.0,-0.5183378949987559,-1.417019158994775,-0.015625777556606123,-0.9731276436924609,-1.0522020403085344,0.0
2018-10-01,1.0,-0.5233747442997555,-1.4175023699047047,-0.015416853764406525,-0.9781469839844334,-1.054832110961433,0.0
2018-10-02,1.0,-0.5255725762187515,-1.4011276882391097,-0.021755401427074498,-0.9821366199291452,-1.059178683698418,0.0
2018-10-03,1.0,-0.5261764412029174,-1.3864521930262763,-0.019332600659406535,-0.9910080927165551,-1.0725347187531222,0.0
2018-10-04,1.0,-0.52678391959799,-1.4023115577889445,-0.020351758793969846,-0.9920603015075377,-1.0835678391959798,0.0
2018-10-05,1.0,-0.5165990686495419,-1.4009313504581642,-0.006809874317760754,-0.9946923038405688,-1.0881778578939463,0.0
2018-10-08,1.0,-0.5139639639639639,-1.3976976976976978,-0.0,-1.0036536536536538,-1.0896396396396395,0.0
2018-10-09,1.0,-0.5073098670470174,-1.4228006724058886,-0.0,-1.0361163465946717,-1.1278080586826957,0.0
2018-10-10,1.0,-0.5103683070256886,-1.4465593727432169,-0.0,-1.0495718559785412,-1.1518621685752604,0.0
2018-10-11,1.0,-0.4452452452452452,-1.4147647647647645,-0.0,-1.0087087087087088,-1.1362862862862864,0.0
2018-10-12,1.0,-0.7735078199808489,-1.8609000957548674,-0.0,-1.3346951803383338,-1.4146185764443024,0.0
2018-10-15,1.0,-0.729526958290946,-1.8950915564598168,-0.0,-1.3218463886063072,-1.4116225839267549,0.0
2018-10-16,1.0,-0.7378083763625931,-1.8913750239051443,-0.0,-1.3281060750940268,-1.417479441575827,0.0
2018-10-17,1.0,-0.6872884543061302,-1.8100162968534539,-0.0,-1.3249341857841295,-1.4457816221637207,0.0
2018-10-18,1.0,-0.6866955484397563,-1.8091291517548818,-0.0,-1.3331449739436176,-1.4496766497143216,0.0
