Date,INFO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2646645550025007,-0.37416942532568054,-0.1734978208578437,-0.3302055300197671,-0.23906261163638096,0.0
2018-09-25,1.0,-0.26313521794288725,-0.3806640017234364,-0.16805897982143284,-0.3357828470210881,-0.2460205376163918,0.0
2018-09-26,1.0,-0.2626105293426949,-0.380580383887278,-0.16568018978696888,-0.3372313148498718,-0.25019769475929166,0.0
2018-09-27,1.0,-0.2620001439297623,-0.3834768632907141,-0.16499148415573198,-0.33765922229951784,-0.25070165759109553,0.0
2018-09-28,1.0,-0.26112510495382035,-0.3842149454240134,-0.1652153052656831,-0.33757946503538444,-0.25078565431210265,0.0
2018-10-01,1.0,-0.2603973955455179,-0.38704019605487616,-0.16554143341101848,-0.33776218735734365,-0.2518920737127892,0.0
2018-10-02,1.0,-0.260883144339804,-0.3823755525658274,-0.1671871996924851,-0.33879492600422834,-0.25319527195848546,0.0
2018-10-03,1.0,-0.2606210523787795,-0.3784432863421312,-0.16664665337784287,-0.3401618674800067,-0.25572179927471844,0.0
2018-10-04,1.0,-0.2603012902140746,-0.37947190120371926,-0.16667067105547678,-0.33970832031906967,-0.2564811032892049,0.0
2018-10-05,1.0,-0.2591579704929831,-0.37900923593618807,-0.16509535804246134,-0.3400263883891088,-0.2556795010195514,0.0
2018-10-08,1.0,-0.25806142494370177,-0.37695845910593645,-0.16268985673901584,-0.34255665756312587,-0.2554022327631642,0.0
2018-10-09,1.0,-0.2622879930812473,-0.3787296401287657,-0.17013405083361358,-0.34029212511411133,-0.2509249027050401,0.0
2018-10-10,1.0,-0.2636143073338298,-0.3775733262869634,-0.17168320161425932,-0.34106031852794927,-0.24821638761440343,0.0
2018-10-11,1.0,-0.25540312418269573,-0.375092132480563,-0.1620105090468152,-0.33828669250338805,-0.24681994341282482,0.0
2018-10-12,1.0,-0.2586690554206643,-0.3706418990594282,-0.16232526343084794,-0.32997807689587705,-0.23568515593691805,0.0
2018-10-15,1.0,-0.2660769612828457,-0.36198292377190694,-0.17017099879378444,-0.3318984886828599,-0.23499917220500935,0.0
